#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1966.0,+182/-110,0.923,4.77,2.13,2.14,49.29,4.094,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1859.0,+269/-125,0.816,7.28,2.45,1.882,12.09,2.053,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1798.0,+194/-112,0.737,9.2,4.22,2.59,14.09,0.439,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1784.0,+205/-111,0.73,9.68,5.53,3.426,12.37,1.566,✔️,0.0,False,GPU
4,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1782.0,+205/-99,0.7,9.72,4.9,3.697,322.87,5.571,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1740.0,+164/-77,0.677,11.32,7.48,3.846,9.2,0.585,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1721.0,+171/-76,0.628,12.09,6.03,4.625,4823.37,140.737,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1705.0,+252/-129,0.616,12.75,6.11,3.243,2307.57,7.226,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1675.0,+130/-52,0.576,14.1,9.13,5.09,4823.37,22.312,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1667.0,+251/-203,0.649,14.47,5.35,4.335,5.15,0.14,✔️,0.0,False,GPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1637.0,+151/-65,0.508,15.88,9.85,5.036,4560.01,33.831,✔️,0.0,False,GPU
11,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1580.0,+138/-63,0.46,18.81,9.78,6.192,48.14,42.001,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1574.0,+250/-142,0.471,19.16,8.41,4.157,2307.57,0.902,✔️,0.0,False,GPU
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1571.0,+150/-81,0.446,19.32,9.45,5.997,7.93,0.264,➖,0.0,False,GPU
14,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1560.0,+122/-75,0.374,19.93,14.12,6.935,5807.07,4.31,✔️,0.0,False,CPU
15,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1547.0,+128/-74,0.373,20.66,13.4,5.96,4560.01,2.233,✔️,0.0,False,GPU
16,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1506.0,+195/-133,0.396,23.1,14.93,5.988,7.67,0.547,✔️,0.0,False,GPU
17,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1489.0,+122/-62,0.281,24.1,17.57,9.043,39519.07,1519.479,✔️,0.0,False,GPU
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1488.0,+139/-78,0.254,24.18,19.3,7.74,4283.1,0.444,✔️,0.0,False,CPU
19,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1482.0,+157/-90,0.319,24.56,15.99,6.059,3.53,0.064,➖,0.0,False,GPU
20,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1465.0,+117/-76,0.234,25.6,21.96,8.586,1203.24,7.106,✔️,0.0,False,CPU
21,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1460.0,+143/-78,0.225,25.93,20.97,7.913,4283.1,0.063,✔️,0.0,False,CPU
22,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1458.0,+186/-101,0.28,26.05,18.99,6.584,3660.26,4.755,✔️,0.0,False,GPU
23,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1457.0,+184/-110,0.293,26.1,7.56,8.965,8982.74,8.012,✔️,0.0,False,GPU
24,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1439.0,+139/-112,0.234,27.27,16.97,8.055,2039.7,2.142,✔️,0.0,False,GPU
25,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1420.0,+84/-40,0.171,28.44,25.46,8.891,1266.57,3.147,✔️,0.0,False,CPU
26,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1393.0,+88/-42,0.145,30.27,26.93,9.053,1266.57,0.475,✔️,0.0,False,CPU
