method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,5.342791974544525,45.35247432751155,4.375938039044492,1783.5,False,0.0
TabPFN-3,Default,Foundation Model,0.41084411838460944,8.571422945591827,9.885182151592474,1633.7,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5551544403564476,7.073855674164185,10.985360161416006,1607.3,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.955834601138292,2320.558659612181,9.65260302840608,1606.3,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5863334021341717,6.577903089845602,11.610559188310479,1577.9,False,0.0
TabICLv2,Default,Foundation Model,0.15023274579663937,3.8948553651571274,11.438326020128324,1555.4,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.9412054433590129,2320.558659612181,11.831585736167312,1548.3,False,0.0
RealMLP,Tuned + Ens.,Neural Network,24.913845289296074,3855.766675144572,14.043690118836638,1493.2,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,364.09747682751333,8061.7438259540295,14.548575930756927,1443.7,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18686363558339297,5.102009337486628,15.306974641206727,1432.3,False,0.0
RealMLP,Tuned,Neural Network,0.9540214579727067,3855.766675144572,15.164972544217422,1420.2,False,0.0
LimiX,Default,Foundation Model,7.204604730249089,34.031087348204004,14.275617410138434,1412.8,False,0.0
TabDPT,Tuned,Foundation Model,39.45601197096012,8061.7438259540295,15.53798558495403,1403.9,False,0.0
TabM,Tuned + Ens.,Neural Network,3.4526368272927357,2564.2291668213543,15.862451635640396,1390.9,False,0.0
iLTM,Tuned + Ens.,Foundation Model,529.125864783028,22680.19279174658,16.309201024943267,1379.5,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.181765231490135,833.0924159486466,16.910200297437893,1374.0,False,0.0
CatBoost,Tuned,Tree-based,0.04825924143128331,1827.947236698953,15.78408272034428,1369.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.39078466016558655,1827.947236698953,16.23970793617836,1362.6,False,0.0
TabM,Tuned,Neural Network,0.4533957018202658,2564.2291668213543,16.48595952935214,1358.3,False,0.0
TabSwift,Default,Foundation Model,0.058110995201088866,2.537214301873469,17.21205331438436,1350.4,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.9801914619951182,886.8089747599415,17.822257654954864,1323.5,False,0.0
xRFM,Tuned + Ens.,Other,2.148624671654499,1346.8150776784994,17.51379993965391,1322.9,False,0.0
LightGBM,Tuned,Tree-based,0.4350380216800548,833.0924159486466,17.898883124333977,1308.0,False,0.0
XGBoost,Tuned,Tree-based,0.31775617454711025,886.8089747599415,17.941308979265898,1308.0,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.545438803774879,6343.614809475388,18.606768655054747,1307.7,False,0.0
CatBoost,Default,Tree-based,0.040885196766327445,9.035913617563317,18.159815754070728,1306.6,False,0.0
TabDPT,Default,Foundation Model,39.921498930254316,51.78648626613558,17.93294100689161,1301.1,False,0.0
ModernNCA,Tuned,Neural Network,0.5011277893896364,6343.614809475388,18.079993273400625,1296.5,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.456889568582993,1179.9999181447283,19.27762706268181,1291.6,False,0.0
iLTM,Tuned,Foundation Model,126.3012190282635,22680.19279174658,17.796934815437915,1286.0,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.2543929633993445,16.539121838075715,19.458028728987223,1285.7,False,0.0
TabM,Default,Neural Network,0.3927969171909247,11.220042878284723,18.55510206880743,1276.9,False,0.0
xRFM,Tuned,Other,0.10345496092379215,1346.8150776784994,18.445788888351643,1269.9,False,0.0
EBM,Tuned + Ens.,Tree-based,0.15230845361948014,2241.855942091226,19.48433763163345,1266.3,False,0.0
ChimeraBoost,Tuned,Tree-based,0.03448034118809142,1179.9999181447283,19.792045151999083,1253.8,False,0.0
RealMLP,Default,Neural Network,4.298754898420571,16.608089916408062,18.946616527812367,1253.1,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.1373326274808413,3694.49389055559,19.11842435944375,1237.4,False,0.0
EBM,Tuned,Tree-based,0.016822527475145805,2241.855942091226,20.17510431480475,1226.3,False,0.0
ModernNCA,Default,Neural Network,0.32250415761673656,14.909633314523301,22.2791708896718,1206.9,False,0.0
EBM,Default,Tree-based,0.017011208517573616,7.596524568416612,20.769296289277694,1201.0,False,0.0
ChimeraBoost,Default,Tree-based,0.036758465537786056,5.516077015350327,21.42489081499079,1200.8,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.3932122076601647,841.5972483589021,21.436854834587727,1195.3,False,0.0
TorchMLP,Tuned,Neural Network,0.13056599747092054,3694.49389055559,20.673494430389017,1191.2,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,7.8216724879817985,1666.9308833948403,21.805372195364214,1175.1,False,0.0
ExtraTrees,Tuned,Tree-based,0.19255596828686788,841.5972483589021,22.490041374039073,1167.8,False,0.0
LightGBM,Default,Tree-based,0.21756961887765816,3.6257108294265046,21.672760308530112,1137.9,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.1552648935524672,575.6224152833552,23.070521216859458,1136.2,False,0.0
XGBoost,Default,Tree-based,0.20709183037599777,3.0974213033914566,21.72396993313901,1129.4,False,0.0
FastaiMLP,Tuned,Neural Network,0.5609692073987265,1666.9308833948403,22.96744077124718,1124.1,False,0.0
TabSTAR,Tuned,Foundation Model,5.310375873545697,46972.72025709915,25.51438135363196,1117.9,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,22.639634380038686,46972.72025709915,25.681495887534012,1117.7,False,0.0
RandomForest,Tuned,Tree-based,0.14688434048206306,575.6224152833552,24.003474323067607,1092.7,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.5087521152146447,282.82673561629554,28.508472567417776,1090.3,False,0.0
iLTM,Default,Foundation Model,157.80715364697548,537.9593317429824,24.93602721415253,1061.0,False,0.0
PerpetualBooster,Tuned,Tree-based,0.1615795605910464,282.82673561629554,29.906780309718613,1044.8,False,0.0
xRFM,Default,Other,0.9508145681753908,6.087800695582105,26.21808564633109,1037.0,False,0.0
ExtraTrees,Default,Tree-based,0.6288369945697371,4.368440402710104,27.07124849731011,1029.2,False,0.0
TabSTAR,Default,Foundation Model,5.722691648977711,459.75765987402303,31.17204369645806,1018.5,False,0.0
TorchMLP,Default,Neural Network,0.1547654045960941,12.678303688625698,25.685673472782465,1016.7,False,0.0
RandomForest,Default,Tree-based,0.0852899146931512,0.5076178693647347,28.35083436641648,1000.0,False,0.0
FastaiMLP,Default,Neural Network,0.5709841632544059,5.834900934520042,26.75277616503996,981.7,False,0.0
PerpetualBooster,Default,Tree-based,0.04121627515295333,38.52759660291753,34.251704126046725,958.0,False,0.0
