method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,248.5156197629477,1.6993924490576053,18.707813190110883,1363.0,1.0,False,0.0
CatBoost,Tree-based,3.1841367928063065,0.020933960871807933,16.40410414074833,1403.1,1.0,False,0.0
CatBoost,Tree-based,7.693156312460966,0.04317904356012784,16.363691814663312,1404.4,2.0,False,0.0
CatBoost,Tree-based,18.230148593630712,0.07945190959017298,16.325249195478982,1407.3,5.0,False,0.0
CatBoost,Tree-based,36.373457125998115,0.11491538637495699,16.314495200810843,1410.6,10.0,False,0.0
CatBoost,Tree-based,93.56885591713404,0.16118888070876586,16.364863037002138,1412.4,25.0,False,0.0
CatBoost,Tree-based,183.14919580888863,0.1821892960603635,16.38651680232911,1409.1,50.0,False,0.0
CatBoost,Tree-based,366.89512824501423,0.22119555664672094,16.409900553094676,1404.0,100.0,False,0.0
CatBoost,Tree-based,546.7577277936617,0.24694264405730734,16.476341646854443,1397.7,150.0,False,0.0
CatBoost,Tree-based,735.4606570949481,0.3090917862292623,16.44280077184567,1401.4,201.0,False,0.0
ChimeraBoost,Tree-based,1.5249213807962985,0.030391558662428646,18.96973138894486,1317.0,1.0,False,0.0
ChimeraBoost,Tree-based,2.923159677592552,0.062414133115100454,18.294507843897136,1365.1,2.0,False,0.0
ChimeraBoost,Tree-based,6.943564923312618,0.1045674981034515,17.87649561273508,1386.2,5.0,False,0.0
ChimeraBoost,Tree-based,13.756221784525298,0.16768172703683376,17.718334493018265,1394.4,10.0,False,0.0
ChimeraBoost,Tree-based,34.46719734208261,0.23843251009774197,17.551453711830778,1405.8,25.0,False,0.0
ChimeraBoost,Tree-based,68.8507318629178,0.29101639953283764,17.43445476427904,1410.9,50.0,False,0.0
ChimeraBoost,Tree-based,137.59042737633735,0.3160449363003113,17.46544734218437,1410.3,100.0,False,0.0
ChimeraBoost,Tree-based,206.02450821628037,0.30903264407612574,17.467033159227526,1411.3,150.0,False,0.0
