#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1786.0,+173/-124,0.777,6.5,1.71,5.623,37.56,7.056,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1768.0,+148/-94,0.736,7.02,2.73,8.312,4.51,0.485,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1642.0,+114/-76,0.576,11.72,5.45,10.888,2.9,0.353,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1623.0,+141/-107,0.574,12.6,4.35,8.325,270.87,4.72,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1588.0,+103/-73,0.502,14.33,8.45,12.37,4.82,0.467,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1588.0,+105/-83,0.5,14.37,7.73,12.135,1.77,0.16,✔️,0.0,False,GPU
6,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1555.0,+106/-76,0.444,16.2,7.97,12.732,1231.24,1.359,✔️,0.0,False,CPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1550.0,+105/-70,0.449,16.45,8.91,12.869,1878.36,10.744,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1547.0,+86/-54,0.444,16.65,9.82,13.141,4.79,0.708,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1518.0,+98/-59,0.43,18.43,10.29,13.529,1878.36,1.035,✔️,0.0,False,GPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1499.0,+71/-57,0.378,19.63,13.52,14.134,2722.13,9.31,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1427.0,+80/-73,0.322,24.65,13.03,15.711,2722.13,0.265,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1419.0,+77/-75,0.302,25.28,14.04,15.848,8274.67,361.103,✔️,0.0,False,GPU
13,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1418.0,+88/-68,0.313,25.3,11.43,15.955,1641.74,1.602,✔️,0.0,False,GPU
14,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1399.0,+80/-74,0.292,26.75,12.3,16.01,1.48,0.167,➖,0.0,False,GPU
15,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1388.0,+66/-63,0.263,27.63,13.84,16.203,735.46,0.027,✔️,0.0,False,CPU
16,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1386.0,+55/-50,0.217,27.73,21.55,16.857,328.64,0.773,✔️,0.0,False,CPU
17,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1380.0,+107/-96,0.327,28.23,8.82,17.098,14.27,4.304,➖,0.0,False,GPU
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1377.0,+68/-72,0.244,28.45,17.84,16.449,735.46,0.301,✔️,0.0,False,CPU
19,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1377.0,+61/-45,0.239,28.47,19.6,16.396,3.18,0.021,✔️,0.0,False,CPU
