method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.8760402345657349,2.165033211708069,2.2732770931292134,2257.2,False,0.0
TabFM,Default,Foundation Model,19.8203012705176,42.22138952650865,7.517360290111169,1977.9,False,0.0
TabPFN-3,Default,Foundation Model,0.30929614088173213,1.1913903518790716,8.392750865952316,1872.4,False,0.0
TabPFN-2.6,Default,Foundation Model,0.8822174167633057,2.6215608167648314,10.254102833737985,1856.1,False,0.0
TabICLv2,Default,Foundation Model,0.20055392633972197,0.638083758354187,10.855895539959043,1808.2,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,6.373143410682678,2149.061224968433,9.284580640664599,1747.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,11.881938362121582,841.8438595298092,10.594406175942705,1730.7,False,0.0
RealMLP,Tuned + Ens.,Neural Network,2.482800019657198,1655.562733256817,9.862290458761628,1728.7,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.4036472815755744,114.47827713965385,11.6005902074163,1724.5,False,0.0
iLTM,Tuned + Ens.,Foundation Model,70.74132932806287,1878.6350381183622,11.707033804462514,1724.5,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5563493456400391,607.674413010352,11.130668592193521,1716.4,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.36594939665093873,92.46325460118076,11.621098450739051,1714.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.15401115919257122,339.6336294327437,10.657283933566346,1701.4,False,0.0
CatBoost,Tuned,Tree-based,0.014455754609338532,339.6336294327437,10.905787886777894,1698.4,False,0.0
ChimeraBoost,Tuned,Tree-based,0.025881505012512206,92.46325460118076,11.817413039043934,1692.6,False,0.0
CatBoost,Default,Tree-based,0.019012742978892577,1.4897650505917355,10.13999892997613,1684.8,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.5333389969801887,87.29968765024478,12.625658860014616,1673.3,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.2634274244308472,841.8438595298092,12.13988021975447,1671.4,False,0.0
ModernNCA,Tuned,Neural Network,0.31826588153839114,2149.061224968433,13.215332945362649,1661.0,False,0.0
XGBoost,Tuned,Tree-based,0.05847029132715539,114.47827713965385,11.977925437206254,1641.5,False,0.0
RealMLP,Tuned,Neural Network,0.08574869632720947,1655.562733256817,11.939983224013437,1636.0,False,0.0
