method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,92.90225169181824,0.7858204126358033,17.328042735329706,1419.7,1.0,False,0.0
CatBoost,Tree-based,1.4897650505917355,0.019012742978892577,10.140292510337085,1749.3,1.0,False,0.0
CatBoost,Tree-based,3.6051687221778073,0.03711726461650061,10.397988929367457,1742.2,2.0,False,0.0
CatBoost,Tree-based,12.532113363005616,0.061006572901399915,10.435832404717168,1760.7,5.0,False,0.0
CatBoost,Tree-based,23.413650734388792,0.0760820846814479,10.47050086062065,1767.7,10.0,False,0.0
CatBoost,Tree-based,48.92982564575128,0.09455254986941869,10.570617914773402,1780.2,25.0,False,0.0
CatBoost,Tree-based,89.64382141277831,0.10997259482846906,10.586203797709631,1779.7,50.0,False,0.0
CatBoost,Tree-based,172.27165501132208,0.13165445842851592,10.651307712649707,1770.9,100.0,False,0.0
CatBoost,Tree-based,253.76103044561248,0.14703376085015857,10.693394536112372,1764.5,150.0,False,0.0
CatBoost,Tree-based,339.6336294327437,0.15401115919257122,10.652708595276115,1760.2,201.0,False,0.0
ChimeraBoost,Tree-based,0.4836414313316345,0.02457342022343686,12.35459724263169,1655.8,1.0,False,0.0
ChimeraBoost,Tree-based,1.0174591424733,0.049760267295335475,11.970227362563152,1732.8,2.0,False,0.0
ChimeraBoost,Tree-based,2.339520488129773,0.10457432746887207,11.850746583105714,1750.1,5.0,False,0.0
ChimeraBoost,Tree-based,4.572492921394949,0.17120304226875305,11.659695744816032,1763.9,10.0,False,0.0
ChimeraBoost,Tree-based,11.475979466037982,0.25922827851709895,11.611173805544205,1769.3,25.0,False,0.0
ChimeraBoost,Tree-based,22.967572807228894,0.3139296897308695,11.497312548049063,1774.8,50.0,False,0.0
ChimeraBoost,Tree-based,46.03513318038866,0.3547635863552029,11.48430532617506,1781.9,100.0,False,0.0
ChimeraBoost,Tree-based,69.04841326951303,0.35695051849530884,11.534312127332447,1783.6,150.0,False,0.0
ChimeraBoost,Tree-based,92.46325460118076,0.36594939665093873,11.610762626099103,1791.1,201.0,False,0.0
EBM,Tree-based,0.6682646338035423,0.00556515193646899,19.37896799702238,1383.0,1.0,False,0.0
EBM,Tree-based,1.7357034028531002,0.011618857875713269,18.240445430548174,1445.2,2.0,False,0.0
EBM,Tree-based,4.53458939501422,0.022749245783397154,17.667610280647214,1470.8,5.0,False,0.0
EBM,Tree-based,8.649241066575051,0.03334867264037136,17.409350362019673,1487.5,10.0,False,0.0
EBM,Tree-based,22.062297963500022,0.05377228999086479,17.128254532239524,1506.5,25.0,False,0.0
EBM,Tree-based,45.009311834573744,0.06554473665335525,17.012571631518746,1513.6,50.0,False,0.0
EBM,Tree-based,89.70369494259357,0.07840407327905155,16.839022573520644,1517.9,100.0,False,0.0
EBM,Tree-based,134.72724609673023,0.08999340059502439,16.787922892919827,1513.1,150.0,False,0.0
EBM,Tree-based,180.2108414053917,0.0923119308693724,16.7286182559208,1513.6,201.0,False,0.0
EXAONE-Tabular,Foundation Model,2.165033211708069,0.8760402345657349,2.2736966173868014,2287.5,1.0,False,0.0
ExtraTrees,Tree-based,0.3303836838084749,0.05684936969031351,26.448768804245855,938.9,1.0,False,0.0
ExtraTrees,Tree-based,0.5821560800859804,0.07019760161359065,23.934043868899728,1015.2,2.0,False,0.0
ExtraTrees,Tree-based,1.5274874744446656,0.08478718698183102,20.06147877594841,1165.7,5.0,False,0.0
ExtraTrees,Tree-based,2.9159741389124023,0.07444342519716982,18.454254923033105,1239.8,10.0,False,0.0
ExtraTrees,Tree-based,7.250384706023493,0.10064732636276046,17.874120472937637,1270.6,25.0,False,0.0
ExtraTrees,Tree-based,14.492660377292259,0.11081452855938362,17.428234654309293,1308.6,50.0,False,0.0
ExtraTrees,Tree-based,29.01329069000935,0.12746223995560096,16.954077579812385,1346.9,100.0,False,0.0
ExtraTrees,Tree-based,43.49065129872393,0.14446227938347664,16.92116196787908,1348.4,150.0,False,0.0
ExtraTrees,Tree-based,58.36115154735031,0.12336440344719987,17.56484450160896,1338.2,201.0,False,0.0
FastaiMLP,Neural Network,1.6147778992215331,0.11284585907047284,22.618069577276,1150.1,1.0,False,0.0
FastaiMLP,Neural Network,3.310541330575943,0.22981756702059222,20.78028659351735,1238.1,2.0,False,0.0
FastaiMLP,Neural Network,8.706315627162699,0.5679873117828115,18.567657969460676,1338.5,5.0,False,0.0
FastaiMLP,Neural Network,18.399278332737726,0.9361192035675049,17.75008433847939,1374.8,10.0,False,0.0
FastaiMLP,Neural Network,44.13292744800719,1.2238362097740174,16.916637894570677,1405.7,25.0,False,0.0
FastaiMLP,Neural Network,89.56587309034413,1.4486181926727295,16.636494283151052,1427.1,50.0,False,0.0
FastaiMLP,Neural Network,182.7601700397521,1.8134963870048524,16.219318518098408,1439.8,100.0,False,0.0
FastaiMLP,Neural Network,274.9982902210769,1.995621930360794,16.130794172250802,1448.6,150.0,False,0.0
FastaiMLP,Neural Network,368.8801690096263,2.384264612197876,16.157863090219074,1444.2,201.0,False,0.0
LightGBM,Tree-based,0.3380289468902334,0.05232422172170241,16.52681304565448,1354.2,1.0,False,0.0
LightGBM,Tree-based,0.8082590401745602,0.3140191459655762,15.491446624327434,1455.9,2.0,False,0.0
LightGBM,Tree-based,1.9749981399029044,0.5078681089563115,14.31902707957507,1579.6,5.0,False,0.0
LightGBM,Tree-based,4.0486763087447875,0.6446859686374664,13.501172942922684,1667.0,10.0,False,0.0
LightGBM,Tree-based,10.721507645489691,0.7299947111606598,12.956028825406307,1719.5,25.0,False,0.0
LightGBM,Tree-based,21.386438379433056,0.7313868749141693,12.748182163977079,1733.9,50.0,False,0.0
LightGBM,Tree-based,42.754846523627094,0.5834680372869583,12.638380731939838,1742.2,100.0,False,0.0
LightGBM,Tree-based,64.66028719197166,0.5831249823722865,12.608749257514528,1746.4,150.0,False,0.0
LightGBM,Tree-based,87.29968765024478,0.6113372609809969,12.628836658526666,1738.5,201.0,False,0.0
LimiX,Foundation Model,5.131487131118774,2.704625277519226,22.159827115987383,1326.3,1.0,False,0.0
ModernNCA,Neural Network,9.925993635007709,0.22367359638214113,17.746006215319202,1299.9,1.0,False,0.0
