#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),2173.0,+348/-142,0.856,3.4,1.68,3.168,2.0,0.753,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",2096.0,+197/-62,0.696,4.6,2.52,5.037,145.29,1.858,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",2025.0,+146/-60,0.652,6.0,3.97,6.206,307.34,2.186,✔️,0.0,False,CPU
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1932.0,+336/-150,0.643,8.4,2.57,8.118,38.94,18.762,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1850.0,+394/-177,0.565,11.2,4.19,8.006,1.11,0.291,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1827.0,+163/-75,0.467,12.1,9.3,10.167,2.33,0.699,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1773.0,+235/-135,0.425,14.4,7.73,11.191,0.62,0.172,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1718.0,+238/-128,0.39,17.1,9.06,9.985,780.95,11.64,✔️,0.0,False,GPU
8,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1689.0,+193/-150,0.405,18.6,11.81,10.084,2335.83,14.145,✔️,0.0,False,GPU
9,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1680.0,+144/-101,0.338,19.1,14.87,11.983,202.54,0.43,✔️,0.0,False,CPU
10,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1674.0,+160/-119,0.374,19.4,13.53,12.173,1598.12,70.164,✔️,0.0,False,GPU
11,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1663.0,+166/-92,0.386,20.05,10.95,11.093,384.95,0.163,✔️,0.0,False,CPU
12,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1662.0,+146/-130,0.378,20.1,13.66,12.153,89.02,0.317,✔️,0.0,False,CPU
13,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1658.0,+181/-100,0.376,20.3,12.28,11.335,384.95,0.017,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1656.0,+215/-106,0.336,20.4,14.44,11.664,780.95,1.493,✔️,0.0,False,GPU
15,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1646.0,+167/-81,0.304,21.0,16.57,12.797,91.02,0.568,✔️,0.0,False,CPU
16,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1644.0,+143/-124,0.359,21.1,15.82,12.292,89.02,0.026,✔️,0.0,False,CPU
17,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1637.0,+198/-102,0.316,21.5,14.45,12.461,875.01,0.549,✔️,0.0,False,GPU
18,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1636.0,+128/-87,0.351,21.6,14.67,11.674,1635.74,2.146,✔️,0.0,False,GPU
19,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1632.0,+142/-69,0.379,21.8,12.83,10.86,1.53,0.02,✔️,0.0,False,CPU
