method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,6.3100890027657695,40.78996474014507,5.141297065060461,1743.2,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4833971802198109,4.959708851767557,10.646547975657402,1693.7,False,0.0
TabPFN-3,Default,Foundation Model,0.3985329866409302,7.562578790403686,12.05066255851422,1588.2,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7026957462090424,6.025425425299332,13.456590651336118,1583.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.665510479426949,2280.189658474339,11.796337436545791,1562.7,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5307377510382884,6.281140423073291,13.38381137985865,1553.6,False,0.0
TabICLv2,Default,Foundation Model,0.18200423568487167,3.4521869623163743,13.382809515515223,1534.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.9678506248316469,2280.189658474339,14.181904224533243,1528.8,False,0.0
RealMLP,Tuned + Ens.,Neural Network,22.857077649049472,3487.2314440045966,16.354135241412724,1464.3,False,0.0
LimiX,Default,Foundation Model,5.033121860272885,28.08288222588253,15.033068985155907,1454.7,False,0.0
RealMLP,Tuned,Neural Network,1.0010951072713092,3487.2314440045966,17.485877333615488,1402.7,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16961659763250558,4.86170271550331,18.00425957170793,1396.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,404.05298819846814,7432.953711946813,17.650292042432255,1377.3,False,0.0
TabM,Tuned + Ens.,Neural Network,3.188860049555508,2478.6920283700233,18.408980530987304,1373.2,False,0.0
TabM,Tuned,Neural Network,0.44725631665148746,2478.6920283700233,19.146691728587566,1345.6,False,0.0
CatBoost,Tuned,Tree-based,0.04682674034107366,1580.612883732634,17.87692341246548,1344.4,False,0.0
BetaTabPFN,Default,Foundation Model,2.322831617545355,303.58744374984343,20.294950519161834,1343.5,False,0.0
iLTM,Tuned + Ens.,Foundation Model,510.04907828493447,21108.97590338563,18.543369903568223,1342.4,False,0.0
