method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,303.58744374984343,2.322831617545355,20.30860933656054,1359.1,1.0,False,0.0
CatBoost,Tree-based,7.3166111387389945,0.04049501513000159,20.08642279149359,1308.1,1.0,False,0.0
CatBoost,Tree-based,13.002101375109383,0.07642601220073833,19.3511523299877,1332.8,2.0,False,0.0
CatBoost,Tree-based,34.983850745794896,0.16465174853801728,19.01773372994204,1341.2,5.0,False,0.0
CatBoost,Tree-based,71.4491054100512,0.20596719831228255,18.82352019317372,1348.2,10.0,False,0.0
CatBoost,Tree-based,197.34215619106237,0.24599976986646652,18.70875502212228,1350.0,25.0,False,0.0
CatBoost,Tree-based,391.40365686249027,0.2734896111539318,18.729961230291575,1345.5,50.0,False,0.0
CatBoost,Tree-based,788.0795112227574,0.33103362481117937,18.5421738065576,1343.2,100.0,False,0.0
CatBoost,Tree-based,1179.7013801714866,0.3663053836160751,18.546166155881,1335.9,150.0,False,0.0
CatBoost,Tree-based,1580.612883732634,0.38064266978339717,18.45146587532336,1343.3,201.0,False,0.0
ChimeraBoost,Tree-based,4.883566957786245,0.046494288448420795,23.825966778508583,1201.1,1.0,False,0.0
ChimeraBoost,Tree-based,10.414093577003118,0.08487845214191722,23.112095931477437,1235.9,2.0,False,0.0
ChimeraBoost,Tree-based,25.923774854029396,0.16911676968391215,22.633439743733433,1256.4,5.0,False,0.0
ChimeraBoost,Tree-based,52.8409015955808,0.22691089091799843,22.38787932809679,1265.2,10.0,False,0.0
ChimeraBoost,Tree-based,137.1347812526604,0.3076887708800843,21.95973742895727,1279.8,25.0,False,0.0
ChimeraBoost,Tree-based,276.15662028615736,0.3654650581144069,21.75399151010124,1288.2,50.0,False,0.0
ChimeraBoost,Tree-based,553.6509294091297,0.4622840009756622,21.6641392278525,1287.7,100.0,False,0.0
ChimeraBoost,Tree-based,829.2384033906874,0.473006764119559,21.594992187139393,1289.2,150.0,False,0.0
ChimeraBoost,Tree-based,1110.8290906412622,0.5527550553463381,21.602737759434714,1286.9,201.0,False,0.0
EBM,Tree-based,7.269331273082633,0.0218718174324596,22.072717853792987,1239.3,1.0,False,0.0
EBM,Tree-based,17.37861557910739,0.050845688420007085,21.841222429712158,1248.5,2.0,False,0.0
EBM,Tree-based,52.847957234788915,0.07394101254803584,21.56560629049717,1262.8,5.0,False,0.0
EBM,Tree-based,105.33096571131803,0.09142528285221785,21.491455847269407,1265.9,10.0,False,0.0
EBM,Tree-based,259.3104620970418,0.12486774183972224,21.38760147960752,1274.2,25.0,False,0.0
EBM,Tree-based,524.5599999251274,0.13503187228780184,21.213140944080795,1281.8,50.0,False,0.0
EBM,Tree-based,1025.3924289591903,0.15604735505915396,21.051455797982936,1289.8,100.0,False,0.0
EBM,Tree-based,1544.9631429961146,0.15864187909136657,21.02156699153391,1293.8,150.0,False,0.0
EBM,Tree-based,2068.2009167512083,0.16529027706764798,20.988836429601896,1294.3,201.0,False,0.0
EXAONE-Tabular,Foundation Model,4.959708851767557,0.4833971802198109,10.660354863142727,1722.7,1.0,False,0.0
ExtraTrees,Tree-based,3.760884370758124,0.5968426683527703,30.014852535774583,1012.5,1.0,False,0.0
ExtraTrees,Tree-based,7.233617936932819,0.6853995207358274,28.1284348755564,1040.2,2.0,False,0.0
ExtraTrees,Tree-based,17.35610483697509,0.6085460644529195,25.441559402375407,1095.5,5.0,False,0.0
ExtraTrees,Tree-based,34.08506477854846,0.6559709960785074,24.750163629857898,1126.2,10.0,False,0.0
ExtraTrees,Tree-based,84.03429638179186,0.9058839094020634,24.06999135698446,1157.7,25.0,False,0.0
ExtraTrees,Tree-based,167.18277553214054,1.1966218920222746,23.88625012853664,1163.8,50.0,False,0.0
ExtraTrees,Tree-based,333.2449706902745,1.4547771677903136,23.780464419377225,1168.9,100.0,False,0.0
ExtraTrees,Tree-based,499.13298676746547,1.581584567707285,23.623158386308106,1180.8,150.0,False,0.0
ExtraTrees,Tree-based,669.3008326263896,1.1866680852004459,23.628587092613294,1181.7,201.0,False,0.0
FastaiMLP,Neural Network,5.032524631491729,0.6011123119103123,28.675575930623136,989.9,1.0,False,0.0
FastaiMLP,Neural Network,12.707945178662028,1.4502158608585536,27.783545733906184,1038.3,2.0,False,0.0
FastaiMLP,Neural Network,35.52920550134566,2.707852782654398,25.864341323013747,1109.1,5.0,False,0.0
FastaiMLP,Neural Network,67.84321789017746,3.31848808318337,25.06418073988133,1140.8,10.0,False,0.0
FastaiMLP,Neural Network,172.63941687372113,4.530389776886752,24.1380135160386,1164.0,25.0,False,0.0
FastaiMLP,Neural Network,350.4018274029451,5.754508072621494,23.750033168597643,1178.6,50.0,False,0.0
FastaiMLP,Neural Network,703.8401639881943,7.1854207052539945,23.677781823067296,1184.5,100.0,False,0.0
FastaiMLP,Neural Network,1060.0265172972745,7.686423129681421,23.626594515247028,1186.1,150.0,False,0.0
FastaiMLP,Neural Network,1425.5943698968208,7.301031269877611,23.723658893990653,1194.9,201.0,False,0.0
LightGBM,Tree-based,3.271423486239484,0.1925833077793277,24.018610604598162,1130.0,1.0,False,0.0
LightGBM,Tree-based,7.187975862957416,0.6370937781769612,21.661769901785117,1238.5,2.0,False,0.0
LightGBM,Tree-based,18.491534641032317,0.8585219058607306,20.307923552365224,1308.6,5.0,False,0.0
LightGBM,Tree-based,37.63147667410042,1.0687137304177592,19.792591327782418,1331.4,10.0,False,0.0
LightGBM,Tree-based,95.72185205774045,1.3923655358748461,19.39975469744341,1341.5,25.0,False,0.0
LightGBM,Tree-based,192.30005469286164,1.4800465670344387,19.306612123174368,1347.7,50.0,False,0.0
LightGBM,Tree-based,385.4240248592135,1.61913587808609,19.206996573060806,1354.1,100.0,False,0.0
LightGBM,Tree-based,577.4328596419332,1.8652145083993674,19.11323791008435,1356.0,150.0,False,0.0
LightGBM,Tree-based,774.792267950359,1.4553717527055694,19.128938823859887,1358.6,201.0,False,0.0
LimiX,Foundation Model,28.08288222588253,5.033121860272885,15.264801260440256,1458.8,1.0,False,0.0
ModernNCA,Neural Network,14.2190891969949,0.3522751419580875,25.01848502364427,1176.2,1.0,False,0.0
ModernNCA,Neural Network,51.055241744615394,0.908195631461736,23.44524333581729,1193.6,2.0,False,0.0
ModernNCA,Neural Network,152.06566344610678,1.8094695931317362,20.828058442386048,1281.1,5.0,False,0.0
ModernNCA,Neural Network,301.2283204956209,2.9001397479026716,20.265556418722632,1304.5,10.0,False,0.0
ModernNCA,Neural Network,742.3216508122528,4.30700479962511,19.712144795208495,1327.2,25.0,False,0.0
ModernNCA,Neural Network,1548.7724245944453,5.571362660580044,20.050401188705916,1309.2,50.0,False,0.0
ModernNCA,Neural Network,3115.4832472775215,7.046365994291499,20.678205749215213,1287.1,100.0,False,0.0
ModernNCA,Neural Network,4642.1963843118665,8.427173852437232,20.912556093468165,1283.7,150.0,False,0.0
ModernNCA,Neural Network,6288.355238448097,9.384570834031301,21.002334238532843,1281.1,201.0,False,0.0
OrionMSP,Foundation Model,15.581609287432261,2.601469017779671,26.499571026345635,1101.4,1.0,False,0.0
PerpetualBooster,Tree-based,48.103817459306626,0.049778251781076345,38.14937771056439,974.8,1.0,False,0.0
PerpetualBooster,Tree-based,125.22829725553584,0.4010049235197277,34.90954521471625,1026.8,2.0,False,0.0
PerpetualBooster,Tree-based,333.0389251457002,0.7337631814578581,31.967964858827592,1089.8,5.0,False,0.0
PerpetualBooster,Tree-based,399.2771714041158,0.6959068700898764,31.84171674962057,1093.5,6.0,False,0.0
RandomForest,Tree-based,0.45977880035673785,0.0698340289458212,31.15494675032228,998.9,1.0,False,0.0
RandomForest,Tree-based,3.153988745158094,0.2614383056759834,28.43975728312061,1034.9,2.0,False,0.0
RandomForest,Tree-based,11.775552334109332,0.4569322199868897,26.747371413047667,1072.6,5.0,False,0.0
RandomForest,Tree-based,25.7323507845912,0.5950629764233775,25.85249236397783,1090.7,10.0,False,0.0
RandomForest,Tree-based,67.641964991891,0.7642726367625794,25.152923438820057,1124.0,25.0,False,0.0
RandomForest,Tree-based,137.853250955485,0.9217934516977659,25.02842824576658,1132.5,50.0,False,0.0
RandomForest,Tree-based,278.1383106963308,1.0817312972213111,25.074325527141234,1134.2,100.0,False,0.0
RandomForest,Tree-based,418.6187333473357,1.2223316361284482,25.10539780274865,1133.6,150.0,False,0.0
RandomForest,Tree-based,562.0823628399186,1.1552648935524672,25.068975388992776,1132.7,201.0,False,0.0
RealMLP,Neural Network,14.588108605706886,4.032651740482612,21.15021243527571,1251.8,1.0,False,0.0
RealMLP,Neural Network,30.580796187670224,5.545869472572124,18.795616184063043,1353.4,2.0,False,0.0
RealMLP,Neural Network,79.15879528731125,8.08229745177108,17.289394536327332,1428.3,5.0,False,0.0
RealMLP,Neural Network,166.39292042493076,10.30310226359585,16.826855330128712,1447.8,10.0,False,0.0
RealMLP,Neural Network,428.3936464406031,12.388218323897172,16.32633900698721,1473.6,25.0,False,0.0
RealMLP,Neural Network,868.2323938389285,14.461630371238208,16.103842609505055,1483.9,50.0,False,0.0
RealMLP,Neural Network,1742.3462491724413,16.602974708369644,16.1315575066602,1484.7,100.0,False,0.0
RealMLP,Neural Network,2600.723666856437,19.410796891571565,16.287103367209298,1487.6,150.0,False,0.0
RealMLP,Neural Network,3487.2314440045966,22.857077649049472,16.372329297409014,1487.2,201.0,False,0.0
RealTabPFN-2.5,Foundation Model,6.025425425299332,0.7026957462090424,13.47054677995406,1600.3,1.0,False,0.0
RealTabPFN-2.5,Foundation Model,19.69251405178936,1.32293962002107,13.534190182701728,1586.2,2.0,False,0.0
RealTabPFN-2.5,Foundation Model,54.0272521470214,2.863101456778791,13.500115543171317,1573.0,5.0,False,0.0
RealTabPFN-2.5,Foundation Model,109.16270084914859,3.9894747323145663,13.588583479218173,1576.5,10.0,False,0.0
RealTabPFN-2.5,Foundation Model,282.2546622884869,5.521704275108263,13.549466928199646,1571.8,25.0,False,0.0
RealTabPFN-2.5,Foundation Model,564.5394139879021,6.010971820676291,13.549286616378126,1562.7,50.0,False,0.0
RealTabPFN-2.5,Foundation Model,1133.31781391719,7.173083400084758,12.991382275279795,1570.0,100.0,False,0.0
RealTabPFN-2.5,Foundation Model,1704.1213724064905,8.081771446945039,12.62539164546353,1576.3,150.0,False,0.0
RealTabPFN-2.5,Foundation Model,2280.189658474339,9.628207821465104,11.845323573059426,1575.5,201.0,False,0.0
SAP-RPT-OSS,Foundation Model,13.40891936746966,1.6402183396128311,22.16125129051056,1279.9,1.0,False,0.0
TabDPT,Foundation Model,51.78648626613558,39.921498930254316,21.438085886828837,1233.6,1.0,False,0.0
TabDPT,Foundation Model,88.60215250857107,59.20952988315937,20.537611090405566,1274.3,2.0,False,0.0
TabDPT,Foundation Model,190.70230744380635,91.31301947279842,19.627906340759665,1322.7,5.0,False,0.0
TabDPT,Foundation Model,357.7608890189399,128.70900866013352,19.281145276329923,1336.7,10.0,False,0.0
TabDPT,Foundation Model,906.5893386893392,197.37791517339724,18.615096612861706,1353.2,25.0,False,0.0
TabDPT,Foundation Model,1833.1395916312456,248.15581236613696,18.10709285286182,1371.3,50.0,False,0.0
TabDPT,Foundation Model,3679.7001768605273,314.8436401054778,17.91037404662578,1379.7,100.0,False,0.0
TabDPT,Foundation Model,5552.061412731366,344.29153380093373,17.81768513701108,1385.1,150.0,False,0.0
TabDPT,Foundation Model,7432.953711946813,400.89976404697745,17.698085299433366,1392.3,201.0,False,0.0
TabDPT-Turbo,Foundation Model,4.86170271550331,0.16961659763250558,18.018078893308953,1406.7,1.0,False,0.0
TabFM,Foundation Model,40.78996474014507,6.3100890027657695,5.155528173597525,1743.5,1.0,False,0.0
TabFlex,Foundation Model,2.4480622254755806,0.5190992166198813,30.805829042263472,1017.1,1.0,False,0.0
TabICLv2,Foundation Model,3.4521869623163743,0.18200423568487167,13.396798962193554,1548.2,1.0,False,0.0
TabM,Neural Network,9.936710759997368,0.36718537452519845,21.08248375462313,1291.8,1.0,False,0.0
TabM,Neural Network,21.778452847898006,0.7792451671729361,20.751042669069548,1302.4,2.0,False,0.0
TabM,Neural Network,59.12161631098641,1.383571607398665,20.223965946091553,1320.7,5.0,False,0.0
TabM,Neural Network,120.40047483582481,1.7666598519219412,19.709653625896777,1347.7,10.0,False,0.0
TabM,Neural Network,303.5800929630999,2.2463538994519507,19.31248373608953,1364.3,25.0,False,0.0
TabM,Neural Network,609.3448213854928,2.28291880504053,19.008683425110323,1378.9,50.0,False,0.0
TabM,Neural Network,1226.0184259582088,2.696705989134597,18.680978590812217,1387.2,100.0,False,0.0
TabM,Neural Network,1845.3925750471767,2.9081786217685344,18.55024725070719,1392.7,150.0,False,0.0
TabM,Neural Network,2478.6920283700233,3.188860049555508,18.422707844475866,1392.4,201.0,False,0.0
TabPFN-2.6,Foundation Model,6.281140423073291,0.5307377510382884,13.398163888881257,1575.9,1.0,False,0.0
TabPFN-3,Foundation Model,7.562578790403686,0.3985329866409302,12.06450044044874,1602.7,1.0,False,0.0
TabSTAR,Foundation Model,461.8626497906332,5.722691648977711,32.27505754905241,1045.0,1.0,False,0.0
TabSTAR,Foundation Model,812.6941385093328,8.114861126879733,32.11585190250979,1051.9,2.0,False,0.0
TabSTAR,Foundation Model,1430.8811369497303,9.366556287946434,31.676469717098925,1058.4,5.0,False,0.0
TabSTAR,Foundation Model,2384.5896366525985,12.88119645809806,30.769361072875377,1068.5,10.0,False,0.0
TabSTAR,Foundation Model,5535.519999844005,16.74284597922182,28.961729870627185,1089.4,25.0,False,0.0
TabSTAR,Foundation Model,11245.833348222994,20.404378998289484,27.446697869270682,1104.0,50.0,False,0.0
TabSTAR,Foundation Model,23102.696103955222,23.501772708261207,26.854443136443162,1113.3,100.0,False,0.0
TabSTAR,Foundation Model,34138.66319700701,24.53876833385609,26.53816798968104,1123.3,150.0,False,0.0
TabSTAR,Foundation Model,45012.00334355452,21.33951641050576,26.148140814444314,1136.1,201.0,False,0.0
TabSwift,Foundation Model,2.247178268549817,0.054771207621121476,20.531082733339215,1323.1,1.0,False,0.0
TorchMLP,Neural Network,9.061031423509121,0.1954804980236451,28.621492079128252,1021.6,1.0,False,0.0
TorchMLP,Neural Network,23.121876435649806,0.38598012304753393,25.656298665510064,1097.0,2.0,False,0.0
TorchMLP,Neural Network,66.17425872439003,0.7451473274863645,23.411281959333362,1157.4,5.0,False,0.0
TorchMLP,Neural Network,145.15017643923818,1.0088740141864687,22.623558596285438,1198.1,10.0,False,0.0
TorchMLP,Neural Network,352.0247451349908,1.2591398848668414,22.06694585183098,1226.7,25.0,False,0.0
TorchMLP,Neural Network,719.8331027399853,1.6135463765773834,21.77004394838831,1236.6,50.0,False,0.0
TorchMLP,Neural Network,1418.059749519639,2.063900235752053,21.67586259051562,1231.3,100.0,False,0.0
TorchMLP,Neural Network,2155.6849806435075,2.187818445749696,21.499069164594616,1240.7,150.0,False,0.0
TorchMLP,Neural Network,2895.0057162095713,2.4197072159983493,21.41236171632703,1240.9,201.0,False,0.0
XGBoost,Tree-based,2.8478128159135836,0.1903629660606384,23.723304459651423,1140.1,1.0,False,0.0
XGBoost,Tree-based,7.276584706502625,0.6646977110414316,21.64040758886788,1235.1,2.0,False,0.0
XGBoost,Tree-based,20.357386771642737,1.245201539993286,21.107147360754265,1266.9,5.0,False,0.0
XGBoost,Tree-based,39.95752396865615,1.4521450071747686,20.763078431851746,1284.8,10.0,False,0.0
XGBoost,Tree-based,102.72672969166722,1.8858828782231716,20.49256727765258,1296.1,25.0,False,0.0
XGBoost,Tree-based,205.8681515071541,1.9134288141724347,20.39871812990435,1304.5,50.0,False,0.0
XGBoost,Tree-based,411.95100555196404,2.098456681519747,20.284027217516094,1312.2,100.0,False,0.0
XGBoost,Tree-based,617.2039633300687,1.8473752295707384,20.174832550285043,1319.6,150.0,False,0.0
XGBoost,Tree-based,829.4997787901334,1.5036470589814117,20.12708047547136,1320.1,201.0,False,0.0
iLTM,Foundation Model,454.82919859238507,146.7883490527018,26.146626441553288,1103.6,1.0,False,0.0
iLTM,Foundation Model,1266.5525763883984,268.94527320225495,23.478428169707044,1174.8,2.0,False,0.0
iLTM,Foundation Model,3732.2979901516837,453.50020181066793,20.547197893446985,1267.1,5.0,False,0.0
iLTM,Foundation Model,8203.130867278727,588.0968491642462,19.513876806720337,1307.7,10.0,False,0.0
iLTM,Foundation Model,20166.423837673916,491.64906055713215,18.577688437352343,1354.1,25.0,False,0.0
iLTM,Foundation Model,21108.97590338563,510.04907828493447,18.57787532605685,1353.9,26.0,False,0.0
xRFM,Other,5.4303046312613175,0.8352682059180792,29.064102140241488,1012.3,1.0,False,0.0
xRFM,Other,11.776121562969566,1.0296880070518655,26.32460258040871,1078.6,2.0,False,0.0
xRFM,Other,28.792827184389896,1.2425439486284275,22.703731616758375,1201.7,5.0,False,0.0
xRFM,Other,57.340381215415874,1.5881834196446458,21.185969144887167,1266.8,10.0,False,0.0
xRFM,Other,145.29671290528387,1.9845916387439289,20.530420396953467,1292.7,25.0,False,0.0
xRFM,Other,291.53116009685414,2.1886115820568417,20.216145940972652,1305.5,50.0,False,0.0
xRFM,Other,582.7415169754611,2.033782755973571,20.08361901586629,1305.5,100.0,False,0.0
xRFM,Other,872.0774356109255,1.9700745263350048,20.08117810744144,1306.3,150.0,False,0.0
xRFM,Other,1165.308814623592,1.9325738701626802,20.063550660495817,1305.4,201.0,False,0.0
