method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
LimiX,Default,Foundation Model,3.191899934398487,3.9378111103398945,0.0,29964.4,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.307934341923305,134.5949317470204,4.497643791807048,27406.5,False,0.0
TabPFN-3,Default,Foundation Model,0.2726374656913108,0.9259524300251362,4.5260970421041495,25964.1,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,2.8184836381781713,134.5949317470204,7.38541011191699,23507.8,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5160116403120866,1.8403475550904627,9.384727744543387,22445.0,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.5895063597398471,1.7020230858186638,11.22354962543277,21586.4,False,0.0
TabFM,Default,Foundation Model,17.703595287347483,35.65082082485353,13.52320729222808,21003.9,False,0.0
EBM,Tuned + Ens.,Tree-based,0.10691971335528917,6601.455540038064,14.192258111049261,20341.8,False,0.0
TabICLv2,Default,Foundation Model,0.1426377996006041,0.4823068139059848,14.204563648388635,19677.8,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.15389517146482667,61.473810643588834,14.275120219608207,19046.4,False,0.0
LightGBM,Tuned + Ens.,Tree-based,4.578539189260768,157.40285520817625,14.337660452315859,18460.2,False,0.0
LightGBM,Tuned,Tree-based,0.40092320481481514,157.40285520817625,14.365978546880942,17810.1,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.2775581810425003,0.8171638128916406,14.421438219108552,17170.4,False,0.0
RandomForest,Tuned,Tree-based,0.015411010648742006,61.473810643588834,14.68728148238334,16539.7,False,0.0
EBM,Tuned,Tree-based,0.011981452262655262,6601.455540038064,14.817356015210969,15935.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.23405530497844312,1261.2440700178386,15.012462316046559,15339.6,False,0.0
CatBoost,Tuned,Tree-based,0.030045350317313372,1261.2440700178386,15.197014359459216,14724.3,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.1704905160517807,456.3324763471155,15.424039565303627,14109.3,False,0.0
XGBoost,Tuned,Tree-based,0.04689852869087745,456.3324763471155,15.692631292023707,13498.8,False,0.0
XGBoost,Default,Tree-based,0.04689852869087745,0.32186190197671327,15.69263145851264,12922.9,False,0.0
