#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2229.0,+255/-66,0.901,2.69,1.54,1.407,40.79,6.492,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1945.0,+126/-47,0.687,7.62,4.28,3.335,339.37,3.244,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1937.0,+292/-150,0.693,7.85,3.13,2.269,4.02,0.398,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1923.0,+188/-101,0.673,8.23,3.94,3.06,11.81,2.007,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1902.0,+232/-147,0.639,8.85,5.63,2.722,2043.54,8.366,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1887.0,+183/-72,0.623,9.31,5.61,3.39,8.44,0.7,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1831.0,+255/-106,0.59,11.15,4.21,4.004,7126.67,336.907,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1823.0,+202/-112,0.593,11.46,5.99,4.114,6.86,1.346,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1776.0,+193/-89,0.546,13.23,8.66,4.506,7126.67,38.573,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1776.0,+193/-145,0.539,13.23,7.5,3.651,2043.54,0.78,✔️,0.0,False,GPU
10,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1742.0,+316/-164,0.582,14.62,4.7,4.372,1.32,0.122,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1707.0,+103/-61,0.443,16.15,14.39,5.694,4057.31,10.474,✔️,0.0,False,GPU
12,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1705.0,+109/-93,0.413,16.23,11.55,6.221,1490.17,5.79,✔️,0.0,False,CPU
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1672.0,+162/-94,0.443,17.77,13.99,5.429,2.02,0.183,➖,0.0,False,GPU
14,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1659.0,+205/-168,0.433,18.38,11.31,5.105,6.94,0.519,✔️,0.0,False,GPU
15,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1654.0,+207/-98,0.432,18.62,11.61,5.656,44.65,38.297,✔️,0.0,False,GPU
16,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1621.0,+185/-180,0.395,20.23,7.17,8.163,3811.61,7.581,✔️,0.0,False,GPU
17,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1570.0,+88/-85,0.234,22.85,19.71,8.792,686.5,5.477,✔️,0.0,False,CPU
18,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1564.0,+136/-148,0.332,23.15,18.06,6.839,4057.31,0.337,✔️,0.0,False,GPU
19,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1533.0,+110/-83,0.19,24.77,18.44,8.535,2267.19,0.422,✔️,0.0,False,CPU
20,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1519.0,+97/-79,0.192,25.54,17.84,8.569,2267.19,0.046,✔️,0.0,False,CPU
21,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1518.0,+146/-100,0.269,25.62,21.51,7.963,708.95,1.973,✔️,0.0,False,GPU
22,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1518.0,+143/-96,0.265,25.62,21.13,7.163,3448.73,2.111,✔️,0.0,False,GPU
23,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1504.0,+90/-55,0.207,26.38,23.57,8.531,12741.09,387.573,✔️,0.0,False,GPU
24,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1499.0,+194/-131,0.298,26.69,17.87,7.143,0.9,0.072,➖,0.0,False,GPU
25,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1471.0,+142/-104,0.217,28.31,23.24,7.54,3448.73,0.194,✔️,0.0,False,GPU
26,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1471.0,+115/-98,0.161,28.31,23.72,9.578,686.5,0.743,✔️,0.0,False,CPU
27,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1456.0,+112/-70,0.187,29.15,25.84,8.514,708.95,0.069,✔️,0.0,False,GPU
28,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1429.0,+58/-61,0.111,30.77,29.1,9.492,848.99,0.475,✔️,0.0,False,CPU
29,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1429.0,+52/-55,0.109,30.77,29.7,9.51,848.99,2.375,✔️,0.0,False,CPU
30,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1411.0,+97/-88,0.153,31.85,28.8,10.782,16.07,0.289,✔️,0.0,False,GPU
31,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1404.0,+103/-109,0.107,32.31,26.78,10.663,9.02,0.018,✔️,0.0,False,CPU
32,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1390.0,+141/-173,0.193,33.15,23.52,10.655,3811.61,0.452,✔️,0.0,False,GPU
33,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1383.0,+139/-120,0.108,33.54,28.2,11.959,402.93,0.276,✔️,0.0,False,CPU
34,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1348.0,+116/-87,0.099,35.62,32.77,9.828,12741.09,60.101,✔️,0.0,False,GPU
35,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1329.0,+217/-201,0.173,36.77,16.49,10.388,59.38,14.073,➖,0.0,False,GPU
36,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1322.0,+115/-125,0.081,37.15,33.26,12.342,402.93,0.034,✔️,0.0,False,CPU
37,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1291.0,+93/-85,0.07,39.0,36.27,9.907,9.79,0.134,✔️,0.0,False,GPU
38,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1291.0,+180/-156,0.145,39.0,29.01,11.044,18.77,6.542,➖,0.0,False,GPU
39,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1259.0,+105/-98,0.075,40.92,36.62,11.48,9.18,1.415,✔️,0.0,False,GPU
40,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1259.0,+90/-100,0.067,40.92,37.99,10.851,4452.11,0.852,✔️,0.0,False,CPU
41,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1255.0,+94/-108,0.063,41.15,36.65,13.342,257.64,0.813,✔️,0.0,False,CPU
42,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1232.0,+100/-123,0.041,42.54,39.35,13.517,2.46,0.014,✔️,0.0,False,CPU
