method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,6.985429071794801,38.805908867807105,4.3563945405846844,1759.7,False,0.0
TabPFN-3,Default,Foundation Model,0.3988194969093643,3.6584650300170622,9.587949622765327,1634.2,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5548034626013535,5.482579877802832,10.988136581912215,1586.0,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.907660220396073,2040.2228420972824,10.694704221136012,1567.5,False,0.0
TabICLv2,Default,Foundation Model,0.15054921462491172,2.0524528171730156,10.418516587754716,1564.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.217878699427239,2040.2228420972824,11.382991374620143,1528.0,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.644969598113518,5.809798529870024,11.938723887345702,1499.4,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.36311691662658707,3.7429161904443395,11.013982240122182,1485.5,True,25.49019607843137
RealMLP,Tuned + Ens.,Neural Network,11.974985376498216,2950.724447694827,13.133418540511894,1476.2,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18241940288749647,2.06768405148355,14.211518829169245,1434.2,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,286.53737883567806,4910.377306237253,14.013631901321355,1433.7,False,0.0
TabM,Tuned + Ens.,Neural Network,2.246865858634313,2450.1270774379373,14.304303608118857,1421.5,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.638673830958025,417.0474735648702,15.248503219164125,1405.3,False,0.0
RealMLP,Tuned,Neural Network,0.663132054971364,2950.724447694827,14.436762724225172,1399.8,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3442282032056243,1346.210691180287,14.881288514861385,1394.4,False,0.0
CatBoost,Tuned,Tree-based,0.03809286543601384,1346.210691180287,15.109567320710052,1382.3,False,0.0
TabDPT,Tuned,Foundation Model,39.95973646029047,4910.377306237253,15.1408849315102,1382.2,False,0.0
iLTM,Tuned + Ens.,Foundation Model,464.3696034625343,12685.081550183375,15.508673397806177,1380.4,False,0.0
TabM,Tuned,Neural Network,0.25129394622912726,2450.1270774379373,15.167032556923022,1369.0,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.137916867537678,4621.665633563503,15.830288029678263,1365.2,False,0.0
LightGBM,Tuned,Tree-based,0.3337603531487198,417.0474735648702,15.901900981028069,1363.1,False,0.0
CatBoost,Default,Tree-based,0.02489617665608724,5.876676442022475,15.73879791039653,1354.3,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.6894451629541256,693.4907982506384,15.976293125098612,1353.1,False,0.0
LimiX,Default,Foundation Model,6.2423742585450634,26.459751268166386,15.747125923371247,1341.9,False,0.0
ModernNCA,Tuned,Neural Network,0.4747242314576746,4621.665633563503,16.25490694375771,1335.5,False,0.0
TabSwift,Default,Foundation Model,0.07196837694453946,1.1753394519011986,16.294268989986584,1331.8,False,0.0
XGBoost,Tuned,Tree-based,0.3080760155405317,693.4907982506384,16.287286998781312,1331.1,False,0.0
xRFM,Tuned + Ens.,Other,2.549259534903935,846.8860702336882,16.514194891019436,1328.9,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,21.441745344797773,3031.497965050595,16.865434864151098,1320.7,True,35.294117647058826
ChimeraBoost,Tuned + Ens.,Tree-based,0.4040760969279745,427.39175038402846,17.419982471951556,1312.2,False,0.0
Mitra,Default,Foundation Model,2.5047910539467777,87.64508139392186,17.373263414706667,1309.8,True,35.294117647058826
TabDPT,Default,Foundation Model,43.737812222627376,47.64668788909912,17.410974072649168,1308.3,False,0.0
TabICL,Default,Foundation Model,1.479660415649414,6.6270115137100225,17.287393472204325,1304.7,True,29.411764705882355
ChimeraBoost,Tuned,Tree-based,0.033651277628640924,427.39175038402846,17.757026036393665,1290.0,False,0.0
xRFM,Tuned,Other,0.13027435019228545,846.8860702336882,17.671256740361432,1284.7,False,0.0
TabM,Default,Neural Network,0.2435252328360982,7.486463968520102,17.207600378605008,1280.3,False,0.0
iLTM,Tuned,Foundation Model,62.129902117180094,12685.081550183375,17.34617819072023,1279.7,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.9516254299583915,2875.520340774675,17.364557145900548,1268.1,False,0.0
BetaTabPFN,Default,Foundation Model,1.3429487990891908,205.88373934998089,18.719154189283426,1267.5,True,25.49019607843137
