method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,205.88373934998089,1.3429487990891908,18.73418344139351,1283.2,1.0,True,25.49019607843137
CatBoost,Tree-based,5.876676442022475,0.02489617665608724,15.753444523514466,1372.1,1.0,False,0.0
CatBoost,Tree-based,11.667825125586923,0.06336535482356946,15.334663455439518,1391.5,2.0,False,0.0
CatBoost,Tree-based,31.910651762403862,0.11771650741480857,15.066552263308061,1408.0,5.0,False,0.0
CatBoost,Tree-based,62.57212517570079,0.1714353465164701,14.966512119264772,1412.6,10.0,False,0.0
CatBoost,Tree-based,155.90493556689327,0.22162205257045137,14.860032554304867,1417.4,25.0,False,0.0
CatBoost,Tree-based,317.34591689097914,0.2666794694644051,14.850171467887186,1417.8,50.0,False,0.0
CatBoost,Tree-based,662.4830210733933,0.31052760007315267,14.867151020199252,1416.4,100.0,False,0.0
CatBoost,Tree-based,998.8498259224127,0.340735055101516,14.886397471151733,1415.1,150.0,False,0.0
CatBoost,Tree-based,1346.210691180287,0.344857002822471,14.893284274875388,1414.1,201.0,False,0.0
ChimeraBoost,Tree-based,1.9886321895080843,0.032584832539708695,18.87321778185825,1260.7,1.0,False,0.0
ChimeraBoost,Tree-based,4.43838502030943,0.06094444009053425,18.53355453735079,1279.7,2.0,False,0.0
ChimeraBoost,Tree-based,10.070184857413143,0.1129020180967119,18.314406127892084,1292.0,5.0,False,0.0
ChimeraBoost,Tree-based,20.473417816445547,0.17710346910688612,18.124684222163374,1301.7,10.0,False,0.0
ChimeraBoost,Tree-based,52.71737575557528,0.24549033666046208,17.853609680001618,1313.4,25.0,False,0.0
ChimeraBoost,Tree-based,106.3941874905326,0.2926890222079797,17.702798407627924,1320.6,50.0,False,0.0
ChimeraBoost,Tree-based,212.82074782052993,0.3120254129614995,17.54022529628921,1327.5,100.0,False,0.0
ChimeraBoost,Tree-based,318.99571798382766,0.3237207715925697,17.471004457054974,1330.2,150.0,False,0.0
ChimeraBoost,Tree-based,427.39175038402846,0.4040760969279745,17.433217154954214,1332.7,201.0,False,0.0
EBM,Tree-based,6.673146850898109,0.014352864847965238,20.46895760656093,1195.9,1.0,False,0.0
EBM,Tree-based,16.576534345676816,0.030424724199585355,20.074326674709862,1209.4,2.0,False,0.0
EBM,Tree-based,47.738558903301914,0.052842477784541445,19.65130668250234,1229.0,5.0,False,0.0
EBM,Tree-based,89.41107246991604,0.0702878348384009,19.470979290718518,1237.7,10.0,False,0.0
EBM,Tree-based,218.44812470797967,0.09747169882795435,19.243620224712128,1247.2,25.0,False,0.0
EBM,Tree-based,440.25457359654257,0.11411218718429054,19.102878037270525,1254.7,50.0,False,0.0
EBM,Tree-based,856.7647171052814,0.12772155113709277,18.981513497482265,1260.8,100.0,False,0.0
EBM,Tree-based,1266.0910927829382,0.13762164045367722,18.938406153782275,1264.2,150.0,False,0.0
EBM,Tree-based,1711.2458519871225,0.1384442291079833,18.896426281843887,1266.9,201.0,False,0.0
EXAONE-Tabular,Foundation Model,3.7429161904443395,0.36311691662658707,11.029498250445839,1504.4,1.0,True,25.49019607843137
ExtraTrees,Tree-based,1.8719729433204921,0.28340813208977944,26.363871523013096,1007.5,1.0,False,0.0
ExtraTrees,Tree-based,3.1259596547771116,0.299267558256785,24.525621432194196,1056.9,2.0,False,0.0
ExtraTrees,Tree-based,6.772191225672007,0.3233863551370985,21.871589956398513,1126.7,5.0,False,0.0
ExtraTrees,Tree-based,13.288092341970305,0.39167570468287294,20.953871628605057,1165.3,10.0,False,0.0
ExtraTrees,Tree-based,32.8419339595057,0.4883309222469785,20.303624783480767,1194.0,25.0,False,0.0
