#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1760.0,+103/-100,0.872,7.05,1.83,4.356,38.81,6.985,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1650.0,+70/-62,0.647,11.21,4.77,8.236,289.07,4.031,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1634.0,+71/-52,0.66,11.98,4.67,9.588,3.66,0.399,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1586.0,+63/-44,0.573,14.52,8.8,10.988,5.48,0.555,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1568.0,+64/-54,0.546,15.6,7.59,10.695,2040.22,8.908,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1565.0,+64/-56,0.6,15.75,5.59,10.419,2.05,0.151,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1528.0,+59/-47,0.503,18.08,8.65,11.383,2040.22,1.218,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1499.0,+55/-42,0.472,20.04,11.92,11.939,5.81,0.645,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular) [25.49% IMPUTED],1486.0,+100/-98,0.583,21.04,4.09,11.014,3.74,0.363,✔️,25.49,True,GPU
9,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1478.0,+48/-46,0.39,21.57,10.61,13.009,1735.72,2.558,✔️,0.0,False,CPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1476.0,+49/-43,0.398,21.73,13.48,13.133,2950.72,11.975,✔️,0.0,False,GPU
11,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1434.0,+52/-46,0.379,24.99,10.97,14.212,2.07,0.182,➖,0.0,False,GPU
12,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1434.0,+58/-44,0.376,25.03,9.0,14.014,4910.38,286.537,✔️,0.0,False,GPU
