method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,13.118891688893655,27.288414010629126,3.090082007173621,1951.5,False,0.0
TabPFN-3,Default,Foundation Model,0.21472657924676145,1.0099025842179519,6.29197148867209,1766.3,False,0.0
TabPFN-2.6,Default,Foundation Model,0.700875014724915,2.7558592936727737,8.223812177420092,1693.4,False,0.0
TabICLv2,Default,Foundation Model,0.118628191947937,0.6015671441553114,7.242385899203114,1673.7,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,11.735986151605083,735.5848736648751,8.960574236076445,1623.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,1.6746674551212202,1719.820290101634,9.288258053713221,1599.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,6.0133340654646315,2526.306680600179,9.453546599508723,1590.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.24857039354928848,489.92741010372185,9.293429591105975,1584.0,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3859818405575224,735.5848736648751,9.575971202341742,1579.7,False,0.0
CatBoost,Tuned,Tree-based,0.01969751471208236,489.92741010372185,9.499601310515109,1570.8,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.638673830958025,131.56200707040514,10.83672106975216,1563.8,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.48310103142961025,1.5980652039549532,7.865638103254194,1554.4,True,33.33333333333333
CatBoost,Default,Tree-based,0.010282764438985344,2.469413828723084,9.46958719640441,1553.1,False,0.0
iLTM,Tuned + Ens.,Foundation Model,65.19515312136267,2067.952899612129,10.579132898379532,1535.0,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.5626253890991211,282.1320041804491,10.927962283243534,1525.6,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5790353938445546,1236.8778796591432,10.62081771244397,1521.5,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.644969598113518,1.8760518371058228,10.456971922436843,1512.3,False,0.0
RealMLP,Tuned,Neural Network,0.08070331733080324,1719.820290101634,10.44327658418882,1511.0,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.1795394574862431,0.7535798581633265,11.13436765777804,1504.8,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,444.5439481393411,4786.598933193933,10.646599760193164,1502.2,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.2967122120719018,95.91691558887598,12.060557679481674,1494.4,False,0.0
LightGBM,Tuned,Tree-based,0.13223572676641904,131.56200707040514,11.97132716522416,1486.5,False,0.0
XGBoost,Tuned,Tree-based,0.06649421763475445,282.1320041804491,11.48280180410581,1482.4,False,0.0
TabM,Tuned,Neural Network,0.053897801486310716,1236.8778796591432,11.44915194527177,1461.4,False,0.0
ModernNCA,Tuned,Neural Network,0.3490410688188341,2526.306680600179,11.556213461765076,1456.0,False,0.0
ChimeraBoost,Tuned,Tree-based,0.026597070066552417,95.91691558887598,12.520508431603428,1450.4,False,0.0
