method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,66.06532508378928,0.6520557524694399,17.37512783614192,1233.6,1.0,True,33.33333333333333
CatBoost,Tree-based,2.469413828723084,0.010282764438985344,9.472235474373866,1578.1,1.0,False,0.0
CatBoost,Tree-based,4.4162445684880955,0.04068073453140345,9.47659966517265,1582.7,2.0,False,0.0
CatBoost,Tree-based,12.876612222369168,0.06886368438989382,9.43719808769122,1599.3,5.0,False,0.0
CatBoost,Tree-based,24.258974220991107,0.09260063686411787,9.416636171833186,1603.3,10.0,False,0.0
CatBoost,Tree-based,62.05166363782045,0.14800972629415846,9.302529529392679,1614.7,25.0,False,0.0
CatBoost,Tree-based,122.58001743340024,0.17889789170675716,9.261573045139576,1619.5,50.0,False,0.0
CatBoost,Tree-based,242.64107636346372,0.21238325680356107,9.276492542264482,1618.7,100.0,False,0.0
CatBoost,Tree-based,361.12835802610556,0.22857363602101013,9.28363532898997,1617.7,150.0,False,0.0
CatBoost,Tree-based,489.92741010372185,0.25701532770653723,9.292008384235933,1616.1,201.0,False,0.0
ChimeraBoost,Tree-based,0.47897883160115473,0.02253709445919907,13.553416622200176,1424.6,1.0,False,0.0
ChimeraBoost,Tree-based,0.9589536975181837,0.04707955012195989,13.147811646639965,1453.6,2.0,False,0.0
ChimeraBoost,Tree-based,2.3562175890436245,0.09651491905580373,12.84249081472771,1473.8,5.0,False,0.0
ChimeraBoost,Tree-based,4.7221268742289215,0.14469563000700886,12.608509578995145,1490.7,10.0,False,0.0
ChimeraBoost,Tree-based,11.925520358640576,0.20166683840835442,12.418409551250932,1505.3,25.0,False,0.0
ChimeraBoost,Tree-based,23.876897602770455,0.24104859679665822,12.282011219539225,1514.2,50.0,False,0.0
ChimeraBoost,Tree-based,47.75183320297697,0.2647783876343018,12.143553985409344,1522.6,100.0,False,0.0
ChimeraBoost,Tree-based,71.58606156368943,0.28902400667036765,12.081899457995524,1526.8,150.0,False,0.0
ChimeraBoost,Tree-based,95.91691558887598,0.30641840856334224,12.060977138774453,1529.8,201.0,False,0.0
EBM,Tree-based,2.1751921610874043,0.005423073797379131,18.21599429371622,1216.1,1.0,False,0.0
EBM,Tree-based,6.66369259252883,0.01166082767964927,17.533994724620293,1240.8,2.0,False,0.0
EBM,Tree-based,17.233925805413904,0.022699023320909735,16.952385716160258,1267.3,5.0,False,0.0
EBM,Tree-based,34.57775587659134,0.03331359493060592,16.69661678833308,1280.1,10.0,False,0.0
EBM,Tree-based,87.92451656340509,0.049757168812449036,16.394694728627275,1297.1,25.0,False,0.0
EBM,Tree-based,174.9652611713922,0.05930088518555479,16.243084080615926,1307.7,50.0,False,0.0
EBM,Tree-based,345.06715788569375,0.0709126161428919,16.08443271118773,1318.3,100.0,False,0.0
EBM,Tree-based,520.7521321905026,0.0763826625184994,16.029244884274537,1323.3,150.0,False,0.0
EBM,Tree-based,695.6092947224777,0.08519206070345582,15.949836067240556,1329.8,201.0,False,0.0
EXAONE-Tabular,Foundation Model,1.5980652039549532,0.48310103142961025,7.868362930487496,1580.1,1.0,True,33.33333333333333
ExtraTrees,Tree-based,0.48425838390986126,0.07330450852711995,23.092904266522936,971.0,1.0,False,0.0
ExtraTrees,Tree-based,0.8466137520036096,0.07522212407038217,20.960768606772444,1035.0,2.0,False,0.0
