#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1952.0,+268/-133,0.848,4.77,1.74,3.09,27.29,13.119,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1860.0,+82/-46,0.688,7.02,3.44,5.277,191.18,2.207,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1766.0,+198/-123,0.65,10.2,3.58,6.292,1.01,0.215,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1741.0,+81/-56,0.562,11.21,5.84,6.445,432.36,4.085,✔️,0.0,False,CPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1693.0,+124/-65,0.499,13.39,9.62,8.224,2.76,0.701,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1674.0,+171/-102,0.538,14.37,4.69,7.242,0.6,0.119,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1624.0,+133/-98,0.453,17.07,9.16,8.961,735.58,11.736,✔️,0.0,False,GPU
7,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1599.0,+89/-87,0.405,18.5,13.06,9.288,1719.82,1.675,✔️,0.0,False,GPU
8,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1590.0,+99/-102,0.401,19.02,13.34,9.454,2526.31,6.013,✔️,0.0,False,GPU
9,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1584.0,+89/-65,0.37,19.41,10.32,9.293,489.93,0.249,✔️,0.0,False,CPU
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1580.0,+117/-91,0.411,19.67,11.25,9.576,735.58,1.386,✔️,0.0,False,GPU
11,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1571.0,+99/-68,0.364,20.23,10.24,9.5,489.93,0.02,✔️,0.0,False,CPU
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1564.0,+66/-53,0.321,20.67,14.98,10.837,131.56,2.639,✔️,0.0,False,CPU
13,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular) [33.33% IMPUTED],1554.0,+220/-160,0.545,21.27,3.11,7.866,1.6,0.483,✔️,33.33,True,GPU
14,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1553.0,+100/-99,0.368,21.36,10.55,9.47,2.47,0.01,✔️,0.0,False,CPU
15,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1535.0,+75/-51,0.318,22.54,17.24,10.579,2067.95,65.195,✔️,0.0,False,GPU
16,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1526.0,+82/-55,0.292,23.17,17.22,10.928,282.13,0.563,✔️,0.0,False,CPU
17,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1522.0,+128/-81,0.298,23.44,15.21,10.621,1236.88,0.579,✔️,0.0,False,GPU
18,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1512.0,+124/-74,0.329,24.07,16.0,10.457,1.88,0.645,✔️,0.0,False,GPU
19,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1511.0,+100/-84,0.297,24.16,15.67,10.443,1719.82,0.081,✔️,0.0,False,GPU
20,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1505.0,+147/-134,0.365,24.59,11.74,11.134,0.75,0.18,➖,0.0,False,GPU
