method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,5.357838133261318,39.5720422516442,4.884024762839294,1725.6,False,0.0
TabPFN-3,Default,Foundation Model,0.4158216638576948,9.169929954447653,10.961273845304179,1615.1,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.047594848219795,2289.3887157667205,11.4172583815775,1574.1,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5482886619733942,7.034289077293122,12.139938417117268,1574.1,False,0.0
TabICLv2,Default,Foundation Model,0.1520731744535504,3.9320097545321064,11.741904374651218,1551.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.1425914844543796,2289.3887157667205,12.13591644640281,1534.9,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6362272807949252,6.7587899978217045,12.556120539391058,1520.8,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.35815645883972175,4.981060347575868,12.32579229715051,1487.5,True,22.22222222222222
RealMLP,Tuned + Ens.,Neural Network,21.902496279105236,3771.8540221067997,14.735568743344674,1456.5,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,48.588627102811344,3528.128959607702,14.932628553403033,1451.3,True,8.333333333333332
Mitra,Default,Foundation Model,3.0927295997183135,126.87396663943096,15.654395122619412,1433.0,True,8.333333333333332
TabDPT-Turbo,Default,Foundation Model,0.19227067519018423,4.691113094573359,15.493665150582247,1430.1,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,218.45336407352897,5119.776985103065,15.416561960124767,1429.8,False,0.0
TabM,Tuned + Ens.,Neural Network,3.8381409685971137,2585.579863640918,15.839089397983392,1406.2,False,0.0
TabDPT,Tuned,Foundation Model,28.351340383207884,5119.776985103065,16.043087749247125,1399.1,False,0.0
LimiX,Default,Foundation Model,6.828482678301318,35.50961056314309,15.360931961715485,1388.9,False,0.0
RealMLP,Tuned,Neural Network,1.7776750936346917,3771.8540221067997,16.100715282573653,1380.7,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.5704534160747796,892.4854074789564,17.08674578141911,1370.5,False,0.0
TabPFNv2,Tuned,Foundation Model,0.8166246617857557,3528.128959607702,17.028595344315825,1367.5,True,8.333333333333332
TabM,Tuned,Neural Network,0.4361574183230644,2585.579863640918,16.71614947844438,1353.8,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.39602676030046535,1739.1690497297914,17.209563066426142,1350.0,False,0.0
TabSwift,Default,Foundation Model,0.05791268987655686,2.756051243933877,17.37720934528003,1349.8,False,0.0
iLTM,Tuned + Ens.,Foundation Model,841.445890748085,22811.744051243128,17.562648605900613,1345.7,False,0.0
CatBoost,Tuned,Tree-based,0.050853266781756806,1739.1690497297914,17.447053158291276,1337.5,False,0.0
LightGBM,Tuned,Tree-based,0.3458375857654502,892.4854074789564,17.539640070946362,1337.1,False,0.0
TabPFNv2,Default,Foundation Model,0.443006671229105,4.544388143196018,18.11104362206855,1328.0,True,8.333333333333332
TabDPT,Default,Foundation Model,43.707401035938005,50.32502415266903,18.166429375744965,1321.7,False,0.0
xRFM,Tuned + Ens.,Other,2.9395549707468733,1126.9686387245144,18.03743790650774,1317.2,False,0.0
TabICL,Default,Foundation Model,1.4691971112476048,7.146562521152578,18.756482609623607,1311.3,True,27.77777777777778
XGBoost,Tuned + Ens.,Tree-based,2.3674863948529943,884.4808277373293,18.079764309204897,1311.0,False,0.0
ModernNCA,Tuned,Neural Network,0.5053503954101921,6523.550336157642,18.212695894587977,1309.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.390322625318314,6523.550336157642,18.48726362558224,1308.8,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.2773508676992504,16.230459759105607,19.064420919902105,1306.2,False,0.0
CatBoost,Default,Tree-based,0.0455896073914258,8.462590335549091,18.350969041226577,1304.6,False,0.0
BetaTabPFN,Default,Foundation Model,1.8345788262882152,296.9945447700435,19.280083207138357,1298.3,True,22.22222222222222
XGBoost,Tuned,Tree-based,0.3929683730676072,884.4808277373293,18.289155829896107,1294.1,False,0.0
TabM,Default,Neural Network,0.4449377919636944,9.936009218949234,18.40566332540441,1281.2,False,0.0
xRFM,Tuned,Other,0.16324468073957168,1126.9686387245144,19.066378376725552,1272.8,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.45490386498083757,1218.8724153795765,19.653076135480674,1265.5,False,0.0
ChimeraBoost,Tuned,Tree-based,0.03598330933688246,1218.8724153795765,19.93890837172293,1248.5,False,0.0
iLTM,Tuned,Foundation Model,161.22064740025013,22811.744051243128,19.388426836284424,1247.2,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.1570271396274556,3865.9507169384297,19.264361481522254,1247.0,False,0.0
EBM,Tuned + Ens.,Tree-based,0.15296939610611437,2499.3997394448907,20.100225533571546,1246.3,False,0.0
ModernNCA,Default,Neural Network,0.32060068900263267,16.279623910227823,21.36422459418702,1229.6,False,0.0
EBM,Tuned,Tree-based,0.017293833845938654,2499.3997394448907,20.652347476118766,1219.3,False,0.0
RealMLP,Default,Neural Network,4.688867646313849,15.69323516601608,20.161393223987282,1211.9,False,0.0
ChimeraBoost,Default,Tree-based,0.04138894865138677,5.4899520078266,21.07075275015592,1207.1,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.501127939369875,822.5846846042664,21.792054338711043,1205.9,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,8.068837476686,1679.3959423676156,20.849353312226505,1205.5,False,0.0
EBM,Default,Tree-based,0.017156058727181196,7.388420291453219,21.387845981850006,1193.0,False,0.0
TorchMLP,Tuned,Neural Network,0.14743941123732562,3865.9507169384297,20.998239705374957,1185.9,False,0.0
ExtraTrees,Tuned,Tree-based,0.21369237168913796,822.5846846042664,22.489060816612316,1183.7,False,0.0
XGBoost,Default,Tree-based,0.2525411892114416,3.2873922338088355,21.38740890373228,1160.0,False,0.0
LightGBM,Default,Tree-based,0.1695753132718836,3.608651599211503,21.363191253848807,1159.5,False,0.0
FastaiMLP,Tuned,Neural Network,0.8257869199912973,1679.3959423676156,21.980977125941124,1159.4,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.4602306270544885,590.0394439850668,23.36913070377478,1150.8,False,0.0
Nori-30M,Default,Foundation Model,0.1169043968804043,0.5832555356945537,25.042039209447843,1148.8,True,77.77777777777779
Nori,Default,Foundation Model,0.1169043968804043,0.5832555356945537,25.38523627513007,1142.2,True,77.77777777777779
TabSTAR,Tuned,Foundation Model,5.606208042584258,40848.86657483013,25.62105939779622,1125.6,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,25.936207253387835,40848.86657483013,25.65423986301592,1124.5,False,0.0
OrionMSP,Default,Foundation Model,2.4053218489649923,13.7518758577916,24.17397214099994,1120.7,True,22.22222222222222
RandomForest,Tuned,Tree-based,0.15030078963359184,590.0394439850668,24.09630713656018,1112.3,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.8948102983830184,342.03900946680346,28.574514792771836,1079.4,False,0.0
iLTM,Default,Foundation Model,161.81343832142903,524.4765295003572,25.031491789969333,1061.9,False,0.0
TorchMLP,Default,Neural Network,0.1550906391981672,13.688894957032199,24.89533278918,1057.1,False,0.0
PerpetualBooster,Tuned,Tree-based,0.3125464363490111,342.03900946680346,30.028323036697348,1046.0,False,0.0
xRFM,Default,Other,1.0976028857093967,5.446030178240368,26.78711912743392,1040.5,False,0.0
TabFlex,Default,Foundation Model,0.14965449633049194,1.577054089641916,27.701877924064988,1034.0,True,22.22222222222222
TabSTAR,Default,Foundation Model,7.213726442305473,471.6614585494219,30.4778112389235,1030.3,False,0.0
ExtraTrees,Default,Tree-based,0.5663988088013532,4.194175284298607,27.70861446718524,1020.0,False,0.0
FastaiMLP,Default,Neural Network,0.6842938244078286,5.483894573958628,26.975523499136816,1000.5,False,0.0
