method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,296.9945447700435,1.8345788262882152,19.30045661024834,1317.3,1.0,True,22.22222222222222
CatBoost,Tree-based,8.462590335549091,0.0455896073914258,18.370614960656383,1321.6,1.0,False,0.0
CatBoost,Tree-based,20.346193555734267,0.09660970481496081,17.77552336805071,1347.6,2.0,False,0.0
CatBoost,Tree-based,49.72308624090884,0.18065285816060878,17.41211650314841,1365.7,5.0,False,0.0
CatBoost,Tree-based,92.48508500945157,0.23983440670665684,17.2789604306946,1370.8,10.0,False,0.0
CatBoost,Tree-based,216.01313992020846,0.2815893316185425,17.175658814684944,1374.2,25.0,False,0.0
CatBoost,Tree-based,428.4029173434785,0.31791456478804925,17.178754144032027,1373.4,50.0,False,0.0
CatBoost,Tree-based,862.8837988810473,0.38060021065068383,17.196592052672074,1371.7,100.0,False,0.0
CatBoost,Tree-based,1291.843839644664,0.38736151225316695,17.220881697052466,1370.3,150.0,False,0.0
CatBoost,Tree-based,1739.1690497297914,0.39602676030046535,17.227149229308495,1369.3,201.0,False,0.0
ChimeraBoost,Tree-based,5.4899520078266,0.04138894865138677,21.08980159838245,1217.0,1.0,False,0.0
ChimeraBoost,Tree-based,11.334103150400939,0.08018211274281706,20.777614075146968,1233.2,2.0,False,0.0
ChimeraBoost,Tree-based,28.892796772186244,0.14570389969215242,20.594370841710568,1243.4,5.0,False,0.0
ChimeraBoost,Tree-based,58.87203197884595,0.2046887661505208,20.42309032348347,1251.0,10.0,False,0.0
ChimeraBoost,Tree-based,150.36569983602635,0.2874258032409872,20.118276400314407,1262.6,25.0,False,0.0
ChimeraBoost,Tree-based,302.47871980891523,0.3447163363004163,19.961459735998215,1269.7,50.0,False,0.0
ChimeraBoost,Tree-based,606.008218265041,0.4006058604567584,19.788838342489154,1276.6,100.0,False,0.0
ChimeraBoost,Tree-based,908.7557510717904,0.43279691313346724,19.716464873329745,1279.0,150.0,False,0.0
ChimeraBoost,Tree-based,1218.8724153795765,0.4496610990803296,19.671650495029116,1281.6,201.0,False,0.0
EBM,Tree-based,7.388420291453219,0.017156058727181196,21.407692320246227,1201.4,1.0,False,0.0
EBM,Tree-based,19.13979943869537,0.033315531949338485,21.132798320580516,1212.0,2.0,False,0.0
EBM,Tree-based,59.65680170213522,0.06020202098143048,20.775857085144875,1230.0,5.0,False,0.0
EBM,Tree-based,123.90743183396125,0.07941086088006653,20.62696366671245,1237.7,10.0,False,0.0
EBM,Tree-based,318.46001064068014,0.10750903547065471,20.430672514747485,1245.3,25.0,False,0.0
EBM,Tree-based,623.1113495162684,0.12378308877985164,20.294458852543272,1252.2,50.0,False,0.0
EBM,Tree-based,1256.5403166692183,0.14405226317495906,20.188630491771654,1256.9,100.0,False,0.0
EBM,Tree-based,1885.0271107114127,0.14697197529268866,20.15055668274383,1259.9,150.0,False,0.0
EBM,Tree-based,2499.3997394448907,0.1440681396038307,20.124172204595276,1261.5,201.0,False,0.0
EXAONE-Tabular,Foundation Model,4.981060347575868,0.35815645883972175,12.346637967095148,1507.9,1.0,True,22.22222222222222
ExtraTrees,Tree-based,4.194175284298607,0.5663988088013532,27.726774546550658,1021.2,1.0,False,0.0
ExtraTrees,Tree-based,8.720078438945333,0.7011757791959015,26.01097677611992,1063.9,2.0,False,0.0
ExtraTrees,Tree-based,21.685275973670596,0.7330007012763398,23.577473583758668,1129.9,5.0,False,0.0
ExtraTrees,Tree-based,43.12316999769439,0.7428670659282961,22.75340535902128,1169.0,10.0,False,0.0
ExtraTrees,Tree-based,107.39538737179987,1.018855954643115,22.14434397410549,1199.1,25.0,False,0.0
ExtraTrees,Tree-based,210.06024633928405,1.2214373513463619,21.984483984219704,1208.5,50.0,False,0.0
ExtraTrees,Tree-based,412.0764862110399,1.4038021731459822,21.880958517366047,1214.4,100.0,False,0.0
ExtraTrees,Tree-based,614.240675925616,1.462695758694767,21.82165110301901,1218.9,150.0,False,0.0
ExtraTrees,Tree-based,822.5846846042664,1.501127939369875,21.81231920857062,1219.5,201.0,False,0.0
FastaiMLP,Neural Network,5.483894573958628,0.6842938244078286,26.99443426910588,1004.3,1.0,False,0.0
FastaiMLP,Neural Network,14.530250474180118,1.4234649143152087,25.723154615592208,1045.9,2.0,False,0.0
FastaiMLP,Neural Network,42.06854030037134,2.70863815575737,23.66409096506585,1118.7,5.0,False,0.0
FastaiMLP,Neural Network,79.19690331067542,3.9064906778565582,22.702989692985064,1154.8,10.0,False,0.0
FastaiMLP,Neural Network,202.91650957601354,5.517691743805193,21.827849731489213,1185.8,25.0,False,0.0
FastaiMLP,Neural Network,413.0147999434225,6.825523560748225,21.426602007960803,1202.2,50.0,False,0.0
FastaiMLP,Neural Network,829.4495951905283,7.579914014700657,21.145358532545842,1211.5,100.0,False,0.0
FastaiMLP,Neural Network,1248.122171700538,7.913305846749778,20.968052874827766,1217.8,150.0,False,0.0
FastaiMLP,Neural Network,1679.3959423676156,8.077227734441916,20.865120422308134,1221.5,201.0,False,0.0
LightGBM,Tree-based,3.608651599211503,0.1695753132718836,21.3823406993182,1163.9,1.0,False,0.0
LightGBM,Tree-based,8.865955424310329,0.7271936335358054,19.497847734621455,1249.5,2.0,False,0.0
LightGBM,Tree-based,21.921505878230747,1.165245524912983,18.32622292329259,1319.7,5.0,False,0.0
LightGBM,Tree-based,43.593394992671044,1.4098790833754133,17.8346410613137,1349.9,10.0,False,0.0
LightGBM,Tree-based,110.8314003139697,1.8172136653942288,17.470349803970887,1373.2,25.0,False,0.0
LightGBM,Tree-based,222.35789421136602,2.0744273860536486,17.349884471219358,1381.9,50.0,False,0.0
LightGBM,Tree-based,444.73169339543847,2.3211352586207132,17.20362722440093,1390.8,100.0,False,0.0
LightGBM,Tree-based,664.9958936778935,2.425276738483371,17.14220574380491,1393.7,150.0,False,0.0
LightGBM,Tree-based,892.4854074789564,2.5817474842043104,17.105571783934252,1395.0,201.0,False,0.0
LimiX,Foundation Model,35.50961056314309,6.828482678301318,15.410531900421933,1411.3,1.0,False,0.0
Mitra,Foundation Model,126.87396663943096,3.0927295997183135,15.6752135952819,1455.2,1.0,True,8.333333333333332
ModernNCA,Neural Network,16.279623910227823,0.32060068900263267,21.383587703995293,1242.2,1.0,False,0.0
ModernNCA,Neural Network,54.21648382537063,0.8565664694763102,20.165632870969148,1264.7,2.0,False,0.0
ModernNCA,Neural Network,158.53994120196415,1.9156693463145684,18.227661256456003,1337.5,5.0,False,0.0
ModernNCA,Neural Network,318.0880622722443,2.785843758633247,17.819889671599455,1354.3,10.0,False,0.0
ModernNCA,Neural Network,784.3400464923684,4.219514475452051,17.4088264557205,1371.9,25.0,False,0.0
ModernNCA,Neural Network,1619.6093744476316,5.574964791511255,17.60714612469838,1361.9,50.0,False,0.0
ModernNCA,Neural Network,3239.1118632438247,7.063712430292479,18.025942803715377,1346.2,100.0,False,0.0
ModernNCA,Neural Network,4838.988606911565,7.8596602241219475,18.33611845032852,1334.4,150.0,False,0.0
ModernNCA,Neural Network,6523.550336157642,8.384898189151137,18.511159030127118,1326.8,201.0,False,0.0
Nori,Foundation Model,0.5832555356945537,0.1169043968804043,25.402114954677184,1148.4,1.0,True,77.77777777777779
Nori-30M,Foundation Model,0.5832555356945537,0.1169043968804043,25.05900176249078,1154.2,1.0,True,77.77777777777779
OrionMSP,Foundation Model,13.7518758577916,2.4053218489649923,24.18960108323142,1130.1,1.0,True,22.22222222222222
PerpetualBooster,Tree-based,39.09071168560041,0.040657078690582577,33.42330277560465,942.3,1.0,False,0.0
PerpetualBooster,Tree-based,114.19680170724877,0.3252722557923411,31.300848720021357,1001.4,2.0,False,0.0
PerpetualBooster,Tree-based,285.35259642784723,0.7833048920276815,28.778045347126074,1081.3,5.0,False,0.0
PerpetualBooster,Tree-based,342.03900946680346,0.8948102983830184,28.590111778945705,1088.0,6.0,False,0.0
RandomForest,Tree-based,0.5088535014091562,0.08856487680890945,28.53321024857391,997.2,1.0,False,0.0
RandomForest,Tree-based,3.3556051422440136,0.274181271644493,26.237901136643927,1052.2,2.0,False,0.0
RandomForest,Tree-based,12.849220132990748,0.4818339926449089,24.951852729410273,1084.6,5.0,False,0.0
RandomForest,Tree-based,27.96770195892894,0.678992572925596,24.19890696129599,1113.0,10.0,False,0.0
RandomForest,Tree-based,70.75466255009994,0.8688853999623392,23.658492789842995,1144.1,25.0,False,0.0
RandomForest,Tree-based,143.98648318866492,1.0449947563121842,23.525104733939077,1151.9,50.0,False,0.0
RandomForest,Tree-based,290.43930986552186,1.2523875096341897,23.438779273068647,1156.5,100.0,False,0.0
RandomForest,Tree-based,439.37065780631167,1.373768748735566,23.402463661529193,1158.2,150.0,False,0.0
RandomForest,Tree-based,590.0394439850668,1.459960166778112,23.38541544051368,1159.2,201.0,False,0.0
RealMLP,Neural Network,15.69323516601608,4.688867646313849,20.18151999253982,1220.5,1.0,False,0.0
RealMLP,Neural Network,33.849680863187785,6.699336819048018,17.774782287991034,1320.3,2.0,False,0.0
RealMLP,Neural Network,89.022575403558,10.361104313047106,16.058712617873176,1409.9,5.0,False,0.0
RealMLP,Neural Network,186.9144346810765,12.414049216861697,15.522107942097128,1442.0,10.0,False,0.0
RealMLP,Neural Network,469.4672918764594,14.92712763820984,15.15391165923787,1464.2,25.0,False,0.0
RealMLP,Neural Network,941.4479936377176,17.204325480320684,14.977350048977451,1475.9,50.0,False,0.0
RealMLP,Neural Network,1881.3658212549644,19.31438802167681,14.877616394208104,1480.9,100.0,False,0.0
RealMLP,Neural Network,2818.5782940853887,20.502682004182418,14.818170616143444,1484.4,150.0,False,0.0
RealMLP,Neural Network,3771.8540221067997,21.902496279105236,14.75765145026013,1485.1,201.0,False,0.0
RealTabPFN-2.5,Foundation Model,6.7587899978217045,0.6362272807949252,12.57746745547622,1546.8,1.0,False,0.0
RealTabPFN-2.5,Foundation Model,20.022077391499224,1.3637258308022322,12.493405576897684,1552.5,2.0,False,0.0
RealTabPFN-2.5,Foundation Model,54.35009239022621,2.776795940260542,12.105454285471499,1571.6,5.0,False,0.0
RealTabPFN-2.5,Foundation Model,108.98790128787763,4.002983246839659,11.906299193259422,1589.6,10.0,False,0.0
RealTabPFN-2.5,Foundation Model,284.7684460336686,5.7106402075573115,11.702226856762794,1599.7,25.0,False,0.0
RealTabPFN-2.5,Foundation Model,566.4138152118644,6.793591917858365,11.594630943811413,1603.4,50.0,False,0.0
RealTabPFN-2.5,Foundation Model,1137.2039338041147,7.389127054143678,11.520246254532909,1604.2,100.0,False,0.0
RealTabPFN-2.5,Foundation Model,1710.4116369596145,7.871864394392892,11.488203413107538,1604.5,150.0,False,0.0
RealTabPFN-2.5,Foundation Model,2289.3887157667205,8.353344818085464,11.448175620477524,1603.1,201.0,False,0.0
SAP-RPT-OSS,Foundation Model,16.230459759105607,1.2773508676992504,19.084464307700514,1325.9,1.0,False,0.0
TabDPT,Foundation Model,50.32502415266903,43.707401035938005,18.185196366093802,1338.6,1.0,False,0.0
TabDPT,Foundation Model,73.76989416372965,52.11201629009561,17.496701861740547,1363.8,2.0,False,0.0
TabDPT,Foundation Model,139.81847708335647,66.0787878176586,16.80635482138332,1396.9,5.0,False,0.0
TabDPT,Foundation Model,256.4808826588974,83.6221921836606,16.47949530870524,1412.7,10.0,False,0.0
TabDPT,Foundation Model,631.0078513375786,110.24799428469449,15.931805786165773,1433.3,25.0,False,0.0
TabDPT,Foundation Model,1275.2299790654088,138.47537424399025,15.67454535315953,1443.4,50.0,False,0.0
TabDPT,Foundation Model,2539.0709530625045,167.42760567363604,15.52426017110945,1450.5,100.0,False,0.0
TabDPT,Foundation Model,3811.208024605316,188.43165590675713,15.4624856277651,1452.4,150.0,False,0.0
TabDPT,Foundation Model,5119.776985103065,214.0824864784409,15.44164717830987,1453.0,201.0,False,0.0
TabDPT-Turbo,Foundation Model,4.691113094573359,0.19227067519018423,15.512820169909148,1449.5,1.0,False,0.0
