#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1785.0,+128/-94,0.866,6.98,1.73,4.31,36.45,7.109,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1747.0,+95/-81,0.764,8.19,3.07,9.385,4.67,0.486,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1660.0,+96/-63,0.636,11.68,5.05,11.621,2.63,0.361,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1656.0,+110/-79,0.597,11.89,4.72,9.091,272.41,4.561,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1591.0,+109/-58,0.579,15.34,5.76,11.735,1.77,0.158,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1582.0,+71/-58,0.514,15.83,8.91,12.985,4.82,0.464,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1538.0,+95/-53,0.447,18.6,9.63,13.649,1924.5,9.103,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1522.0,+74/-46,0.451,19.68,12.38,14.086,4.91,0.694,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1511.0,+89/-48,0.418,20.52,10.09,14.214,1924.5,1.329,✔️,0.0,False,GPU
9,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1481.0,+68/-65,0.357,22.67,9.96,14.544,1152.97,1.783,✔️,0.0,False,CPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1465.0,+46/-48,0.317,23.91,15.81,15.459,2775.98,8.849,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1451.0,+61/-46,0.287,25.04,12.7,15.904,1612.07,1.884,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [3.33% IMPUTED],1442.0,+63/-50,0.313,25.75,14.69,15.624,8.06,1.742,✔️,3.33,True,GPU
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1428.0,+63/-62,0.312,26.91,11.67,16.192,1.44,0.169,➖,0.0,False,GPU
14,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1411.0,+49/-37,0.217,28.36,19.81,17.001,328.96,1.101,✔️,0.0,False,CPU
15,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1401.0,+50/-50,0.23,29.21,18.74,16.707,8305.07,336.002,✔️,0.0,False,GPU
