method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,5.431932250658671,36.24491429754666,4.571212726652673,1747.9,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.43570130999823753,5.162976646711908,11.376651450533139,1680.0,False,0.0
TabPFN-3,Default,Foundation Model,0.3744839930077728,3.84587629730259,12.684787721192809,1642.0,False,0.0
TabICLv2,Default,Foundation Model,0.15222672472663104,2.088316620786023,12.939507487268278,1574.8,False,0.0
TabPFN-2.6,Default,Foundation Model,0.4326735826958353,5.482579877802832,14.067383964338385,1562.2,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5540470708890218,5.962145398916137,14.624755622939855,1554.8,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.252025413513184,2052.2840837184044,14.126730196612131,1552.0,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.2654117447919029,2052.2840837184044,14.716886284414986,1527.0,False,0.0
Mitra,Default,Foundation Model,3.7558219649574975,143.1617088460674,16.432739567184267,1469.0,True,4.761904761904762
TabPFNv2,Tuned + Ens.,Foundation Model,45.82936051460243,3422.3190042951023,16.750774579371804,1450.9,True,4.761904761904762
LimiX,Default,Foundation Model,4.462784518646911,19.824824253007126,16.615423345709555,1437.7,False,0.0
TabICL,Default,Foundation Model,1.7059832513332367,7.781949517713424,16.55153788976403,1437.3,True,4.761904761904762
TabDPT-Turbo,Default,Foundation Model,0.11417163213094075,2.2957537094751994,16.74011699382661,1433.1,False,0.0
RealMLP,Tuned + Ens.,Neural Network,15.588518142700195,2950.724447694827,17.896649380255326,1412.9,False,0.0
TabM,Tuned + Ens.,Neural Network,2.70855267121191,2289.9106349320264,18.020802407320183,1402.5,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,268.5791952446735,5351.934348066203,17.146686941630936,1387.8,False,0.0
TabPFNv2,Tuned,Foundation Model,0.9822813165446185,3422.3190042951023,19.059324251077438,1381.0,True,4.761904761904762
BetaTabPFN,Default,Foundation Model,1.9820731121689172,317.92182453076043,19.205559461737025,1378.0,False,0.0
TabSwift,Default,Foundation Model,0.051998686889031635,1.2303610878757132,18.635126585349635,1367.8,False,0.0
TabDPT,Tuned,Foundation Model,37.60604917208354,5351.934348066203,17.722798663440777,1359.0,False,0.0
TabM,Tuned,Neural Network,0.2655194186451044,2289.9106349320264,18.893802854639073,1353.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.1797709941864014,512.6694116522284,19.128048907269772,1352.3,False,0.0
TabPFNv2,Default,Foundation Model,0.42078975041707356,4.047361085812251,20.158859329083008,1341.9,True,4.761904761904762
LightGBM,Tuned,Tree-based,0.2429152386529105,512.6694116522284,19.548423908790095,1322.1,False,0.0
iLTM,Tuned + Ens.,Foundation Model,543.2330416202544,15277.755542325975,19.417589955172154,1321.7,False,0.0
