#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1748.0,+157/-110,0.877,7.46,1.79,4.571,36.24,5.432,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1680.0,+114/-69,0.734,9.92,4.04,11.377,5.16,0.436,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1642.0,+103/-59,0.666,11.59,5.14,12.685,3.85,0.374,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1587.0,+100/-78,0.564,14.39,5.6,10.374,368.19,6.655,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1575.0,+129/-85,0.623,15.09,5.98,12.94,2.09,0.152,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1562.0,+100/-63,0.547,15.83,8.3,14.067,5.48,0.433,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1555.0,+83/-41,0.531,16.27,10.92,14.625,5.96,0.554,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1552.0,+127/-61,0.51,16.44,8.37,14.127,2052.28,8.252,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1527.0,+114/-54,0.482,18.02,8.79,14.717,2052.28,1.265,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [4.76% IMPUTED],1469.0,+82/-54,0.404,22.07,10.61,16.433,143.16,3.756,✔️,4.76,True,GPU
10,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [4.76% IMPUTED],1451.0,+91/-54,0.35,23.44,12.6,16.751,3422.32,45.829,✔️,4.76,True,GPU
11,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1438.0,+102/-78,0.362,24.47,10.78,16.615,19.82,4.463,➖,0.0,False,GPU
12,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [4.76% IMPUTED],1437.0,+61/-60,0.339,24.5,13.96,16.552,7.78,1.706,✔️,4.76,True,GPU
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1433.0,+69/-63,0.347,24.83,10.63,16.74,2.3,0.114,➖,0.0,False,GPU
14,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1413.0,+61/-49,0.284,26.46,17.26,17.897,2950.72,15.589,✔️,0.0,False,GPU
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1402.0,+74/-51,0.262,27.32,12.96,18.021,2289.91,2.709,✔️,0.0,False,GPU
16,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1396.0,+75/-66,0.261,27.84,17.99,17.77,1921.63,1.717,✔️,0.0,False,CPU
17,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1388.0,+71/-67,0.265,28.55,13.33,17.147,5351.93,268.579,✔️,0.0,False,GPU
18,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [4.76% IMPUTED],1381.0,+115/-65,0.285,29.13,13.46,19.059,3422.32,0.982,✔️,4.76,True,GPU
19,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1378.0,+73/-60,0.269,29.39,15.87,19.206,317.92,1.982,➖,0.0,False,GPU
20,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1368.0,+79/-72,0.298,30.26,17.77,18.635,1.23,0.052,➖,0.0,False,GPU
21,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1359.0,+80/-68,0.239,31.03,13.73,17.723,5351.93,37.606,✔️,0.0,False,GPU
22,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1353.0,+77/-50,0.201,31.55,14.9,18.894,2289.91,0.266,✔️,0.0,False,GPU
23,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1352.0,+44/-36,0.166,31.61,23.1,19.128,512.67,1.18,✔️,0.0,False,CPU
24,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [4.76% IMPUTED],1342.0,+97/-74,0.278,32.53,14.19,20.159,4.05,0.421,✔️,4.76,True,GPU
25,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1322.0,+36/-34,0.121,34.3,25.98,19.548,512.67,0.243,✔️,0.0,False,CPU
26,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1322.0,+62/-55,0.147,34.34,22.35,19.418,15277.76,543.233,✔️,0.0,False,GPU
27,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1321.0,+67/-54,0.166,34.36,18.81,19.575,2950.72,1.225,✔️,0.0,False,GPU
28,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1311.0,+46/-43,0.13,35.32,24.42,19.95,1260.85,0.312,✔️,0.0,False,CPU
29,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1307.0,+73/-62,0.166,35.67,17.94,19.987,4806.04,0.512,✔️,0.0,False,GPU
30,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1307.0,+47/-44,0.136,35.7,24.69,20.048,3.83,0.025,✔️,0.0,False,CPU
31,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1305.0,+46/-42,0.125,35.82,25.19,20.056,1260.85,0.031,✔️,0.0,False,CPU
32,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1297.0,+64/-74,0.192,36.56,15.91,21.716,9.05,1.763,➖,0.0,False,GPU
33,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1288.0,+85/-78,0.199,37.42,19.51,20.034,51.83,43.611,✔️,0.0,False,GPU
34,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1279.0,+44/-48,0.099,38.2,27.99,20.471,693.49,1.397,✔️,0.0,False,CPU
35,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1277.0,+60/-56,0.114,38.37,26.28,21.207,550.77,0.236,✔️,0.0,False,CPU
36,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1277.0,+48/-65,0.122,38.39,23.82,20.531,711.98,2.983,✔️,0.0,False,GPU
37,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1268.0,+60/-61,0.142,39.19,22.03,20.699,6.8,0.248,✔️,0.0,False,GPU
38,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1267.0,+95/-102,0.187,39.35,18.67,21.284,4806.04,8.45,✔️,0.0,False,GPU
39,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1259.0,+59/-66,0.126,40.07,19.46,22.121,14.38,0.334,✔️,0.0,False,GPU
40,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1258.0,+44/-49,0.072,40.14,27.46,21.438,1353.2,0.155,✔️,0.0,False,CPU
41,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1257.0,+61/-51,0.087,40.25,28.06,21.591,550.77,0.028,✔️,0.0,False,CPU
42,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1256.0,+38/-39,0.062,40.34,27.16,20.817,693.49,0.194,✔️,0.0,False,CPU
43,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1254.0,+51/-65,0.091,40.46,24.72,21.359,711.98,0.162,✔️,0.0,False,GPU
44,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1249.0,+71/-52,0.1,40.92,29.67,20.781,2665.48,2.619,✔️,0.0,False,CPU
45,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1237.0,+44/-49,0.053,42.03,28.36,21.939,1353.2,0.017,✔️,0.0,False,CPU
46,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1231.0,+67/-57,0.082,42.57,25.45,22.192,2.58,0.029,✔️,0.0,False,CPU
47,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1222.0,+56/-49,0.053,43.43,29.27,22.021,15277.76,119.284,✔️,0.0,False,GPU
48,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1218.0,+48/-56,0.059,43.83,25.63,22.363,6.67,0.018,✔️,0.0,False,CPU
49,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1218.0,+62/-80,0.1,43.84,27.54,22.018,644.68,5.974,✔️,0.0,False,CPU
50,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1216.0,+48/-52,0.064,44.01,27.67,21.775,10.9,2.248,✔️,0.0,False,GPU
51,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1186.0,+77/-74,0.12,46.65,29.23,23.28,14.16,2.52,➖,0.0,False,GPU
52,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1183.0,+117/-95,0.227,46.92,9.75,24.014,34059.64,3.908,✔️,0.0,False,GPU
53,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1180.0,+62/-45,0.043,47.18,34.45,22.717,2665.48,0.143,✔️,0.0,False,CPU
54,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1177.0,+122/-96,0.216,47.48,9.36,24.164,34059.64,18.811,✔️,0.0,False,GPU
55,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1170.0,+58/-84,0.044,48.13,29.17,23.335,644.68,0.398,✔️,0.0,False,CPU
56,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1160.0,+64/-80,0.034,48.97,37.57,23.835,346.84,0.936,✔️,0.0,False,CPU
57,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1157.0,+53/-54,0.022,49.28,40.45,23.387,1.94,0.121,✔️,0.0,False,CPU
58,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1143.0,+66/-85,0.037,50.47,35.79,24.46,346.84,0.078,✔️,0.0,False,CPU
59,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1130.0,+43/-54,0.015,51.59,42.82,23.718,2.44,0.121,✔️,0.0,False,CPU
60,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1129.0,+74/-68,0.053,51.66,27.28,24.744,335.81,85.05,✔️,0.0,False,GPU
61,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1111.0,+59/-80,0.042,53.19,38.07,25.776,218.34,0.904,✔️,0.0,False,CPU
62,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1102.0,+60/-97,0.025,53.88,37.36,25.638,484.44,1.025,✔️,0.0,False,CPU
63,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1094.0,+132/-130,0.141,54.59,15.96,28.416,460.12,6.641,✔️,0.0,False,GPU
64,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1076.0,+58/-82,0.021,55.96,40.53,27.255,218.34,0.322,✔️,0.0,False,CPU
65,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),1073.0,+103/-126,0.079,56.23,31.23,27.767,1.3,0.15,➖,0.0,False,GPU
66,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1069.0,+50/-94,0.005,56.52,41.21,26.2,484.44,0.086,✔️,0.0,False,CPU
67,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1054.0,+59/-90,0.015,57.71,39.46,26.571,9.39,0.13,✔️,0.0,False,CPU
68,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1024.0,+98/-134,0.068,59.93,33.8,31.513,278.97,0.873,✔️,0.0,False,CPU
69,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1018.0,+74/-93,0.0,60.29,35.3,27.228,2.97,0.388,✔️,0.0,False,CPU
70,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1003.0,+95/-132,0.044,61.33,35.95,32.027,278.97,0.103,✔️,0.0,False,CPU
71,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1001.0,+79/-128,0.013,61.48,51.39,28.686,2.07,0.314,✔️,0.0,False,CPU
72,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+57/-125,0.005,61.54,52.95,28.96,0.42,0.041,✔️,0.0,False,CPU
73,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),992.0,+77/-118,0.013,62.11,43.19,29.123,90.74,1.622,✔️,0.0,False,CPU
74,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),988.0,+81/-115,0.003,62.33,53.85,30.384,3.71,0.919,✔️,0.0,False,GPU
75,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),971.0,+62/-68,0.0,63.43,48.82,29.491,30.83,0.029,✔️,0.0,False,CPU
76,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),959.0,+88/-165,0.03,64.13,39.31,33.938,1.48,0.139,✔️,0.0,False,CPU
77,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),925.0,+81/-141,0.001,66.09,44.37,33.18,90.74,0.125,✔️,0.0,False,CPU
78,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),635.0,+102/-195,0.0,76.05,66.82,45.703,0.22,0.02,✔️,0.0,False,CPU
