#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),2092.0,+228/-108,0.815,4.41,2.11,5.123,2.07,0.758,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",2025.0,+137/-47,0.682,5.72,3.36,5.878,147.57,1.973,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2012.0,+300/-166,0.813,6.02,1.75,4.333,38.86,18.759,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1875.0,+166/-78,0.585,10.11,4.93,6.947,314.18,2.249,✔️,0.0,False,CPU
4,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1853.0,+276/-175,0.587,10.93,4.37,8.497,1.1,0.289,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1760.0,+138/-86,0.444,15.06,10.39,10.302,2.41,0.701,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1752.0,+188/-111,0.459,15.42,5.58,9.305,0.63,0.17,✔️,0.0,False,GPU
7,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1711.0,+144/-87,0.419,17.59,9.46,9.858,378.5,0.168,✔️,0.0,False,CPU
8,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1706.0,+141/-78,0.429,17.89,8.57,9.74,1.49,0.019,✔️,0.0,False,CPU
9,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1704.0,+104/-68,0.394,17.99,14.25,11.067,1607.74,72.982,✔️,0.0,False,GPU
