method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,507.7823899342097,4.426940619405343,23.470818489644518,1364.9,1.0,False,0.0
CatBoost,Tree-based,26.13742789366099,0.20170444142275518,22.201871042846104,1332.7,1.0,False,0.0
CatBoost,Tree-based,49.19544602392181,0.3433286258434307,20.684028625354497,1389.2,2.0,False,0.0
CatBoost,Tree-based,117.00854195849668,0.5207122169525975,20.025154306097665,1420.8,5.0,False,0.0
CatBoost,Tree-based,233.72486605338713,0.6542443518045544,19.698868094973157,1434.8,10.0,False,0.0
CatBoost,Tree-based,454.75818346419686,0.8258809333066502,19.401079015765724,1448.5,25.0,False,0.0
CatBoost,Tree-based,753.8317289359928,0.9640813790935967,19.3808875536327,1448.9,50.0,False,0.0
CatBoost,Tree-based,1385.7187287571805,1.0748368063707008,19.32128592280901,1451.9,100.0,False,0.0
CatBoost,Tree-based,2005.1799172380197,1.1178203711488455,19.314967263136037,1453.3,150.0,False,0.0
CatBoost,Tree-based,2635.9752136463762,1.1808204253846237,19.2820273176184,1452.9,201.0,False,0.0
ChimeraBoost,Tree-based,7.201168496631119,0.19049136136443023,27.63281990904035,1157.9,1.0,False,0.0
ChimeraBoost,Tree-based,15.101549461020891,0.3136490333916959,27.157836275604545,1173.8,2.0,False,0.0
ChimeraBoost,Tree-based,38.07600658431905,0.46192688784643665,26.767334091014288,1185.5,5.0,False,0.0
ChimeraBoost,Tree-based,76.92973269444634,0.5999824339916358,26.30920033024945,1198.4,10.0,False,0.0
ChimeraBoost,Tree-based,196.6496559405669,0.7770406751074992,25.56819136343527,1214.8,25.0,False,0.0
ChimeraBoost,Tree-based,396.66080339676284,0.9245123489661253,25.242463843504808,1224.0,50.0,False,0.0
ChimeraBoost,Tree-based,796.7427370653036,1.0877966046397247,24.837979152663667,1235.2,100.0,False,0.0
ChimeraBoost,Tree-based,1194.3788869412715,1.1969191452010894,24.685204956791175,1241.0,150.0,False,0.0
ChimeraBoost,Tree-based,1599.9245048672137,1.2759753363490358,24.59975206214884,1245.0,201.0,False,0.0
EBM,Tree-based,13.333580501025555,0.040082346912771266,24.600907011396334,1280.9,1.0,False,0.0
EBM,Tree-based,155.23010347907604,0.09866316415290208,24.208731124695326,1291.8,2.0,False,0.0
EBM,Tree-based,423.1216867301315,0.14700990519113627,23.51542134145897,1315.8,5.0,False,0.0
EBM,Tree-based,1126.003811828648,0.16940697838148297,23.27756057015692,1324.3,10.0,False,0.0
EBM,Tree-based,3121.656759404237,0.2138690234895924,22.892953828562508,1336.0,25.0,False,0.0
EBM,Tree-based,6636.642856327824,0.23307224244985125,22.651310495819928,1345.6,50.0,False,0.0
EBM,Tree-based,13596.84107651328,0.25167044703633445,22.45935880993941,1353.2,100.0,False,0.0
EBM,Tree-based,20505.230578428396,0.2739203723250307,22.373353159822727,1358.0,150.0,False,0.0
EBM,Tree-based,27107.397248593214,0.27105694823421905,22.316629262216413,1360.3,201.0,False,0.0
EXAONE-Tabular,Foundation Model,8.618001593202118,0.6693328454508813,9.228693197721398,1864.5,1.0,False,0.0
ExtraTrees,Tree-based,4.8501982350850765,0.7862858498591274,39.39708151266118,942.0,1.0,False,0.0
ExtraTrees,Tree-based,9.710349951291759,0.9602823864265554,35.04574368630134,1022.0,2.0,False,0.0
ExtraTrees,Tree-based,24.709506898533668,1.001813583398566,28.550152909969828,1145.1,5.0,False,0.0
ExtraTrees,Tree-based,49.04001818007762,1.0557265009260564,26.654941648339207,1235.1,10.0,False,0.0
ExtraTrees,Tree-based,122.02377500521395,1.2034774794146552,25.20610231149474,1309.9,25.0,False,0.0
ExtraTrees,Tree-based,244.08034213061723,1.287947714462487,24.993415053687794,1318.0,50.0,False,0.0
ExtraTrees,Tree-based,488.40877412704265,1.4038021731459822,24.80058435494751,1325.6,100.0,False,0.0
ExtraTrees,Tree-based,733.708603972744,1.462695758694767,24.675121606841753,1332.0,150.0,False,0.0
ExtraTrees,Tree-based,984.661073781255,1.4872412963136712,24.624069335271415,1334.2,201.0,False,0.0
FastaiMLP,Neural Network,8.5155691543652,0.7338910560299701,36.86533994305679,940.8,1.0,False,0.0
FastaiMLP,Neural Network,21.559937580973347,1.7139282714443247,34.98946919078889,999.1,2.0,False,0.0
FastaiMLP,Neural Network,62.13603275656138,3.4892327246525663,31.50710194516168,1111.0,5.0,False,0.0
FastaiMLP,Neural Network,125.96328894069649,5.000374699210011,29.912352714356842,1168.4,10.0,False,0.0
FastaiMLP,Neural Network,322.1066821739281,6.33512329657845,28.30703117793553,1225.6,25.0,False,0.0
FastaiMLP,Neural Network,651.6805621191926,7.79143801240809,27.57954046803316,1252.2,50.0,False,0.0
FastaiMLP,Neural Network,1305.7711888266813,9.830449911891389,27.203703393813882,1263.6,100.0,False,0.0
FastaiMLP,Neural Network,1966.281164308358,11.53057556230321,27.01086671094488,1267.9,150.0,False,0.0
FastaiMLP,Neural Network,2644.9909431874785,12.269734669130642,26.878225184655186,1270.8,201.0,False,0.0
LightGBM,Tree-based,5.043462912231246,0.42908086042012583,25.488378455679957,1230.4,1.0,False,0.0
LightGBM,Tree-based,12.78239399582683,1.6502979595031344,24.342068037818457,1282.2,2.0,False,0.0
LightGBM,Tree-based,32.375532787977576,2.4043257831593507,23.209749227576914,1331.2,5.0,False,0.0
LightGBM,Tree-based,66.0618660448555,3.115096146524877,22.404811325931785,1360.3,10.0,False,0.0
LightGBM,Tree-based,169.99159704284295,3.9668372585132263,21.136622441147505,1402.8,25.0,False,0.0
LightGBM,Tree-based,340.9497698538288,4.508980324385277,20.536289910106014,1434.1,50.0,False,0.0
LightGBM,Tree-based,684.7234530330733,4.992662072571254,20.156823491227012,1453.3,100.0,False,0.0
LightGBM,Tree-based,1025.161950767345,5.026900028315628,20.026261101371478,1458.9,150.0,False,0.0
LightGBM,Tree-based,1377.4770257446412,5.175795363759211,19.87666015305984,1466.5,201.0,False,0.0
LimiX,Foundation Model,44.325578779036704,7.0619559967285905,14.2237626181656,1562.6,1.0,False,0.0
Mitra,Foundation Model,161.66357378677074,3.7027625172331016,22.446913112296894,1447.1,1.0,True,25.0
ModernNCA,Neural Network,17.945726862267563,0.6906021319723983,28.34998409973063,1197.6,1.0,False,0.0
ModernNCA,Neural Network,57.12227388524393,1.2899674846590665,25.86576436444664,1238.8,2.0,False,0.0
ModernNCA,Neural Network,171.1040017200243,2.0939148168839297,23.009000570915962,1322.0,5.0,False,0.0
ModernNCA,Neural Network,346.96357506881174,3.0865111274337758,22.227480249753597,1353.6,10.0,False,0.0
ModernNCA,Neural Network,858.4265706115943,4.795090154402881,21.355109266214047,1388.8,25.0,False,0.0
ModernNCA,Neural Network,1767.2813809484546,6.224511555987505,21.02349553158673,1396.7,50.0,False,0.0
ModernNCA,Neural Network,3533.1581339320855,7.802054949548973,20.952601093449204,1396.8,100.0,False,0.0
ModernNCA,Neural Network,5301.536431219654,8.69277724362847,20.693950745582598,1397.2,150.0,False,0.0
ModernNCA,Neural Network,7128.671587504601,9.210511137627178,20.54778411442866,1396.0,201.0,False,0.0
OrionMSP,Foundation Model,21.062362420507682,3.3671495151490705,35.014391263331156,1003.9,1.0,False,0.0
PerpetualBooster,Tree-based,228.94541854623907,0.4648882861704263,57.9918535631943,810.5,1.0,False,0.0
PerpetualBooster,Tree-based,466.15078773900274,4.187277176132507,56.43767940307033,838.3,2.0,False,0.0
PerpetualBooster,Tree-based,1174.430136350619,9.924433106854986,52.36064990371857,877.8,5.0,False,0.0
PerpetualBooster,Tree-based,1409.509791524661,10.371842728861795,51.93733443276272,886.7,6.0,False,0.0
RandomForest,Tree-based,0.7350357632559927,0.13725411629860573,38.220515954234614,987.3,1.0,False,0.0
RandomForest,Tree-based,4.593441185936451,0.48648459345806516,30.943685727112857,1107.0,2.0,False,0.0
RandomForest,Tree-based,15.694085758916447,0.8733492574413844,27.52991995802519,1174.7,5.0,False,0.0
RandomForest,Tree-based,34.140766644075796,1.1516799056550502,25.911945943667092,1225.8,10.0,False,0.0
RandomForest,Tree-based,89.30357903609217,1.4009230268512778,24.896856505096164,1304.0,25.0,False,0.0
RandomForest,Tree-based,181.34791129809793,1.5852633134200158,24.703606250193964,1314.8,50.0,False,0.0
RandomForest,Tree-based,365.51239895115395,1.7100231398229844,24.56116818088152,1322.2,100.0,False,0.0
RandomForest,Tree-based,549.88368900304,1.8241303769862216,24.499077419293364,1324.0,150.0,False,0.0
RandomForest,Tree-based,738.0209327470719,1.869638335775326,24.44275002583272,1326.4,201.0,False,0.0
RealMLP,Neural Network,19.204491924082998,7.61991525040554,28.89445023781969,1150.2,1.0,False,0.0
RealMLP,Neural Network,41.01984582097913,10.747979685564033,23.998598383489377,1305.0,2.0,False,0.0
RealMLP,Neural Network,103.10707848579553,12.29221341442068,21.179477982338184,1403.3,5.0,False,0.0
RealMLP,Neural Network,206.51110377180458,12.866652291205593,20.080701588311822,1439.9,10.0,False,0.0
RealMLP,Neural Network,515.9814235090146,13.192282758948945,19.199644628952015,1469.6,25.0,False,0.0
RealMLP,Neural Network,1035.4018073353477,14.456353019641586,18.700973522939297,1487.9,50.0,False,0.0
RealMLP,Neural Network,2068.8792847089985,16.074549145848746,18.186116936844414,1499.7,100.0,False,0.0
RealMLP,Neural Network,3101.338073969976,17.83360641182664,17.932014646869423,1507.5,150.0,False,0.0
RealMLP,Neural Network,4150.815892399585,19.12832243604106,17.696196738305588,1510.5,201.0,False,0.0
RealTabPFN-2.5,Foundation Model,10.225668064503907,0.8441387841941691,14.33235110993572,1583.5,1.0,False,0.0
RealTabPFN-2.5,Foundation Model,22.899092506711124,1.3215160119580933,14.429768876883484,1592.5,2.0,False,0.0
RealTabPFN-2.5,Foundation Model,62.9203931705935,2.947932300473897,14.141762172589573,1623.9,5.0,False,0.0
RealTabPFN-2.5,Foundation Model,129.5212073934194,4.196122823554044,13.834222656794722,1674.0,10.0,False,0.0
RealTabPFN-2.5,Foundation Model,331.7365286813085,5.770706530733262,13.428357457099512,1703.3,25.0,False,0.0
RealTabPFN-2.5,Foundation Model,668.7066958910299,6.447307575258003,12.669076026226648,1719.8,50.0,False,0.0
RealTabPFN-2.5,Foundation Model,1349.1531554667954,7.424052034721813,12.28116307051939,1718.1,100.0,False,0.0
RealTabPFN-2.5,Foundation Model,2024.052737200866,7.660387927509115,11.995866856083143,1717.2,150.0,False,0.0
RealTabPFN-2.5,Foundation Model,2710.488010135443,8.094662232452926,11.651991044822887,1714.5,201.0,False,0.0
SAP-RPT-OSS,Foundation Model,22.52390939411433,1.6813355770186442,22.02482529323033,1341.4,1.0,False,0.0
TabDPT,Foundation Model,43.39440417395697,42.55455829522329,26.232032031621273,1262.5,1.0,False,0.0
TabDPT,Foundation Model,63.84422932957311,51.19257601038815,25.874537606118935,1281.2,2.0,False,0.0
TabDPT,Foundation Model,122.07796585924774,76.29411559346461,25.21535184877237,1317.8,5.0,False,0.0
TabDPT,Foundation Model,246.0408977705803,103.6508586101627,24.726585771885798,1344.6,10.0,False,0.0
TabDPT,Foundation Model,571.7774981311518,130.93257409186793,23.917120214211465,1372.5,25.0,False,0.0
TabDPT,Foundation Model,1153.6863993272832,148.5135318639013,23.38450157923066,1392.3,50.0,False,0.0
TabDPT,Foundation Model,2305.5325709939393,181.92319119080594,22.958422553190758,1411.3,100.0,False,0.0
TabDPT,Foundation Model,3450.9693523062215,200.1306803402096,22.710128335392,1418.9,150.0,False,0.0
TabDPT,Foundation Model,4635.1714883924005,212.2117190867044,22.52717568055926,1423.8,201.0,False,0.0
TabDPT-Turbo,Foundation Model,5.455623096250603,0.27076534553044534,21.561086752086627,1434.8,1.0,False,0.0
TabFM,Foundation Model,55.12930911696275,7.684594236782276,9.103154141408561,1679.2,1.0,False,0.0
TabFlex,Foundation Model,5.05581579978836,1.013238211516883,41.62406681286483,859.0,1.0,False,0.0
TabICL,Foundation Model,10.980456290861422,1.8981443545697765,25.81970576517322,1320.3,1.0,True,12.5
TabICLv2,Foundation Model,5.6364435240570625,0.1967767848575243,16.139856780254547,1561.6,1.0,False,0.0
TabM,Neural Network,12.828412212289056,0.6734553631972247,23.996026623520176,1336.5,1.0,False,0.0
TabM,Neural Network,30.6749168115199,1.2218434243925482,23.242558831665487,1361.7,2.0,False,0.0
TabM,Neural Network,92.41432741149052,1.9529233416785141,22.275646607032645,1391.0,5.0,False,0.0
TabM,Neural Network,190.64446323142164,2.354244056026939,21.70021354243136,1413.3,10.0,False,0.0
TabM,Neural Network,476.80063909891567,2.865923304598809,21.24051929222852,1431.6,25.0,False,0.0
TabM,Neural Network,956.889266739397,3.2670450084738643,20.90264634319635,1446.4,50.0,False,0.0
