method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.7461262705065892,9.807628346147856,9.29272465524392,1856.5,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.217878699427239,2742.795351331386,13.496617048260948,1720.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,7.9362255958778025,2742.795351331386,12.615224503878677,1708.7,False,0.0
TabFM,Default,Foundation Model,6.446392134487664,64.25012494685382,8.943269833896691,1695.5,False,0.0
TabPFN-2.6,Default,Foundation Model,0.6817692835655438,11.102866444597112,15.820813203115042,1640.7,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8448151087187924,11.214272968867826,13.840599787506545,1627.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,21.354012373017103,4471.586607071707,16.32231354379236,1580.2,False,0.0
TabPFN-3,Default,Foundation Model,0.5239137837015369,12.320374658349172,15.343079757329111,1579.8,False,0.0
TabICLv2,Default,Foundation Model,0.21093796039449758,6.203900757363573,16.599120808896544,1565.0,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,15.004597448503242,2987.9489306484934,20.12754673703989,1559.7,True,14.285714285714285
RealMLP,Tuned,Neural Network,3.7554737985266877,4471.586607071707,17.251062602478424,1553.5,False,0.0
LimiX,Default,Foundation Model,7.429991788882946,46.823452850732465,16.1864734536392,1546.0,False,0.0
TabM,Tuned + Ens.,Neural Network,4.506153841857459,3919.2853343019815,19.856812443835967,1510.9,False,0.0
Mitra,Default,Foundation Model,4.414701461791992,200.34536781714596,21.78119607151034,1503.9,True,14.285714285714285
TabPFNv2,Tuned,Foundation Model,0.6293860489234211,2987.9489306484934,22.040218822503878,1471.0,True,14.285714285714285
TabM,Tuned,Neural Network,0.749394385772344,3919.2853343019815,20.591498987007938,1469.7,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,190.54824223909017,4631.375349995302,22.54390337167505,1458.6,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.3675697396752033,3415.612516483141,19.79469512330505,1458.1,False,0.0
LightGBM,Tuned + Ens.,Tree-based,6.326719786188126,1502.4464127053532,20.662407173168024,1457.7,False,0.0
TabPFNv2,Default,Foundation Model,0.40299339354225094,7.255625807086862,21.766481285897846,1448.9,True,14.285714285714285
LightGBM,Tuned,Tree-based,1.3668411391696849,1502.4464127053532,20.867841835204796,1448.2,False,0.0
BetaTabPFN,Default,Foundation Model,4.813336273584034,684.782312948558,21.57092530156976,1437.8,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.26418607048317566,6.746712209478134,22.593129705632183,1432.7,False,0.0
CatBoost,Tuned,Tree-based,0.2168886269849257,3415.612516483141,20.499202545144474,1431.8,False,0.0
xRFM,Tuned + Ens.,Other,3.1408224571462564,2097.6180059153858,21.950106332531774,1426.8,False,0.0
TabDPT,Tuned,Foundation Model,30.35067978225046,4631.375349995302,23.506790346729826,1421.0,False,0.0
XGBoost,Tuned,Tree-based,1.0214870027771599,2551.650001534814,21.247166496866583,1413.6,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.023340717503022,7359.323073640542,20.96565265100303,1410.6,False,0.0
ModernNCA,Tuned,Neural Network,0.5959001894976946,7359.323073640542,21.068734171094302,1408.7,False,0.0
TabM,Default,Neural Network,0.7329575150257909,13.711809950621426,22.404694075061318,1404.5,False,0.0
XGBoost,Tuned + Ens.,Tree-based,4.526000511185378,2551.650001534814,21.39145219078889,1404.5,False,0.0
iLTM,Tuned + Ens.,Foundation Model,1003.6468494405416,34415.885558880516,21.71923897953551,1398.1,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.4841490713567187,22.563477101717186,21.425561360410747,1388.2,False,0.0
EBM,Tuned + Ens.,Tree-based,0.31497963154581815,45754.92825972748,23.510871553577754,1348.6,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.5409284285819347,1076.4479804347725,25.248721594646067,1348.2,False,0.0
CatBoost,Default,Tree-based,0.2489310712281067,29.226263415828953,22.895842362349043,1342.0,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.103831697616899,4142.898935098259,23.78120896081734,1332.0,False,0.0
TabICL,Default,Foundation Model,2.1323059202416177,11.17543916039703,26.840186944555743,1330.8,True,14.285714285714285
FastaiMLP,Tuned + Ens.,Neural Network,12.585696235693113,2775.6292399687645,24.35870283840023,1330.3,False,0.0
xRFM,Tuned,Other,0.5143737593663773,2097.6180059153858,24.189900649593564,1326.6,False,0.0
iLTM,Tuned,Foundation Model,299.320423301351,34415.885558880516,23.066129675183213,1306.0,False,0.0
RandomForest,Tuned + Ens.,Tree-based,2.1547385268575097,755.2693288279954,25.942018356601928,1305.6,False,0.0
EBM,Tuned,Tree-based,0.0696988937872206,45754.92825972748,24.264398473998636,1304.1,False,0.0
ExtraTrees,Tuned,Tree-based,0.31002165208634674,1076.4479804347725,26.676852817862795,1301.8,False,0.0
TabDPT,Default,Foundation Model,45.718932669158434,46.25175207324282,26.235263205453307,1298.5,False,0.0
EBM,Default,Tree-based,0.04542177871975157,15.520132657809135,25.55265549898227,1289.5,False,0.0
TabSwift,Default,Foundation Model,0.0709157018266486,5.040472581306623,26.522707745863926,1283.4,False,0.0
FastaiMLP,Tuned,Neural Network,1.4309052414677788,2775.6292399687645,25.65827796225631,1271.4,False,0.0
LightGBM,Default,Tree-based,0.43030175803076615,5.3219291516933245,25.044387242880017,1271.0,False,0.0
TorchMLP,Tuned,Neural Network,0.2873908265132765,4142.898935098259,26.140574594380844,1263.6,False,0.0
RandomForest,Tuned,Tree-based,0.3169111951568423,755.2693288279954,27.31487932256967,1254.1,False,0.0
ChimeraBoost,Tuned,Tree-based,0.26793771354367735,2032.7286825123665,25.528748393307094,1251.7,False,0.0
XGBoost,Default,Tree-based,0.5991556339588151,5.480660218929163,24.787774860887808,1243.2,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,1.3667157604327977,2032.7286825123665,25.5988326786493,1242.3,False,0.0
ModernNCA,Default,Neural Network,0.48190807474070585,20.96450913859929,28.893959584724584,1216.7,False,0.0
RealMLP,Default,Neural Network,7.681804908319216,19.635763176602623,27.289576856420723,1205.0,False,0.0
ChimeraBoost,Default,Tree-based,0.23856892645694913,8.453891106384908,28.45926452089924,1165.8,False,0.0
xRFM,Default,Other,2.188752929604735,10.840294812735305,28.854299640228593,1160.4,False,0.0
TorchMLP,Default,Neural Network,0.33657647972944016,14.747789517562653,31.19207630129383,1098.5,False,0.0
OrionMSP,Default,Foundation Model,3.319637547091546,22.952418355546758,34.515640636931785,1043.2,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,35.622145807135134,42561.154121860964,32.758362792726544,1039.1,False,0.0
iLTM,Default,Foundation Model,277.1925819839289,581.4914553919001,30.918380943451755,1038.4,False,0.0
TabSTAR,Tuned,Foundation Model,9.170747331927991,42561.154121860964,32.89247004949904,1031.9,False,0.0
RandomForest,Default,Tree-based,0.14819124995293934,0.8546409522287944,39.74072796083462,1000.0,False,0.0
ExtraTrees,Default,Tree-based,1.0094189938550278,5.991243151372288,37.6171013646925,996.1,False,0.0
FastaiMLP,Default,Neural Network,0.7424241286312081,8.970910735239766,34.456942747069796,994.6,False,0.0
TabFlex,Default,Foundation Model,1.1673847834269206,5.832278426778253,39.20016916130305,925.0,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,13.380830298553331,1838.943888602119,52.331374150766905,924.6,False,0.0
PerpetualBooster,Tuned,Tree-based,5.5720509293350196,1838.943888602119,53.88830819130833,881.0,False,0.0
TabSTAR,Default,Foundation Model,8.877231664157142,801.375360715957,41.537184669223215,879.7,False,0.0
PerpetualBooster,Default,Tree-based,0.573021292951962,295.358272676744,57.759013852611716,868.2,False,0.0
