method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
CatBoost,Tree-based,8.732923523885916,0.016935660981709164,9.541588350188247,1382.2,1.0,False,0.0
CatBoost,Tree-based,21.046557618988086,0.0753245981765459,9.052424580999057,1416.2,2.0,False,0.0
CatBoost,Tree-based,52.58648003647959,0.16091181573423596,8.52806693107834,1458.9,5.0,False,0.0
CatBoost,Tree-based,107.36258134584553,0.22514505055142608,8.281146015253041,1473.9,10.0,False,0.0
CatBoost,Tree-based,273.3208727606643,0.23531963570246756,8.037084364619673,1488.3,25.0,False,0.0
CatBoost,Tree-based,552.7941001427314,0.26941492783209603,7.979495300218637,1494.1,50.0,False,0.0
CatBoost,Tree-based,1107.2542254235855,0.31970633179046065,7.940545565627924,1500.4,100.0,False,0.0
CatBoost,Tree-based,1651.7632314869675,0.3499660794813608,7.9312142319357015,1501.0,150.0,False,0.0
CatBoost,Tree-based,2229.2144624726134,0.38021168966412233,7.915400366714592,1503.3,201.0,False,0.0
ChimeraBoost,Tree-based,2.678966419058685,0.02976273733116104,12.50369262581526,1224.4,1.0,False,0.0
ChimeraBoost,Tree-based,4.43838502030943,0.05569299910832378,12.3857227823812,1231.2,2.0,False,0.0
ChimeraBoost,Tree-based,10.070184857413143,0.09880434772343312,12.199709369090504,1251.4,5.0,False,0.0
ChimeraBoost,Tree-based,20.4645253739688,0.13632406308813003,11.975821331014672,1273.5,10.0,False,0.0
ChimeraBoost,Tree-based,51.95886600464636,0.18372196016959774,11.717285953031757,1295.5,25.0,False,0.0
ChimeraBoost,Tree-based,104.26587092247087,0.20430192785355653,11.534031034915653,1311.3,50.0,False,0.0
ChimeraBoost,Tree-based,208.78799745695375,0.22490813431230566,11.363429848076247,1321.9,100.0,False,0.0
ChimeraBoost,Tree-based,313.25560245070625,0.23110654747601853,11.285211788262844,1328.2,150.0,False,0.0
ChimeraBoost,Tree-based,420.0975247536706,0.24214741084780808,11.240739268626282,1334.8,201.0,False,0.0
EBM,Tree-based,7.869213454213734,0.010819356431344476,15.878216051761543,1046.3,1.0,False,0.0
EBM,Tree-based,17.09456682244302,0.02147572225394565,15.51006880480212,1068.6,2.0,False,0.0
EBM,Tree-based,52.14052021416555,0.040334102272572,15.150622517527431,1099.5,5.0,False,0.0
EBM,Tree-based,97.84285037912392,0.056832926394724356,14.936890230735628,1117.1,10.0,False,0.0
EBM,Tree-based,240.45774746639785,0.07771127079616605,14.647861129003095,1133.2,25.0,False,0.0
EBM,Tree-based,484.5851613773758,0.09315597558925727,14.56138961139826,1141.7,50.0,False,0.0
EBM,Tree-based,933.0688585006111,0.10632280478009579,14.49060067413081,1148.0,100.0,False,0.0
EBM,Tree-based,1378.9985712806792,0.11341740961505929,14.457961150506343,1153.7,150.0,False,0.0
EBM,Tree-based,1865.2663509928632,0.11657501397348424,14.433924500119375,1157.4,201.0,False,0.0
ExtraTrees,Tree-based,2.544521210897763,0.24026220999908487,15.543957594872746,1055.6,1.0,False,0.0
ExtraTrees,Tree-based,3.1259596547771116,0.2792114359144372,14.98364408903137,1100.2,2.0,False,0.0
ExtraTrees,Tree-based,6.772191225672007,0.31581102538748573,14.14824251246571,1157.9,5.0,False,0.0
ExtraTrees,Tree-based,13.288092341970305,0.3028704860640871,13.739591819119756,1180.7,10.0,False,0.0
ExtraTrees,Tree-based,32.8419339595057,0.41052068180720114,13.124023484097918,1212.7,25.0,False,0.0
ExtraTrees,Tree-based,65.49386348647792,0.5221999466471208,12.996922961182136,1225.0,50.0,False,0.0
ExtraTrees,Tree-based,130.83697151858863,0.6604878869775224,12.920886062309759,1230.9,100.0,False,0.0
