,TabFM (default),TabPFN-3 (default),Nori-30M (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabDPT (T+E),TabICLv2 (default),Nori (default),RealMLP (T+E),TabDPT-Turbo (default),ModernNCA (T+E),CatBoost (T+E),LightGBM (T+E),xRFM (T+E),TabM (T+E),iLTM (T+E),TabSwift (default),XGBoost (T+E),TabPFNv2 (T+E),ChimeraBoost (T+E),LimiX (default),Mitra (default),SAP-RPT-OSS (default),TorchMLP (T+E),ExtraTrees (T+E),PerpetualBooster (T+E),EBM (T+E),RandomForest (T+E),FastaiMLP (T+E),TabSTAR (T+E),KNN (T+E),Linear (T+E)
TabFM (default),,0.7564103,0.7196582,0.88205135,0.8948718,0.79401714,0.82393163,0.8606838,0.94358975,0.95042735,0.94700855,0.9794872,0.9846154,0.97179484,0.9743589,0.9794872,0.93504274,0.9794872,0.9282052,0.9846154,0.9803419,0.9692308,0.96153843,0.982906,0.9786325,0.9948718,0.9846154,0.9974359,1.0,0.9564103,0.99230766,1.0
TabPFN-3 (default),0.24358974,,0.59059834,0.6470086,0.6991453,0.53675216,0.7017094,0.7111111,0.8222222,0.8410256,0.8162393,0.84615386,0.8760684,0.876923,0.93247867,0.90512824,0.95811963,0.8760684,0.8931624,0.8709402,0.917094,0.9051282,0.9282052,0.96666676,0.9632479,0.9179487,0.88974357,0.98717946,1.0,0.92051286,0.98205125,1.0
Nori-30M (default),0.2803419,0.4094017,,0.5213675,0.608547,0.508547,0.5017094,0.7264957,0.6794872,0.63846153,0.6606837,0.87264955,0.86752135,0.8529914,0.9145299,0.8957265,0.83589745,0.9111111,0.93504274,0.9128205,0.8444445,0.9683761,0.9205128,0.9461539,0.97094023,0.9863247,0.9752137,0.9837607,0.9974359,0.9512821,0.9897436,1.0
RealTabPFN-2.5 (T+E),0.11794872,0.35299146,0.47863248,,0.5692308,0.56752133,0.4094017,0.61025643,0.7444445,0.68290603,0.72393167,0.77606833,0.82564104,0.85299146,0.91025645,0.84786326,0.86068374,0.9025641,0.8350427,0.89914525,0.8974359,0.8752137,0.87094015,0.9752137,0.87948716,0.99230766,0.974359,0.93846154,1.0,0.9230769,0.98205125,1.0
TabPFN-2.6 (default),0.10512821,0.30085468,0.39145297,0.43076923,,0.5299145,0.42393163,0.5145299,0.7153846,0.5752137,0.73675215,0.87692314,0.8444445,0.88888896,0.9094018,0.874359,0.88803416,0.94017094,0.8222222,0.95726496,0.9247863,0.93589747,0.9128205,0.92905986,0.9581197,0.9974359,0.9846154,0.9948718,0.96581197,0.94358975,0.99230766,1.0
TabDPT (T+E),0.20598291,0.46324784,0.491453,0.4324786,0.47008544,,0.44273508,0.582906,0.5940171,0.78461546,0.67521375,0.77777773,0.8111111,0.8957265,0.84615386,0.9213676,0.8401709,0.8641026,0.7709402,0.85299146,0.83760685,0.88205135,0.88461536,0.9521367,0.97179484,0.9837607,0.9059829,0.9897436,1.0,0.9025641,0.9897436,1.0
TabICLv2 (default),0.17606838,0.2982906,0.4982906,0.5905983,0.57606834,0.557265,,0.53846157,0.7393163,0.6615385,0.8017094,0.81111115,0.80854696,0.8068377,0.8974359,0.82051283,0.85128206,0.82564104,0.81111115,0.8119658,0.90769225,0.8854701,0.948718,0.8435898,0.89401716,0.87777776,0.87094015,0.8803419,0.9230769,0.925641,0.9897436,1.0
Nori (default),0.13931623,0.28888887,0.27350426,0.3897436,0.48547012,0.41709405,0.46153846,,0.5307692,0.50598294,0.61880344,0.8940171,0.8589744,0.7905983,0.808547,0.82564104,0.7794872,0.8632479,0.876923,0.9051282,0.86239314,0.9410257,0.8589744,0.9376068,0.97179484,0.9179487,0.9128205,0.9948718,0.974359,0.94358975,0.98717946,1.0
RealMLP (T+E),0.056410257,0.17777777,0.32051283,0.25555557,0.2846154,0.40598294,0.26068375,0.46923077,,0.53418803,0.625641,0.7692308,0.7692308,0.8470086,0.808547,0.85213673,0.77521366,0.8811966,0.75384617,0.81452996,0.8854701,0.8811966,0.8820512,0.90427357,0.942735,0.9871795,0.9162394,0.9897436,1.0,0.8948718,0.98205125,1.0
TabDPT-Turbo (default),0.04957265,0.15897435,0.36153847,0.317094,0.42478636,0.21538463,0.33846152,0.4940171,0.465812,,0.6247864,0.72649574,0.71025646,0.76153845,0.75555557,0.77179486,0.7811966,0.77521366,0.6871795,0.7863248,0.79999995,0.8299145,0.8290597,0.9128205,0.94871795,0.8974359,0.8282051,0.96666676,0.9837607,0.876923,0.98205125,1.0
