#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1949.0,+173/-99,0.922,5.05,2.14,2.153,49.29,4.094,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1850.0,+255/-123,0.813,7.51,2.47,1.895,12.09,2.053,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1785.0,+192/-107,0.732,9.66,4.27,2.603,14.09,0.439,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1770.0,+192/-103,0.725,10.18,5.66,3.44,12.37,1.566,✔️,0.0,False,GPU
4,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1765.0,+192/-94,0.69,10.39,5.06,3.71,322.87,5.571,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1727.0,+155/-68,0.673,11.95,7.87,3.86,9.2,0.585,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1702.0,+159/-70,0.619,13.05,6.2,4.639,4823.37,140.737,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1694.0,+241/-122,0.609,13.38,6.23,3.257,2307.57,7.226,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1657.0,+126/-47,0.566,15.19,9.49,5.103,4823.37,22.312,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1656.0,+238/-195,0.645,15.25,5.51,4.348,5.15,0.14,✔️,0.0,False,GPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1625.0,+135/-62,0.501,16.84,10.53,5.049,4560.01,33.831,✔️,0.0,False,GPU
11,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1568.0,+132/-61,0.45,20.09,10.13,6.205,48.14,42.001,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1565.0,+240/-134,0.464,20.22,8.6,4.17,2307.57,0.902,✔️,0.0,False,GPU
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1556.0,+144/-73,0.433,20.78,9.75,6.01,7.93,0.264,➖,0.0,False,GPU
14,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1544.0,+114/-72,0.359,21.53,14.81,6.948,5807.07,4.31,✔️,0.0,False,CPU
15,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1535.0,+124/-71,0.359,22.06,14.03,5.974,4560.01,2.233,✔️,0.0,False,GPU
16,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1498.0,+184/-123,0.389,24.47,15.92,6.002,7.67,0.547,✔️,0.0,False,GPU
17,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [12.50% IMPUTED],1495.0,+244/-174,0.393,24.65,12.7,5.614,6559.81,56.287,✔️,12.5,True,GPU
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1477.0,+126/-68,0.241,25.87,20.65,7.754,4283.1,0.444,✔️,0.0,False,CPU
19,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1476.0,+122/-61,0.273,25.96,18.69,9.056,39519.07,1519.479,✔️,0.0,False,GPU
