method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,5.342791974544525,45.35247432751155,4.510833813010231,1777.0,False,0.0
TabPFN-3,Default,Foundation Model,0.41084411838460944,8.571422945591827,10.012419248594881,1615.1,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.955834601138292,2320.558659612181,9.77830297993168,1586.4,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5551544403564476,7.073855674164185,11.107768340035415,1584.1,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5863334021341717,6.577903089845602,11.740776503078914,1554.5,False,0.0
TabICLv2,Default,Foundation Model,0.15023274579663937,3.8948553651571274,11.568301081166416,1533.2,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.9412054433590129,2320.558659612181,11.956254741244463,1528.8,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.37385879100421027,4.662456397483752,12.537899710395314,1479.5,True,22.22222222222222
RealMLP,Tuned + Ens.,Neural Network,24.913845289296074,3855.766675144572,14.166731178350489,1468.2,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,49.19604799837231,3560.2284047226076,14.871689864162141,1436.7,True,8.333333333333332
TabDPT,Tuned + Ens.,Foundation Model,364.09747682751333,8061.7438259540295,14.679043129953442,1427.6,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18686363558339297,5.102009337486628,15.435100225134857,1413.9,False,0.0
RealMLP,Tuned,Neural Network,0.9540214579727067,3855.766675144572,15.288100142366954,1403.4,False,0.0
Mitra,Default,Foundation Model,2.9990016855299473,128.83521090421942,15.964259189235063,1401.9,True,8.333333333333332
LimiX,Default,Foundation Model,7.204604730249089,34.031087348204004,14.409835719836037,1395.5,False,0.0
TabDPT,Tuned,Foundation Model,39.45601197096012,8061.7438259540295,15.666852597317968,1386.9,False,0.0
TabM,Tuned + Ens.,Neural Network,3.4526368272927357,2564.2291668213543,15.987968562431663,1369.7,False,0.0
iLTM,Tuned + Ens.,Foundation Model,529.125864783028,22680.19279174658,16.4388942567394,1361.3,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.181765231490135,833.0924159486466,17.02712352827654,1355.3,False,0.0
CatBoost,Tuned,Tree-based,0.04825924143128331,1827.947236698953,15.905050806093406,1351.5,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.39078466016558655,1827.947236698953,16.36090389103362,1344.8,False,0.0
TabPFNv2,Tuned,Foundation Model,0.5193477530017072,3560.2284047226076,16.968228856060723,1343.3,True,8.333333333333332
TabM,Tuned,Neural Network,0.4533957018202658,2564.2291668213543,16.605168589271827,1340.6,False,0.0
TabSwift,Default,Foundation Model,0.058110995201088866,2.537214301873469,17.339315211826804,1336.2,False,0.0
xRFM,Tuned + Ens.,Other,2.148624671654499,1346.8150776784994,17.636572066506336,1310.1,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.9801914619951182,886.8089747599415,17.93555043771792,1309.0,False,0.0
TabPFNv2,Default,Foundation Model,0.5110070735039796,4.984098862683165,17.634165749945787,1298.3,True,8.333333333333332
LightGBM,Tuned,Tree-based,0.4350380216800548,833.0924159486466,18.01015095600913,1295.4,False,0.0
XGBoost,Tuned,Tree-based,0.31775617454711025,886.8089747599415,18.053363297990636,1295.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.545438803774879,6343.614809475388,18.7262841064857,1294.2,False,0.0
CatBoost,Default,Tree-based,0.040885196766327445,9.035913617563317,18.278887603786803,1291.5,False,0.0
TabDPT,Default,Foundation Model,39.921498930254316,51.78648626613558,18.05622458817471,1290.9,False,0.0
ModernNCA,Tuned,Neural Network,0.5011277893896364,6343.614809475388,18.199252750103184,1284.2,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.456889568582993,1179.9999181447283,19.395133571832204,1277.7,False,0.0
iLTM,Tuned,Foundation Model,126.3012190282635,22680.19279174658,17.926755615565348,1277.5,False,0.0
