method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,7.0561792582959235,37.56085286541245,5.707576548184774,1780.6,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.48485611916875104,4.5054609169457684,8.390907747870184,1761.1,False,0.0
TabPFN-3,Default,Foundation Model,0.3530625429769291,2.9028568605869225,10.967224342865713,1631.7,False,0.0
TabPFN-2.6,Default,Foundation Model,0.46732751131057737,4.818334407462211,12.440649584057217,1580.3,False,0.0
TabICLv2,Default,Foundation Model,0.16003985077461458,1.7694169027021422,12.217528020451333,1576.8,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,10.744405347900123,1878.3590992619372,12.944324424007576,1544.8,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7081268775139049,4.788015269827178,13.224045547171452,1536.9,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.0352207542955876,1878.3590992619372,13.604323523806721,1513.0,False,0.0
RealMLP,Tuned + Ens.,Neural Network,9.310086973846083,2722.1286706272067,14.210131779964447,1485.5,False,0.0
RealMLP,Tuned,Neural Network,0.26452064957959065,2722.1286706272067,15.787913588366914,1416.1,False,0.0
iLTM,Tuned + Ens.,Foundation Model,361.1026011106327,8274.66645037466,15.931746756578974,1406.9,False,0.0
TabM,Tuned + Ens.,Neural Network,1.601935816175824,1641.7401040642999,16.03389318851823,1405.3,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16686481952867496,1.4816805766506467,16.091965864821344,1392.2,False,0.0
TabICL,Default,Foundation Model,2.0066462137869427,8.051302252597445,15.650519612215435,1383.3,True,3.3333333333333335
CatBoost,Tuned,Tree-based,0.02713937979729418,735.4606570949481,16.2747001703099,1375.8,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.7734248688551886,328.6416252859693,16.92510540708807,1374.3,False,0.0
LimiX,Default,Foundation Model,4.303622545922834,14.266900918285131,17.181758722530287,1373.9,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.30073634621479206,735.4606570949481,16.52081519944303,1367.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,409.9318208736349,5891.301430068592,15.69542695826833,1366.5,False,0.0
CatBoost,Default,Tree-based,0.020933960871807933,3.1841367928063065,16.466975544006434,1366.5,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.3055895504472517,275.92656136818533,17.603019378459976,1366.3,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.6132840030598254,463.0121929349545,17.44291275482942,1361.6,False,0.0
TabM,Tuned,Neural Network,0.2189068869540566,1641.7401040642999,16.99613079930429,1361.6,False,0.0
ModernNCA,Tuned,Neural Network,0.405195724330888,3436.743327322619,17.016151851059025,1359.9,False,0.0
TabSwift,Default,Foundation Model,0.0622971538337989,1.1067907258628278,17.063368776899328,1354.3,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.476340629368005,3436.743327322619,17.32711919420014,1340.9,False,0.0
ChimeraBoost,Tuned,Tree-based,0.025722485467007287,275.92656136818533,18.235157105340082,1334.3,False,0.0
TabDPT,Tuned,Foundation Model,39.56404734570363,5891.301430068592,17.43481220516002,1328.0,False,0.0
XGBoost,Tuned,Tree-based,0.10796669580105364,463.0121929349545,17.781953264330433,1327.4,False,0.0
BetaTabPFN,Default,Foundation Model,1.6993924490576053,248.5156197629477,18.768810645647342,1325.6,False,0.0
LightGBM,Tuned,Tree-based,0.08907242783799675,328.6416252859693,18.049940523268216,1315.0,False,0.0
iLTM,Tuned,Foundation Model,40.26774061876153,8274.66645037466,17.6782023325777,1314.3,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,17.906599070634634,2916.211932308972,19.529974837474043,1300.6,True,33.33333333333333
EBM,Tuned + Ens.,Tree-based,0.13993256333866833,976.6816362244101,18.943947574241058,1300.5,False,0.0
RealMLP,Default,Neural Network,1.1617619188751118,9.04466075960556,18.306440244810158,1292.6,False,0.0
xRFM,Tuned + Ens.,Other,1.5127555024891224,559.769651792469,17.98195020385792,1291.9,False,0.0
Mitra,Default,Foundation Model,2.667053025307921,106.35720124113234,19.709103443435403,1290.6,True,33.33333333333333
TabM,Default,Neural Network,0.20245283134092534,5.879596992616121,18.539260312542496,1290.2,False,0.0
ChimeraBoost,Default,Tree-based,0.030391558662428646,1.5249213807962985,19.02690220481267,1286.7,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.3011998096154636,2206.639015644165,18.367087582453006,1273.0,False,0.0
xRFM,Tuned,Other,0.08604776333360112,559.769651792469,19.44481513880196,1254.8,False,0.0
TabPFNv2,Tuned,Foundation Model,0.22468179890087675,2916.211932308972,21.036325645772138,1253.5,True,33.33333333333333
EBM,Tuned,Tree-based,0.014944791793823242,976.6816362244101,19.74426402852823,1247.8,False,0.0
EBM,Default,Tree-based,0.014925670623779298,2.841292559288534,20.34003660739345,1247.6,False,0.0
SAP-RPT-OSS,Default,Foundation Model,3.1690613567950394,13.074128492845563,21.416000446236463,1239.4,False,0.0
TabDPT,Default,Foundation Model,39.443943878242806,47.887199399972175,20.33036807437588,1218.9,False,0.0
TabPFNv2,Default,Foundation Model,0.2562998879299425,2.6092164782255938,21.720675567301033,1213.9,True,33.33333333333333
FastaiMLP,Tuned + Ens.,Neural Network,4.461688632607426,561.2940883156758,20.91086626199896,1213.3,False,0.0
XGBoost,Default,Tree-based,0.11760025587157431,1.4234367091028006,20.656582702496742,1201.4,False,0.0
ModernNCA,Default,Neural Network,0.311792872264511,11.147885501802353,21.528328796798544,1199.7,False,0.0
