#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1781.0,+176/-124,0.774,6.73,1.76,5.708,37.56,7.056,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1761.0,+143/-94,0.731,7.32,2.79,8.391,4.51,0.485,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1632.0,+103/-72,0.574,12.42,5.61,10.967,2.9,0.353,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1606.0,+138/-106,0.571,13.7,4.46,8.405,270.87,4.72,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1580.0,+102/-71,0.502,15.13,8.69,12.441,4.82,0.467,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1577.0,+101/-84,0.498,15.33,8.09,12.218,1.77,0.16,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1545.0,+102/-65,0.449,17.25,9.33,12.944,1878.36,10.744,✔️,0.0,False,GPU
7,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1538.0,+105/-74,0.439,17.7,8.41,12.809,1231.24,1.359,✔️,0.0,False,CPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1537.0,+80/-52,0.442,17.75,11.29,13.224,4.79,0.708,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1513.0,+93/-62,0.431,19.32,10.91,13.604,1878.36,1.035,✔️,0.0,False,GPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1486.0,+66/-57,0.378,21.23,14.23,14.21,2722.13,9.31,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1416.0,+73/-71,0.322,26.55,14.11,15.788,2722.13,0.265,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1407.0,+71/-72,0.298,27.3,15.29,15.932,8274.67,361.103,✔️,0.0,False,GPU
