#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1755.0,+100/-75,0.732,7.33,2.89,8.741,4.66,0.514,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1754.0,+165/-138,0.777,7.34,1.73,5.991,40.79,7.056,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1621.0,+116/-104,0.592,12.63,4.49,9.082,268.44,4.668,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1614.0,+93/-74,0.567,12.99,5.84,11.049,3.52,0.385,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1583.0,+80/-64,0.519,14.63,8.86,12.593,5.39,0.531,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1569.0,+87/-73,0.5,15.43,6.88,11.379,2063.62,9.938,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1557.0,+95/-86,0.495,16.13,7.83,12.871,2.04,0.182,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1530.0,+85/-70,0.466,17.84,10.51,13.579,2063.62,1.086,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1530.0,+68/-61,0.443,17.84,11.11,13.364,5.63,0.771,✔️,0.0,False,GPU
9,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1520.0,+91/-59,0.438,18.47,8.84,13.838,1815.89,1.455,✔️,0.0,False,CPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1470.0,+58/-50,0.374,21.95,13.13,15.182,2774.17,16.363,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1408.0,+50/-54,0.32,26.7,15.05,16.524,2774.17,0.39,✔️,0.0,False,GPU
12,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1401.0,+73/-61,0.318,27.26,12.66,16.906,2207.17,1.894,✔️,0.0,False,GPU
13,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1391.0,+86/-70,0.342,28.08,8.29,16.385,18.2,4.692,➖,0.0,False,GPU
14,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1387.0,+61/-64,0.277,28.39,16.97,16.933,12550.1,427.59,✔️,0.0,False,GPU
15,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1385.0,+62/-51,0.28,28.55,15.01,16.212,1087.73,0.034,✔️,0.0,False,CPU
16,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1384.0,+85/-62,0.286,28.64,13.62,17.435,2.1,0.186,➖,0.0,False,GPU
17,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1380.0,+60/-44,0.233,29.03,21.83,17.51,391.27,1.243,✔️,0.0,False,CPU
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1378.0,+71/-47,0.264,29.14,18.63,16.571,1087.73,0.348,✔️,0.0,False,CPU
19,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1364.0,+94/-60,0.281,30.3,15.64,17.676,2207.17,0.234,✔️,0.0,False,GPU
20,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1364.0,+91/-59,0.276,30.32,13.58,17.08,6067.42,404.053,✔️,0.0,False,GPU
21,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1358.0,+69/-63,0.227,30.86,21.43,18.041,682.62,0.971,✔️,0.0,False,CPU
22,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [5.26% IMPUTED],1357.0,+74/-69,0.254,30.91,12.77,17.885,9.08,2.007,✔️,5.26,True,GPU
23,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1346.0,+63/-67,0.237,31.86,18.13,17.989,4853.47,0.473,✔️,0.0,False,GPU
24,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1344.0,+48/-54,0.225,32.05,22.26,17.704,4.89,0.025,✔️,0.0,False,CPU
25,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1334.0,+91/-79,0.246,32.95,20.19,18.163,4853.47,9.385,✔️,0.0,False,GPU
26,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1332.0,+55/-69,0.234,33.09,22.35,19.165,500.4,0.416,✔️,0.0,False,CPU
27,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1330.0,+65/-48,0.192,33.24,26.27,18.414,391.27,0.186,✔️,0.0,False,CPU
28,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1330.0,+66/-64,0.205,33.26,15.72,18.264,682.62,0.183,✔️,0.0,False,CPU
29,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1320.0,+70/-68,0.227,34.2,18.58,18.724,6067.42,39.564,✔️,0.0,False,GPU
30,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1319.0,+59/-63,0.2,34.28,21.32,19.218,1.2,0.064,➖,0.0,False,GPU
31,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [31.58% IMPUTED],1317.0,+95/-79,0.269,34.38,17.97,19.96,2916.21,17.593,✔️,31.58,True,GPU
32,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1311.0,+63/-57,0.209,34.95,23.57,20.089,250.99,2.035,➖,0.0,False,GPU
33,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1307.0,+70/-70,0.213,35.26,21.35,19.559,500.4,0.031,✔️,0.0,False,CPU
34,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [31.58% IMPUTED],1306.0,+85/-75,0.236,35.39,17.38,20.256,118.42,2.667,✔️,31.58,True,GPU
