method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,303.58744374984343,2.322831617545355,20.382733325778872,1353.4,1.0,False,0.0
CatBoost,Tree-based,7.3166111387389945,0.04049501513000159,20.1620085813651,1304.2,1.0,False,0.0
CatBoost,Tree-based,13.002101375109383,0.07642601220073833,19.427165901865443,1328.0,2.0,False,0.0
CatBoost,Tree-based,34.983850745794896,0.16465174853801728,19.093950073497602,1336.7,5.0,False,0.0
CatBoost,Tree-based,71.4491054100512,0.20596719831228255,18.899856865658165,1344.8,10.0,False,0.0
CatBoost,Tree-based,197.34215619106237,0.24599976986646652,18.78547369474975,1346.7,25.0,False,0.0
CatBoost,Tree-based,391.40365686249027,0.2734896111539318,18.806569570154032,1341.8,50.0,False,0.0
CatBoost,Tree-based,788.0795112227574,0.33103362481117937,18.618956205239737,1340.7,100.0,False,0.0
CatBoost,Tree-based,1179.7013801714866,0.3663053836160751,18.622845521115273,1333.5,150.0,False,0.0
CatBoost,Tree-based,1580.612883732634,0.38064266978339717,18.52845894594701,1340.5,201.0,False,0.0
ChimeraBoost,Tree-based,4.883566957786245,0.046494288448420795,23.895070937322508,1199.1,1.0,False,0.0
ChimeraBoost,Tree-based,10.414093577003118,0.08487845214191722,23.183206123184053,1232.9,2.0,False,0.0
ChimeraBoost,Tree-based,25.923774854029396,0.16911676968391215,22.706722023745023,1254.5,5.0,False,0.0
ChimeraBoost,Tree-based,52.8409015955808,0.22691089091799843,22.461281414717927,1262.6,10.0,False,0.0
ChimeraBoost,Tree-based,137.1347812526604,0.3076887708800843,22.03388415184063,1277.2,25.0,False,0.0
ChimeraBoost,Tree-based,276.15662028615736,0.3654650581144069,21.828194252229846,1285.4,50.0,False,0.0
ChimeraBoost,Tree-based,553.6509294091297,0.4622840009756622,21.737894441005068,1284.4,100.0,False,0.0
ChimeraBoost,Tree-based,829.2384033906874,0.473006764119559,21.668801095874677,1286.0,150.0,False,0.0
ChimeraBoost,Tree-based,1110.8290906412622,0.5527550553463381,21.676306512778748,1283.2,201.0,False,0.0
EBM,Tree-based,7.269331273082633,0.0218718174324596,22.158965305572824,1234.9,1.0,False,0.0
EBM,Tree-based,17.37861557910739,0.050845688420007085,21.928334065252912,1244.5,2.0,False,0.0
EBM,Tree-based,52.847957234788915,0.07394101254803584,21.65230579788633,1258.6,5.0,False,0.0
EBM,Tree-based,105.33096571131803,0.09142528285221785,21.578568690078242,1261.3,10.0,False,0.0
EBM,Tree-based,259.3104620970418,0.12486774183972224,21.474229295011522,1269.4,25.0,False,0.0
EBM,Tree-based,524.5599999251274,0.13503187228780184,21.299933828642313,1277.2,50.0,False,0.0
