,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),RealMLP (T+E),LimiX (default),TabPFNv2 (T+E),Mitra (default),TabDPT-Turbo (default),TabDPT (T+E),TabM (T+E),BetaTabPFN (default),TabICL (default),iLTM (T+E),LightGBM (T+E),CatBoost (T+E),TabSwift (default),xRFM (T+E),XGBoost (T+E),SAP-RPT-OSS (default),EBM (T+E),ChimeraBoost (T+E),ModernNCA (T+E),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),TabSTAR (T+E),RandomForest (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default),KNN (T+E),Linear (T+E)
TabFM (default),,0.85714287,0.85714287,0.89285713,0.85714287,0.89285713,0.8214286,0.89285713,0.96428573,1.0,0.89285713,0.9285714,0.89285713,0.9285714,0.96428573,0.85714287,0.9285714,0.96428573,0.89285713,0.9285714,0.9285714,0.89285713,0.89285713,0.9285714,0.89285713,0.96428573,0.89285713,0.9285714,0.85714287,0.9285714,1.0,0.96428573,1.0,0.9285714,0.96428573
EXAONE-Tabular (default),0.14285715,,0.64285713,0.78571427,0.85714287,0.6785714,0.85714287,0.8214286,0.96428573,0.89285713,0.78571427,0.8214286,0.85714287,0.96428573,0.9285714,0.89285713,0.9285714,1.0,0.85714287,0.9285714,0.9285714,0.89285713,0.89285713,0.96428573,0.96428573,0.96428573,0.89285713,0.9285714,0.8214286,0.96428573,1.0,0.96428573,0.9285714,0.96428573,0.96428573
TabPFN-3 (default),0.14285715,0.35714287,,0.5535714,0.53571427,0.5714286,0.71428573,0.6785714,0.71428573,0.8214286,0.75,0.75,0.78571427,0.89285713,0.9285714,0.8214286,0.89285713,0.8214286,0.85714287,0.85714287,0.89285713,0.75,0.78571427,0.89285713,0.9285714,0.9285714,0.85714287,0.96428573,0.8214286,0.9285714,0.96428573,1.0,0.9285714,0.96428573,0.96428573
RealTabPFN-2.5 (T+E),0.10714286,0.21428572,0.44642857,,0.5714286,0.60714287,0.71428573,0.71428573,0.85714287,0.8214286,0.60714287,0.64285713,0.75,0.8214286,0.71428573,0.8214286,0.89285713,0.9285714,0.78571427,0.85714287,0.9285714,0.85714287,0.8214286,0.85714287,0.89285713,0.85714287,0.85714287,0.9285714,0.78571427,0.9285714,0.9285714,0.96428573,0.85714287,0.9285714,0.9285714
TabPFN-2.6 (default),0.14285715,0.14285715,0.4642857,0.42857143,,0.42857143,0.6785714,0.75,0.75,0.8214286,0.71428573,0.64285713,0.71428573,0.8214286,0.85714287,0.89285713,0.89285713,0.85714287,0.78571427,0.89285713,0.85714287,0.78571427,0.8214286,0.8214286,0.9285714,0.9285714,0.89285713,0.89285713,0.78571427,0.9285714,0.96428573,0.96428573,0.89285713,0.96428573,0.96428573
TabICLv2 (default),0.10714286,0.32142857,0.42857143,0.39285713,0.5714286,,0.6785714,0.64285713,0.6785714,0.71428573,0.71428573,0.78571427,0.71428573,0.85714287,0.78571427,0.78571427,0.8214286,0.75,0.8214286,0.8214286,0.78571427,0.71428573,0.78571427,0.85714287,0.89285713,0.89285713,0.96428573,0.8214286,0.8214286,0.85714287,0.9285714,0.89285713,0.96428573,0.9285714,0.96428573
RealMLP (T+E),0.17857143,0.14285715,0.2857143,0.2857143,0.32142857,0.32142857,,0.39285713,0.4642857,0.53571427,0.53571427,0.53571427,0.6785714,0.6785714,0.64285713,0.78571427,0.78571427,0.85714287,0.64285713,0.6785714,0.85714287,0.71428573,0.8214286,0.78571427,0.78571427,0.8214286,0.85714287,0.78571427,0.75,0.75,0.9285714,0.9285714,0.85714287,0.9285714,0.96428573
LimiX (default),0.10714286,0.17857143,0.32142857,0.2857143,0.25,0.35714287,0.60714287,,0.60714287,0.53571427,0.53571427,0.4642857,0.6785714,0.6785714,0.60714287,0.6964286,0.75,0.6785714,0.60714287,0.75,0.75,0.75,0.78571427,0.75,0.75,0.78571427,0.75,0.85714287,0.8214286,0.85714287,0.85714287,0.91071427,0.89285713,0.9285714,0.96428573
TabPFNv2 (T+E),0.035714287,0.035714287,0.2857143,0.14285715,0.25,0.32142857,0.53571427,0.39285713,,0.5535714,0.5,0.53571427,0.6785714,0.71428573,0.625,0.64285713,0.71428573,0.6785714,0.64285713,0.71428573,0.8214286,0.60714287,0.78571427,0.71428573,0.78571427,0.78571427,0.75,0.78571427,0.71428573,0.85714287,0.8214286,0.8214286,0.8214286,0.89285713,0.96428573
Mitra (default),0.0,0.10714286,0.17857143,0.17857143,0.17857143,0.2857143,0.4642857,0.4642857,0.44642857,,0.5,0.53571427,0.71428573,0.64285713,0.64285713,0.6785714,0.71428573,0.64285713,0.64285713,0.6785714,0.6785714,0.60714287,0.71428573,0.75,0.8214286,0.71428573,0.75,0.75,0.75,0.75,0.8214286,0.83928573,0.85714287,0.89285713,0.96428573
