#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),29964.0,+0/-0,1.0,1.0,1.0,0.0,3.94,3.192,➖,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",28772.0,+0/-0,0.85,2.0,2.0,4.445,259.67,0.61,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),27406.0,+0/-0,0.848,3.0,3.0,4.498,134.59,8.308,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),25964.0,+0/-0,0.847,4.0,4.0,4.526,0.93,0.273,✔️,0.0,False,GPU
4,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",24413.0,+0/-0,0.788,5.0,5.0,6.149,276.98,4.897,✔️,0.0,False,CPU
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),23508.0,+0/-0,0.742,6.0,6.0,7.385,134.59,2.818,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),22445.0,+0/-0,0.665,7.0,7.0,9.385,1.84,0.516,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),21586.0,+0/-0,0.591,8.0,8.0,11.224,1.7,0.59,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),21004.0,+0/-0,0.494,9.0,9.0,13.523,35.65,17.704,✔️,0.0,False,GPU
9,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),20342.0,+0/-0,0.465,10.0,10.0,14.192,6601.46,0.107,✔️,0.0,False,CPU
10,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),19678.0,+0/-0,0.465,11.0,11.0,14.205,0.48,0.143,✔️,0.0,False,GPU
11,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),19046.0,+0/-0,0.462,12.0,12.0,14.275,61.47,0.154,✔️,0.0,False,CPU
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),18460.0,+0/-0,0.459,13.0,13.0,14.338,157.4,4.579,✔️,0.0,False,CPU
13,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),17810.0,+0/-0,0.458,14.0,14.0,14.366,157.4,0.401,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),17170.0,+0/-0,0.455,15.0,15.0,14.421,0.82,0.278,➖,0.0,False,GPU
15,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),16540.0,+0/-0,0.443,16.0,16.0,14.687,61.47,0.015,✔️,0.0,False,CPU
16,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),15935.0,+0/-0,0.438,17.0,17.0,14.817,6601.46,0.012,✔️,0.0,False,CPU
17,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),15340.0,+0/-0,0.429,18.0,18.0,15.012,1261.24,0.234,✔️,0.0,False,CPU
18,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),14724.0,+0/-0,0.421,19.0,19.0,15.197,1261.24,0.03,✔️,0.0,False,CPU
19,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),14109.0,+0/-0,0.41,20.0,20.0,15.424,456.33,1.17,✔️,0.0,False,CPU
20,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),13499.0,+0/-0,0.398,21.0,21.0,15.693,456.33,0.047,✔️,0.0,False,CPU
