#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2478.0,+1402/-145,0.907,1.6,1.43,0.476,25.12,11.643,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1994.0,+776/-70,0.63,7.2,5.92,3.186,739.1,11.65,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1971.0,+827/-105,0.637,7.8,6.01,3.282,739.1,0.689,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1949.0,+1538/-285,0.74,8.4,2.46,1.772,0.87,0.204,✔️,0.0,False,GPU
4,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1902.0,+624/-16,0.65,9.8,3.67,4.09,374.99,3.566,✔️,0.0,False,GPU
5,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1866.0,+607/-39,0.524,11.0,9.83,4.264,2552.31,4.522,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1860.0,+658/-45,0.515,11.2,9.2,4.214,2.78,0.702,✔️,0.0,False,GPU
7,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1822.0,+468/-0,0.481,12.6,8.19,5.17,474.95,11.837,✔️,0.0,False,CPU
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1806.0,+1206/-342,0.624,13.2,4.36,3.512,0.47,0.103,✔️,0.0,False,GPU
9,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1801.0,+588/-75,0.468,13.4,12.22,4.842,2068.17,1.355,✔️,0.0,False,GPU
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1790.0,+995/-190,0.528,13.8,3.35,4.055,4529.93,357.201,✔️,0.0,False,GPU
11,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1780.0,+581/-118,0.468,14.2,11.71,5.289,4.86,1.881,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1742.0,+911/-180,0.498,15.8,7.4,4.355,4529.93,39.54,✔️,0.0,False,GPU
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1723.0,+784/-112,0.474,16.6,11.87,4.298,0.66,0.177,➖,0.0,False,GPU
14,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1710.0,+787/-246,0.462,17.2,10.54,4.597,1.59,0.506,✔️,0.0,False,GPU
15,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1635.0,+498/-134,0.335,20.8,16.55,5.935,1.97,0.651,✔️,0.0,False,GPU
16,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1630.0,+549/-171,0.337,21.0,16.08,6.087,2068.17,0.068,✔️,0.0,False,GPU
17,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1622.0,+344/-106,0.251,21.4,17.06,7.744,223.05,9.706,✔️,0.0,False,CPU
18,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1610.0,+763/-196,0.412,22.0,11.6,5.141,41.51,38.297,✔️,0.0,False,GPU
