#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2205.0,+308/-71,0.896,3.5,1.63,1.989,56.29,4.031,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),2121.0,+297/-68,0.795,4.75,2.83,1.666,14.41,2.084,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),2049.0,+207/-20,0.747,6.12,4.38,2.977,14.79,1.521,✔️,0.0,False,GPU
3,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",2026.0,+174/-49,0.701,6.62,4.89,2.864,323.76,2.906,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1973.0,+346/-116,0.66,7.88,3.78,2.58,14.15,0.487,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1950.0,+298/-121,0.687,8.5,4.68,2.876,10.03,0.63,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1886.0,+396/-198,0.639,10.38,5.57,2.432,2356.36,7.546,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1886.0,+261/-117,0.621,10.38,5.18,3.973,9830.47,232.103,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1817.0,+158/-54,0.566,12.75,10.47,4.601,9830.47,22.221,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1717.0,+364/-235,0.545,16.88,5.1,4.91,6.0,0.139,✔️,0.0,False,GPU
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1698.0,+338/-180,0.47,17.75,9.17,3.882,2356.36,0.878,✔️,0.0,False,GPU
11,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1693.0,+187/-87,0.436,18.0,12.17,5.978,51.28,43.062,✔️,0.0,False,GPU
12,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1660.0,+118/-54,0.418,19.62,17.79,6.227,4918.07,35.587,✔️,0.0,False,GPU
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1646.0,+160/-81,0.412,20.38,17.03,6.135,7.43,0.262,➖,0.0,False,GPU
14,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1646.0,+160/-100,0.358,20.38,17.21,6.878,4921.21,5.366,✔️,0.0,False,CPU
15,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1643.0,+308/-188,0.41,20.5,12.93,5.422,8.24,0.532,✔️,0.0,False,GPU
16,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [12.50% IMPUTED],1637.0,+517/-236,0.422,20.81,9.52,4.431,6437.84,56.08,✔️,12.5,True,GPU
17,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1599.0,+179/-107,0.363,22.88,15.75,5.905,4.08,0.065,➖,0.0,False,GPU
18,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1572.0,+122/-84,0.267,24.38,21.68,8.759,39204.86,1759.104,✔️,0.0,False,GPU
19,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1545.0,+112/-90,0.207,26.0,23.61,9.446,1206.7,4.571,✔️,0.0,False,CPU
20,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1534.0,+159/-128,0.319,26.62,21.33,7.309,4918.07,0.949,✔️,0.0,False,GPU
21,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1512.0,+239/-189,0.299,28.0,6.22,10.6,9011.78,8.012,✔️,0.0,False,GPU
22,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [12.50% IMPUTED],1510.0,+197/-151,0.27,28.06,20.18,7.929,94.16,2.176,✔️,12.5,True,GPU
23,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1510.0,+148/-76,0.179,28.12,25.09,8.776,3127.07,0.459,✔️,0.0,False,CPU
24,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1510.0,+167/-114,0.25,28.12,24.67,7.219,3814.24,4.368,✔️,0.0,False,GPU
25,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1506.0,+154/-82,0.189,28.38,25.7,8.735,3127.07,0.057,✔️,0.0,False,CPU
26,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1482.0,+175/-122,0.231,29.88,24.04,8.935,1673.38,2.446,✔️,0.0,False,GPU
27,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1451.0,+168/-126,0.203,31.88,27.63,7.438,3814.24,0.453,✔️,0.0,False,GPU
28,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [12.50% IMPUTED],1448.0,+383/-242,0.279,32.06,20.02,6.857,6437.84,0.557,✔️,12.5,True,GPU
29,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1441.0,+126/-85,0.177,32.5,27.26,9.224,1673.38,0.097,✔️,0.0,False,GPU
30,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1438.0,+99/-70,0.103,32.75,30.65,9.921,1277.57,0.647,✔️,0.0,False,CPU
31,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1430.0,+88/-61,0.093,33.25,31.96,9.992,1277.57,3.744,✔️,0.0,False,CPU
32,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1409.0,+118/-109,0.12,34.62,31.35,10.618,1206.7,0.689,✔️,0.0,False,CPU
