#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1383.0,+169/-124,0.805,4.37,2.34,1.839,333.41,1.402,✔️,0.0,False,GPU
1,🌳,Tree-based,LightGBM (tuned + ensembled),1273.0,+187/-103,0.624,6.39,3.25,3.342,46.72,2.739,✔️,0.0,False,CPU
2,🧠🔁,Neural Network,TabM (tuned + ensembled),1270.0,+108/-63,0.609,6.46,4.34,3.694,281.55,3.367,✔️,0.0,False,GPU
3,🧠🔁,Neural Network,RealMLP (tuned),1253.0,+144/-124,0.702,6.81,2.91,2.504,333.41,0.211,✔️,0.0,False,GPU
4,🌳,Tree-based,CatBoost (tuned + ensembled),1248.0,+155/-116,0.608,6.91,3.4,3.909,208.34,0.439,✔️,0.0,False,CPU
5,🌳,Tree-based,CatBoost (tuned),1230.0,+146/-126,0.594,7.3,5.04,3.868,208.34,0.049,✔️,0.0,False,CPU
6,🌳,Tree-based,XGBoost (tuned + ensembled),1223.0,+162/-104,0.598,7.46,4.29,3.664,133.01,1.154,✔️,0.0,False,CPU
7,🌳,Tree-based,LightGBM (tuned),1204.0,+160/-86,0.53,7.88,5.46,4.288,46.72,0.662,✔️,0.0,False,CPU
8,🧠🔁,Neural Network,TabM (tuned),1151.0,+109/-72,0.485,9.11,4.83,4.732,281.55,0.497,✔️,0.0,False,GPU
9,🌳,Tree-based,XGBoost (tuned),1145.0,+150/-92,0.504,9.26,4.9,3.868,133.01,0.179,✔️,0.0,False,CPU
10,🌳,Tree-based,CatBoost (default),1121.0,+134/-104,0.463,9.84,7.16,4.886,8.03,0.043,✔️,0.0,False,CPU
11,🧠🔁,Neural Network,TabM (default),1005.0,+78/-84,0.262,12.68,10.43,6.24,9.5,0.431,✔️,0.0,False,GPU
12,🌳,Tree-based,XGBoost (default),1000.0,+90/-67,0.254,12.79,11.84,6.672,1.35,0.162,✔️,0.0,False,CPU
13,🧠🔁,Neural Network,RealMLP (default),992.0,+98/-71,0.207,12.99,9.32,5.748,12.85,0.217,✔️,0.0,False,GPU
14,🧠⚡,Foundation Model,TabPFN-3 (default),945.0,+104/-126,0.195,14.15,6.92,9.36,17.54,11.689,✔️,0.0,False,GPU
15,🌳,Tree-based,LightGBM (default),942.0,+67/-63,0.141,14.22,12.74,7.368,0.49,0.11,✔️,0.0,False,CPU
16,🌳,Tree-based,ExtraTrees (tuned + ensembled),717.0,+89/-150,0.006,19.66,17.86,13.772,18.15,0.424,✔️,0.0,False,CPU
17,🌳,Tree-based,RandomForest (tuned + ensembled),716.0,+95/-139,0.015,19.67,17.76,13.898,41.24,0.222,✔️,0.0,False,CPU
18,🧠⚡,Foundation Model,TabICLv2 (default),702.0,+115/-168,0.022,20.01,15.42,14.746,7.28,3.366,✔️,0.0,False,GPU
19,🌳,Tree-based,RandomForest (tuned),676.0,+93/-132,0.015,20.61,18.42,14.787,41.24,0.067,✔️,0.0,False,CPU
20,🧠⚡,Foundation Model,TabPFN-2.6 (default) [99.05% IMPUTED],660.0,+82/-113,0.0,20.96,16.86,15.587,2.59,0.113,✔️,99.05,True,GPU
21,🧠⚡,Foundation Model,TabDPT (default) [99.05% IMPUTED],650.0,+68/-108,0.0,21.18,19.93,15.67,2.59,0.113,✔️,99.05,True,GPU
22,🌳,Tree-based,RandomForest (default),650.0,+68/-108,0.0,21.19,19.94,15.672,2.55,0.113,✔️,0.0,False,CPU
23,🌳,Tree-based,ExtraTrees (tuned),648.0,+123/-184,0.016,21.23,18.62,14.991,18.15,0.062,✔️,0.0,False,CPU
24,📏,Baseline,Linear (tuned + ensembled),615.0,+118/-157,0.016,21.94,19.16,20.395,13.34,0.451,✔️,0.0,False,CPU
25,📏,Baseline,Linear (tuned),564.0,+120/-177,0.015,23.0,20.0,21.399,13.34,0.092,✔️,0.0,False,CPU
26,🌳,Tree-based,ExtraTrees (default),538.0,+118/-164,0.0,23.5,18.96,17.358,0.87,0.131,✔️,0.0,False,CPU
27,📏,Baseline,Linear (default),486.0,+104/-170,0.0,24.41,21.42,22.958,0.56,0.118,✔️,0.0,False,CPU
