#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,TabPFN-3 (default),1383.0,+41/-52,0.713,5.86,2.29,5.897,22.16,2.481,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,TabICLv2 (default),1313.0,+58/-54,0.634,7.62,2.79,8.293,15.4,1.887,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,TabPFN-2.6 (default) [5.83% IMPUTED],1304.0,+52/-38,0.575,7.87,3.25,9.301,27.15,2.035,✔️,5.83,True,GPU
3,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1291.0,+32/-31,0.447,8.23,4.97,12.177,1547.62,21.543,✔️,0.0,False,GPU
4,🧠🔁,Neural Network,TabM (tuned + ensembled),1226.0,+31/-31,0.33,10.17,5.83,13.814,1366.44,7.477,✔️,0.0,False,GPU
5,🌳,Tree-based,CatBoost (tuned + ensembled),1218.0,+25/-24,0.292,10.42,6.37,13.797,477.58,1.29,✔️,0.0,False,CPU
6,🧠🔁,Neural Network,RealMLP (tuned),1212.0,+32/-35,0.327,10.64,6.33,14.092,1547.62,2.71,✔️,0.0,False,GPU
7,🌳,Tree-based,CatBoost (tuned),1200.0,+23/-26,0.275,11.01,6.61,14.066,477.58,0.236,✔️,0.0,False,CPU
8,🧠🔁,Neural Network,TabM (tuned),1188.0,+34/-30,0.279,11.42,6.47,14.461,1366.44,1.018,✔️,0.0,False,GPU
9,🌳,Tree-based,LightGBM (tuned + ensembled),1181.0,+31/-27,0.243,11.66,8.17,15.13,214.85,2.515,✔️,0.0,False,CPU
10,🌳,Tree-based,XGBoost (tuned + ensembled),1149.0,+33/-27,0.224,12.71,8.96,15.87,333.88,10.673,✔️,0.0,False,CPU
11,🌳,Tree-based,LightGBM (tuned),1146.0,+32/-31,0.207,12.84,7.79,15.518,214.85,0.552,✔️,0.0,False,CPU
12,🌳,Tree-based,CatBoost (default),1143.0,+26/-23,0.227,12.92,8.35,15.278,14.64,0.221,✔️,0.0,False,CPU
13,🌳,Tree-based,XGBoost (tuned),1130.0,+34/-28,0.187,13.35,9.01,16.093,333.88,2.535,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,TabDPT (default) [5.83% IMPUTED],1122.0,+38/-51,0.325,13.64,5.24,16.724,136.49,11.617,✔️,5.83,True,GPU
15,🧠🔁,Neural Network,TabM (default),1116.0,+30/-28,0.201,13.85,8.95,15.698,39.03,0.923,✔️,0.0,False,GPU
16,🧠🔁,Neural Network,RealMLP (default),1054.0,+32/-32,0.129,15.98,9.5,18.057,59.49,2.394,✔️,0.0,False,GPU
17,🌳,Tree-based,ExtraTrees (tuned + ensembled),1044.0,+30/-28,0.092,16.33,11.26,19.001,171.71,2.094,✔️,0.0,False,CPU
18,🌳,Tree-based,ExtraTrees (tuned),1004.0,+28/-28,0.069,17.63,12.12,19.965,171.71,0.369,✔️,0.0,False,CPU
19,🌳,Tree-based,XGBoost (default),1000.0,+36/-32,0.09,17.78,12.69,18.867,9.29,2.071,✔️,0.0,False,CPU
20,🌳,Tree-based,RandomForest (tuned + ensembled),988.0,+30/-36,0.071,18.16,13.18,20.273,170.27,2.089,✔️,0.0,False,CPU
21,🌳,Tree-based,LightGBM (default),985.0,+26/-28,0.048,18.26,14.31,19.325,5.43,0.257,✔️,0.0,False,CPU
22,🌳,Tree-based,RandomForest (tuned),969.0,+32/-33,0.058,18.76,13.85,20.729,170.27,0.485,✔️,0.0,False,CPU
23,📏,Baseline,Linear (tuned + ensembled),891.0,+41/-49,0.097,21.05,11.54,28.219,241.64,0.834,✔️,0.0,False,CPU
24,🌳,Tree-based,RandomForest (default),879.0,+44/-44,0.047,21.4,15.96,23.648,10.32,0.791,✔️,0.0,False,CPU
25,🌳,Tree-based,ExtraTrees (default),874.0,+45/-49,0.064,21.53,14.12,24.558,7.64,0.878,✔️,0.0,False,CPU
26,📏,Baseline,Linear (tuned),862.0,+43/-57,0.077,21.84,13.57,28.954,241.64,0.195,✔️,0.0,False,CPU
27,📏,Baseline,Linear (default),811.0,+48/-60,0.057,23.08,15.78,31.118,10.24,0.212,✔️,0.0,False,CPU
