#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,TabPFN-3 (default),1450.0,+102/-69,0.765,4.79,1.96,8.177,11.07,1.462,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,TabPFN-2.6 (default),1435.0,+100/-73,0.743,5.08,2.37,12.145,9.87,0.953,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,TabICLv2 (default),1350.0,+105/-90,0.676,6.9,2.38,11.348,5.31,0.725,✔️,0.0,False,GPU
3,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1312.0,+66/-58,0.479,7.85,4.84,15.333,970.7,12.352,✔️,0.0,False,GPU
4,🧠🔁,Neural Network,TabM (tuned + ensembled),1237.0,+64/-52,0.368,9.91,6.07,16.481,828.24,3.416,✔️,0.0,False,GPU
5,🌳,Tree-based,CatBoost (tuned + ensembled),1231.0,+43/-38,0.295,10.1,7.71,18.464,229.46,0.723,✔️,0.0,False,CPU
6,🌳,Tree-based,LightGBM (tuned + ensembled),1215.0,+43/-42,0.299,10.57,7.59,18.452,121.9,1.213,✔️,0.0,False,CPU
7,🌳,Tree-based,CatBoost (tuned),1207.0,+39/-40,0.279,10.8,7.66,18.704,229.46,0.123,✔️,0.0,False,CPU
8,🧠🔁,Neural Network,RealMLP (tuned),1200.0,+67/-58,0.336,11.03,7.01,17.752,970.7,1.507,✔️,0.0,False,GPU
9,🧠🔁,Neural Network,TabM (tuned),1192.0,+68/-58,0.293,11.25,5.54,17.669,828.24,0.549,✔️,0.0,False,GPU
10,🌳,Tree-based,XGBoost (tuned + ensembled),1173.0,+32/-37,0.217,11.85,8.96,21.767,161.73,5.716,✔️,0.0,False,CPU
11,🌳,Tree-based,LightGBM (tuned),1158.0,+59/-52,0.249,12.31,7.5,19.126,121.9,0.236,✔️,0.0,False,CPU
12,🌳,Tree-based,XGBoost (tuned),1152.0,+31/-32,0.171,12.5,10.06,22.088,161.73,1.471,✔️,0.0,False,CPU
13,🌳,Tree-based,CatBoost (default),1149.0,+50/-36,0.207,12.6,9.72,21.344,8.81,0.114,✔️,0.0,False,CPU
14,🧠🔁,Neural Network,TabM (default),1105.0,+58/-49,0.22,13.97,10.06,19.639,20.6,0.533,✔️,0.0,False,GPU
15,🧠⚡,Foundation Model,TabDPT (default),1096.0,+90/-72,0.244,14.25,6.39,22.281,107.59,48.147,✔️,0.0,False,GPU
16,🧠🔁,Neural Network,RealMLP (default),1040.0,+62/-49,0.138,15.99,11.15,22.845,41.4,1.328,✔️,0.0,False,GPU
17,🌳,Tree-based,XGBoost (default),1000.0,+47/-53,0.072,17.23,13.91,24.69,5.01,1.253,✔️,0.0,False,CPU
18,🌳,Tree-based,LightGBM (default),998.0,+45/-47,0.049,17.29,12.68,24.29,3.02,0.105,✔️,0.0,False,CPU
19,🌳,Tree-based,ExtraTrees (tuned + ensembled),996.0,+50/-57,0.067,17.35,13.16,26.614,103.94,1.125,✔️,0.0,False,CPU
20,🌳,Tree-based,ExtraTrees (tuned),958.0,+52/-59,0.045,18.47,14.31,27.312,103.94,0.209,✔️,0.0,False,CPU
21,🌳,Tree-based,RandomForest (tuned + ensembled),944.0,+66/-79,0.059,18.88,14.19,27.979,105.83,1.077,✔️,0.0,False,CPU
22,🌳,Tree-based,RandomForest (tuned),912.0,+67/-75,0.049,19.77,14.42,28.304,105.83,0.245,✔️,0.0,False,CPU
23,🌳,Tree-based,RandomForest (default),837.0,+69/-90,0.024,21.69,16.68,30.191,4.82,0.485,✔️,0.0,False,CPU
24,🌳,Tree-based,ExtraTrees (default),829.0,+76/-90,0.033,21.88,18.76,31.344,4.57,0.603,✔️,0.0,False,CPU
25,📏,Baseline,Linear (tuned + ensembled),774.0,+65/-93,0.007,23.09,19.86,37.312,132.0,0.392,✔️,0.0,False,CPU
26,📏,Baseline,Linear (tuned),738.0,+70/-105,0.006,23.81,20.79,37.878,132.0,0.095,✔️,0.0,False,CPU
27,📏,Baseline,Linear (default),682.0,+99/-136,0.007,24.78,22.25,40.225,4.52,0.128,✔️,0.0,False,CPU
