#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1336.0,+152/-85,0.584,5.72,3.03,5.708,1299.46,11.038,✔️,0.0,False,GPU
1,🧠🔁,Neural Network,RealMLP (tuned),1245.0,+166/-99,0.475,7.91,3.79,7.846,1299.46,0.821,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,TabPFN-3 (default),1227.0,+135/-115,0.489,8.38,3.07,5.925,15.73,5.007,✔️,0.0,False,GPU
3,🌳,Tree-based,CatBoost (tuned + ensembled),1223.0,+86/-56,0.378,8.51,6.34,9.154,448.97,1.487,✔️,0.0,False,CPU
4,🌳,Tree-based,CatBoost (tuned),1214.0,+88/-66,0.37,8.74,6.21,9.257,448.97,0.174,✔️,0.0,False,CPU
5,🌳,Tree-based,XGBoost (tuned + ensembled),1198.0,+106/-88,0.347,9.2,5.42,9.581,211.87,3.288,✔️,0.0,False,CPU
6,🧠🔁,Neural Network,TabM (tuned + ensembled),1186.0,+121/-89,0.31,9.54,4.88,9.482,1234.72,7.865,✔️,0.0,False,GPU
7,🌳,Tree-based,LightGBM (tuned + ensembled),1184.0,+77/-66,0.379,9.58,7.69,8.967,83.51,2.666,✔️,0.0,False,CPU
8,🧠⚡,Foundation Model,TabPFN-2.6 (default) [25.00% IMPUTED],1183.0,+167/-149,0.531,9.63,2.24,6.151,51.86,3.626,✔️,25.0,True,GPU
9,🧠⚡,Foundation Model,TabICLv2 (default),1178.0,+180/-129,0.439,9.78,3.46,5.675,13.2,3.041,✔️,0.0,False,GPU
10,🌳,Tree-based,LightGBM (tuned),1147.0,+95/-82,0.318,10.69,5.78,9.56,83.51,0.659,✔️,0.0,False,CPU
11,🧠🔁,Neural Network,TabM (tuned),1128.0,+128/-91,0.244,11.25,6.68,10.178,1234.72,1.445,✔️,0.0,False,GPU
12,🌳,Tree-based,XGBoost (tuned),1111.0,+100/-71,0.276,11.76,8.28,10.224,211.87,0.575,✔️,0.0,False,CPU
13,🌳,Tree-based,CatBoost (default),1092.0,+81/-86,0.283,12.34,10.28,10.369,12.75,0.177,✔️,0.0,False,CPU
14,🧠🔁,Neural Network,RealMLP (default),1046.0,+87/-76,0.199,13.76,10.34,11.111,17.61,0.708,✔️,0.0,False,GPU
15,🧠🔁,Neural Network,TabM (default),1002.0,+83/-71,0.143,15.1,11.54,11.743,27.54,1.233,✔️,0.0,False,GPU
16,🌳,Tree-based,XGBoost (default),1000.0,+59/-63,0.103,15.16,13.95,12.293,2.84,0.631,✔️,0.0,False,CPU
17,🌳,Tree-based,LightGBM (default),972.0,+68/-68,0.077,15.99,14.4,12.637,1.89,0.37,✔️,0.0,False,CPU
18,🌳,Tree-based,ExtraTrees (tuned + ensembled),922.0,+89/-116,0.047,17.46,14.36,15.25,48.66,1.503,✔️,0.0,False,CPU
19,🌳,Tree-based,RandomForest (tuned + ensembled),874.0,+60/-123,0.01,18.8,16.73,16.186,126.68,1.153,✔️,0.0,False,CPU
20,🌳,Tree-based,ExtraTrees (tuned),861.0,+70/-118,0.027,19.14,16.08,16.256,48.66,0.222,✔️,0.0,False,CPU
21,🌳,Tree-based,RandomForest (tuned),835.0,+71/-125,0.004,19.83,18.07,16.576,126.68,0.226,✔️,0.0,False,CPU
22,🌳,Tree-based,RandomForest (default),776.0,+101/-152,0.014,21.28,18.41,18.713,12.64,0.396,✔️,0.0,False,CPU
23,🧠⚡,Foundation Model,TabDPT (default) [25.00% IMPUTED],774.0,+83/-128,0.01,21.34,17.86,21.608,38.62,11.788,✔️,25.0,True,GPU
24,🌳,Tree-based,ExtraTrees (default),712.0,+135/-200,0.03,22.69,14.68,19.946,4.09,0.446,✔️,0.0,False,CPU
25,📏,Baseline,Linear (tuned + ensembled),688.0,+85/-145,0.0,23.19,18.9,25.067,57.28,1.496,✔️,0.0,False,CPU
26,📏,Baseline,Linear (tuned),646.0,+93/-182,0.003,23.98,20.22,25.451,57.28,0.329,✔️,0.0,False,CPU
27,📏,Baseline,Linear (default),565.0,+98/-164,0.0,25.25,24.35,27.027,2.14,0.403,✔️,0.0,False,CPU
