#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,TabPFN-3 (default),1380.0,+63/-48,0.654,7.55,2.95,9.914,191.74,7.508,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,TabICLv2 (default),1351.0,+64/-44,0.617,8.4,3.19,11.206,89.68,4.467,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,TabPFN-2.6 (default),1334.0,+57/-41,0.521,8.94,3.73,11.427,149.24,4.866,✔️,0.0,False,GPU
3,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1305.0,+36/-30,0.377,9.87,5.62,14.16,11865.63,137.819,✔️,0.0,False,GPU
4,🧠🔁,Neural Network,RealMLP (tuned),1262.0,+38/-30,0.279,11.38,6.15,15.469,11865.63,31.809,✔️,0.0,False,GPU
5,🧠🔁,Neural Network,TabM (tuned + ensembled),1260.0,+35/-28,0.275,11.44,6.93,15.236,8046.73,23.941,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,TabDPT (default),1254.0,+57/-48,0.423,11.66,3.95,15.706,1413.78,5.692,✔️,0.0,False,GPU
7,🧠🔁,Neural Network,TabM (tuned),1244.0,+34/-32,0.258,12.01,6.48,15.483,8046.73,7.481,✔️,0.0,False,GPU
8,🌳,Tree-based,CatBoost (tuned + ensembled),1235.0,+25/-27,0.224,12.35,8.87,15.901,3166.98,5.767,✔️,0.0,False,CPU
9,🌳,Tree-based,CatBoost (tuned),1227.0,+22/-26,0.214,12.62,8.74,16.119,3166.98,1.319,✔️,0.0,False,CPU
10,🧠🔁,Neural Network,TabM (default),1212.0,+29/-39,0.228,13.18,7.35,16.132,248.55,5.87,✔️,0.0,False,GPU
11,🌳,Tree-based,LightGBM (tuned + ensembled),1207.0,+37/-30,0.206,13.37,9.78,17.019,1876.36,6.354,✔️,0.0,False,CPU
12,🌳,Tree-based,ExtraTrees (tuned + ensembled),1190.0,+41/-29,0.168,14.0,8.5,17.886,1805.44,11.686,✔️,0.0,False,CPU
13,🌳,Tree-based,LightGBM (tuned),1184.0,+42/-32,0.169,14.22,9.07,17.254,1876.36,1.72,✔️,0.0,False,CPU
14,🌳,Tree-based,ExtraTrees (tuned),1175.0,+39/-32,0.145,14.54,8.45,18.385,1805.44,3.808,✔️,0.0,False,CPU
15,🌳,Tree-based,CatBoost (default),1167.0,+30/-30,0.15,14.85,9.41,17.857,96.77,1.18,✔️,0.0,False,CPU
16,🧠🔁,Neural Network,RealMLP (default),1143.0,+44/-43,0.159,15.75,7.99,19.723,451.21,22.013,✔️,0.0,False,GPU
17,🌳,Tree-based,XGBoost (tuned + ensembled),1131.0,+36/-34,0.12,16.2,11.35,19.375,2737.81,46.375,✔️,0.0,False,CPU
18,🌳,Tree-based,XGBoost (tuned),1126.0,+35/-34,0.097,16.39,11.28,19.421,2737.81,19.771,✔️,0.0,False,CPU
19,🌳,Tree-based,RandomForest (tuned + ensembled),1119.0,+27/-38,0.113,16.62,10.68,19.498,1785.91,13.18,✔️,0.0,False,CPU
20,🌳,Tree-based,RandomForest (tuned),1105.0,+32/-39,0.083,17.14,11.84,20.025,1785.91,3.785,✔️,0.0,False,CPU
21,📏,Baseline,Linear (tuned + ensembled),1094.0,+53/-62,0.226,17.51,6.98,22.19,1872.76,4.306,✔️,0.0,False,CPU
22,📏,Baseline,Linear (tuned),1075.0,+58/-70,0.188,18.22,7.65,22.934,1872.76,0.873,✔️,0.0,False,CPU
23,🌳,Tree-based,ExtraTrees (default),1068.0,+49/-53,0.128,18.45,9.52,21.765,71.91,9.968,✔️,0.0,False,CPU
24,🌳,Tree-based,RandomForest (default),1053.0,+47/-59,0.096,18.95,12.23,21.654,74.2,8.379,✔️,0.0,False,CPU
25,🌳,Tree-based,LightGBM (default),1031.0,+33/-48,0.059,19.68,13.79,22.75,55.17,0.887,✔️,0.0,False,CPU
26,📏,Baseline,Linear (default),1021.0,+56/-75,0.137,20.03,10.21,25.945,67.78,1.087,✔️,0.0,False,CPU
27,🌳,Tree-based,XGBoost (default),1000.0,+40/-54,0.05,20.67,14.13,23.126,88.9,16.436,✔️,0.0,False,CPU
