,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.008135889317380712,CESM2,historical_1301.018_ssp370_1301.018
3,DJF,1,dynamical,bias,-0.017186362217993037,CESM2,historical_1301.018_ssp370_1301.018
6,DJF,1,nonlinear,bias,0.00023921473570686605,CESM2,historical_1301.018_ssp370_1301.018
9,DJF,3,conversion,bias,0.022891943144398366,CESM2,historical_1301.018_ssp370_1301.018
12,DJF,3,dynamical,bias,-0.017398492756255275,CESM2,historical_1301.018_ssp370_1301.018
15,DJF,3,nonlinear,bias,-0.0022676715160115427,CESM2,historical_1301.018_ssp370_1301.018
18,DJF,4,conversion,bias,-0.01579172227995075,CESM2,historical_1301.018_ssp370_1301.018
21,DJF,4,dynamical,bias,-0.011565405633044696,CESM2,historical_1301.018_ssp370_1301.018
24,DJF,4,nonlinear,bias,0.003731054933275191,CESM2,historical_1301.018_ssp370_1301.018
27,DJF,5,conversion,bias,0.0044285334794280885,CESM2,historical_1301.018_ssp370_1301.018
30,DJF,5,dynamical,bias,-0.0014559652334808395,CESM2,historical_1301.018_ssp370_1301.018
33,DJF,5,nonlinear,bias,-5.543134912433935e-05,CESM2,historical_1301.018_ssp370_1301.018
36,DJF,6,conversion,bias,0.0038044447521610675,CESM2,historical_1301.018_ssp370_1301.018
39,DJF,6,dynamical,bias,0.0021837707354732385,CESM2,historical_1301.018_ssp370_1301.018
42,DJF,6,nonlinear,bias,1.5341162275055387e-05,CESM2,historical_1301.018_ssp370_1301.018
45,DJF,7,conversion,bias,0.020354589303778394,CESM2,historical_1301.018_ssp370_1301.018
48,DJF,7,dynamical,bias,-0.00369649200590061,CESM2,historical_1301.018_ssp370_1301.018
51,DJF,7,nonlinear,bias,-0.0004693554627832256,CESM2,historical_1301.018_ssp370_1301.018
54,DJF,8,conversion,bias,-0.005222701921380016,CESM2,historical_1301.018_ssp370_1301.018
57,DJF,8,dynamical,bias,0.006639030838881473,CESM2,historical_1301.018_ssp370_1301.018
60,DJF,8,nonlinear,bias,-0.0025115376996908676,CESM2,historical_1301.018_ssp370_1301.018
63,DJF,9,conversion,bias,-0.008458949149603854,CESM2,historical_1301.018_ssp370_1301.018
66,DJF,9,dynamical,bias,0.024099136005776768,CESM2,historical_1301.018_ssp370_1301.018
69,DJF,9,nonlinear,bias,-0.007476136379103064,CESM2,historical_1301.018_ssp370_1301.018
72,DJF,10,conversion,bias,-0.009513157253965307,CESM2,historical_1301.018_ssp370_1301.018
75,DJF,10,dynamical,bias,0.01873832972624622,CESM2,historical_1301.018_ssp370_1301.018
78,DJF,10,nonlinear,bias,-0.009085813353235734,CESM2,historical_1301.018_ssp370_1301.018
81,DJF,11,conversion,bias,-0.019563456924925955,CESM2,historical_1301.018_ssp370_1301.018
84,DJF,11,dynamical,bias,-0.010541921877050647,CESM2,historical_1301.018_ssp370_1301.018
87,DJF,11,nonlinear,bias,0.004936095945713133,CESM2,historical_1301.018_ssp370_1301.018
90,DJF,12,conversion,bias,-0.013563182001908244,CESM2,historical_1301.018_ssp370_1301.018
93,DJF,12,dynamical,bias,0.010258750511070306,CESM2,historical_1301.018_ssp370_1301.018
96,DJF,12,nonlinear,bias,-0.006124110624684801,CESM2,historical_1301.018_ssp370_1301.018
99,DJF,13,conversion,bias,-0.016224952707397787,CESM2,historical_1301.018_ssp370_1301.018
102,DJF,13,dynamical,bias,0.023715232871873645,CESM2,historical_1301.018_ssp370_1301.018
105,DJF,13,nonlinear,bias,-0.010128698823208498,CESM2,historical_1301.018_ssp370_1301.018
108,DJF,14,conversion,bias,-0.019534714009408972,CESM2,historical_1301.018_ssp370_1301.018
111,DJF,14,dynamical,bias,0.022087127400146785,CESM2,historical_1301.018_ssp370_1301.018
114,DJF,14,nonlinear,bias,-0.010437745629717365,CESM2,historical_1301.018_ssp370_1301.018
117,DJF,15,conversion,bias,0.03147744476209794,CESM2,historical_1301.018_ssp370_1301.018
120,DJF,15,dynamical,bias,-0.008899688633994356,CESM2,historical_1301.018_ssp370_1301.018
123,DJF,15,nonlinear,bias,-0.0023766686139967876,CESM2,historical_1301.018_ssp370_1301.018
126,DJF,16,conversion,bias,0.04141757320985636,CESM2,historical_1301.018_ssp370_1301.018
129,DJF,16,dynamical,bias,0.0071541082778272475,CESM2,historical_1301.018_ssp370_1301.018
132,DJF,16,nonlinear,bias,0.004345455409139328,CESM2,historical_1301.018_ssp370_1301.018
135,DJF,17,conversion,bias,0.004461330994788128,CESM2,historical_1301.018_ssp370_1301.018
138,DJF,17,dynamical,bias,0.01863273782538683,CESM2,historical_1301.018_ssp370_1301.018
141,DJF,17,nonlinear,bias,-0.005362117108537203,CESM2,historical_1301.018_ssp370_1301.018
144,DJF,18,conversion,bias,-0.00029181640657207145,CESM2,historical_1301.018_ssp370_1301.018
147,DJF,18,dynamical,bias,0.018192276708999797,CESM2,historical_1301.018_ssp370_1301.018
150,DJF,18,nonlinear,bias,-0.00572406414634552,CESM2,historical_1301.018_ssp370_1301.018
153,DJF,19,conversion,bias,-0.00674912876865698,CESM2,historical_1301.018_ssp370_1301.018
156,DJF,19,dynamical,bias,0.018310985161041564,CESM2,historical_1301.018_ssp370_1301.018
159,DJF,19,nonlinear,bias,-0.007718793569635721,CESM2,historical_1301.018_ssp370_1301.018
162,DJF,20,conversion,bias,0.006200519185391983,CESM2,historical_1301.018_ssp370_1301.018
165,DJF,20,dynamical,bias,0.02286775418077356,CESM2,historical_1301.018_ssp370_1301.018
168,DJF,20,nonlinear,bias,-0.0026943463458858037,CESM2,historical_1301.018_ssp370_1301.018
171,DJF,21,conversion,bias,0.03161520234130436,CESM2,historical_1301.018_ssp370_1301.018
174,DJF,21,dynamical,bias,-0.01786841408625891,CESM2,historical_1301.018_ssp370_1301.018
177,DJF,21,nonlinear,bias,-0.00836051555575341,CESM2,historical_1301.018_ssp370_1301.018
180,DJF,22,conversion,bias,-0.005600883916855965,CESM2,historical_1301.018_ssp370_1301.018
183,DJF,22,dynamical,bias,-0.01888072459239658,CESM2,historical_1301.018_ssp370_1301.018
186,DJF,22,nonlinear,bias,0.003633313307310018,CESM2,historical_1301.018_ssp370_1301.018
189,DJF,23,conversion,bias,0.018504459243793136,CESM2,historical_1301.018_ssp370_1301.018
192,DJF,23,dynamical,bias,-0.022330201688993006,CESM2,historical_1301.018_ssp370_1301.018
195,DJF,23,nonlinear,bias,-0.004676873744396975,CESM2,historical_1301.018_ssp370_1301.018
198,DJF,24,conversion,bias,0.008071780365864914,CESM2,historical_1301.018_ssp370_1301.018
201,DJF,24,dynamical,bias,-0.021811305062071674,CESM2,historical_1301.018_ssp370_1301.018
204,DJF,24,nonlinear,bias,0.0015332048029062266,CESM2,historical_1301.018_ssp370_1301.018
207,DJF,25,conversion,bias,0.016170263801591932,CESM2,historical_1301.018_ssp370_1301.018
210,DJF,25,dynamical,bias,-0.0255610969558965,CESM2,historical_1301.018_ssp370_1301.018
213,DJF,25,nonlinear,bias,-0.003432770689613238,CESM2,historical_1301.018_ssp370_1301.018
216,DJF,26,conversion,bias,0.03455768031165857,CESM2,historical_1301.018_ssp370_1301.018
219,DJF,26,dynamical,bias,-0.02512519365785328,CESM2,historical_1301.018_ssp370_1301.018
222,DJF,26,nonlinear,bias,-0.012996831238463876,CESM2,historical_1301.018_ssp370_1301.018
225,DJF,27,conversion,bias,0.008789458541300721,CESM2,historical_1301.018_ssp370_1301.018
228,DJF,27,dynamical,bias,-0.025193742659529866,CESM2,historical_1301.018_ssp370_1301.018
231,DJF,27,nonlinear,bias,-0.004444011083713359,CESM2,historical_1301.018_ssp370_1301.018
234,DJF,28,conversion,bias,-0.0030133550116381623,CESM2,historical_1301.018_ssp370_1301.018
237,DJF,28,dynamical,bias,-0.028066155987704507,CESM2,historical_1301.018_ssp370_1301.018
240,DJF,28,nonlinear,bias,0.0049843022171532645,CESM2,historical_1301.018_ssp370_1301.018
243,DJF,29,conversion,bias,0.014519784764191794,CESM2,historical_1301.018_ssp370_1301.018
246,DJF,29,dynamical,bias,-0.016048748345811263,CESM2,historical_1301.018_ssp370_1301.018
249,DJF,29,nonlinear,bias,0.0001251128241214353,CESM2,historical_1301.018_ssp370_1301.018
252,DJF,30,conversion,bias,0.016965186943345145,CESM2,historical_1301.018_ssp370_1301.018
255,DJF,30,dynamical,bias,-6.226352290669137e-05,CESM2,historical_1301.018_ssp370_1301.018
258,DJF,30,nonlinear,bias,-0.00318331738781304,CESM2,historical_1301.018_ssp370_1301.018
261,DJF,31,conversion,bias,0.014408069471771314,CESM2,historical_1301.018_ssp370_1301.018
264,DJF,31,dynamical,bias,0.0019028625718490288,CESM2,historical_1301.018_ssp370_1301.018
267,DJF,31,nonlinear,bias,-0.0013567581097603744,CESM2,historical_1301.018_ssp370_1301.018
270,DJF,32,conversion,bias,-0.008800387145894801,CESM2,historical_1301.018_ssp370_1301.018
273,DJF,32,dynamical,bias,-0.01816081498668449,CESM2,historical_1301.018_ssp370_1301.018
276,DJF,32,nonlinear,bias,0.003952413103476323,CESM2,historical_1301.018_ssp370_1301.018
279,DJF,33,conversion,bias,0.01558708414184728,CESM2,historical_1301.018_ssp370_1301.018
282,DJF,33,dynamical,bias,0.018018493397356405,CESM2,historical_1301.018_ssp370_1301.018
285,DJF,33,nonlinear,bias,0.0026448926909526244,CESM2,historical_1301.018_ssp370_1301.018
288,DJF,34,conversion,bias,0.0011146529070163343,CESM2,historical_1301.018_ssp370_1301.018
291,DJF,34,dynamical,bias,0.024019920829853793,CESM2,historical_1301.018_ssp370_1301.018
294,DJF,34,nonlinear,bias,-0.005242128198071884,CESM2,historical_1301.018_ssp370_1301.018
297,DJF,35,conversion,bias,0.036877070689778677,CESM2,historical_1301.018_ssp370_1301.018
300,DJF,35,dynamical,bias,0.017499869360213846,CESM2,historical_1301.018_ssp370_1301.018
303,DJF,35,nonlinear,bias,0.009342665982632906,CESM2,historical_1301.018_ssp370_1301.018
306,DJF,36,conversion,bias,-0.004851305957600634,CESM2,historical_1301.018_ssp370_1301.018
309,DJF,36,dynamical,bias,0.024807116144826873,CESM2,historical_1301.018_ssp370_1301.018
312,DJF,36,nonlinear,bias,-0.007779414031144042,CESM2,historical_1301.018_ssp370_1301.018
315,DJF,37,conversion,bias,0.02706509150899351,CESM2,historical_1301.018_ssp370_1301.018
318,DJF,37,dynamical,bias,-0.016508314195294808,CESM2,historical_1301.018_ssp370_1301.018
321,DJF,37,nonlinear,bias,-0.0030100107872461394,CESM2,historical_1301.018_ssp370_1301.018
324,DJF,38,conversion,bias,-0.0019280875699501324,CESM2,historical_1301.018_ssp370_1301.018
327,DJF,38,dynamical,bias,-0.01767930126340122,CESM2,historical_1301.018_ssp370_1301.018
330,DJF,38,nonlinear,bias,0.0030800812857298713,CESM2,historical_1301.018_ssp370_1301.018
333,DJF,39,conversion,bias,-0.0001590551998540855,CESM2,historical_1301.018_ssp370_1301.018
336,DJF,39,dynamical,bias,-0.01993855466051471,CESM2,historical_1301.018_ssp370_1301.018
339,DJF,39,nonlinear,bias,0.0026443763868213713,CESM2,historical_1301.018_ssp370_1301.018
342,JJA,1,conversion,bias,-0.0010207723151686064,CESM2,historical_1301.018_ssp370_1301.018
345,JJA,1,dynamical,bias,-0.003999974678696408,CESM2,historical_1301.018_ssp370_1301.018
348,JJA,1,nonlinear,bias,0.0004917614866186148,CESM2,historical_1301.018_ssp370_1301.018
351,JJA,3,conversion,bias,-0.018941264460520617,CESM2,historical_1301.018_ssp370_1301.018
354,JJA,3,dynamical,bias,0.010743233453099577,CESM2,historical_1301.018_ssp370_1301.018
357,JJA,3,nonlinear,bias,-0.0056908578814678645,CESM2,historical_1301.018_ssp370_1301.018
360,JJA,4,conversion,bias,-0.02686797630630839,CESM2,historical_1301.018_ssp370_1301.018
