,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.011472390782294053,CESM2,historical_ens_ssp370_1151.008
1,DJF,1,conversion,change,0.013450169364796276,CESM2,historical_ens_ssp370_1151.008
2,DJF,1,conversion,uncalibrated_change,0.01272897506549072,CESM2,historical_ens_ssp370_1151.008
3,DJF,1,dynamical,bias,-0.015086827792617098,CESM2,historical_ens_ssp370_1151.008
4,DJF,1,dynamical,change,-0.009728429785501862,CESM2,historical_ens_ssp370_1151.008
5,DJF,1,dynamical,uncalibrated_change,-0.010985106941081714,CESM2,historical_ens_ssp370_1151.008
6,DJF,1,nonlinear,bias,-0.0010499392299227273,CESM2,historical_ens_ssp370_1151.008
7,DJF,1,nonlinear,change,-0.0025750870495568024,CESM2,historical_ens_ssp370_1151.008
8,DJF,1,nonlinear,uncalibrated_change,-0.002804330296982298,CESM2,historical_ens_ssp370_1151.008
9,DJF,3,conversion,bias,0.02090687665982865,CESM2,historical_ens_ssp370_1151.008
10,DJF,3,conversion,change,0.010731518429771922,CESM2,historical_ens_ssp370_1151.008
11,DJF,3,conversion,uncalibrated_change,0.012081601603167038,CESM2,historical_ens_ssp370_1151.008
12,DJF,3,dynamical,bias,-0.014614417530795634,CESM2,historical_ens_ssp370_1151.008
13,DJF,3,dynamical,change,-0.013843224562336559,CESM2,historical_ens_ssp370_1151.008
14,DJF,3,dynamical,uncalibrated_change,-0.01779745545968512,CESM2,historical_ens_ssp370_1151.008
15,DJF,3,nonlinear,bias,-0.0022673766798200893,CESM2,historical_ens_ssp370_1151.008
16,DJF,3,nonlinear,change,-0.0030531426771433956,CESM2,historical_ens_ssp370_1151.008
17,DJF,3,nonlinear,uncalibrated_change,-0.003763064295486789,CESM2,historical_ens_ssp370_1151.008
18,DJF,4,conversion,bias,-0.013852737309057995,CESM2,historical_ens_ssp370_1151.008
19,DJF,4,conversion,change,0.015273431421331942,CESM2,historical_ens_ssp370_1151.008
20,DJF,4,conversion,uncalibrated_change,0.010532022246228599,CESM2,historical_ens_ssp370_1151.008
21,DJF,4,dynamical,bias,-0.004522040334482602,CESM2,historical_ens_ssp370_1151.008
22,DJF,4,dynamical,change,-0.01811331056327801,CESM2,historical_ens_ssp370_1151.008
23,DJF,4,dynamical,uncalibrated_change,-0.013012533658177115,CESM2,historical_ens_ssp370_1151.008
24,DJF,4,nonlinear,bias,0.0013726362877519481,CESM2,historical_ens_ssp370_1151.008
25,DJF,4,nonlinear,change,-0.0033308121415540548,CESM2,historical_ens_ssp370_1151.008
26,DJF,4,nonlinear,uncalibrated_change,-0.0025023482467078947,CESM2,historical_ens_ssp370_1151.008
27,DJF,5,conversion,bias,0.004856647092700669,CESM2,historical_ens_ssp370_1151.008
28,DJF,5,conversion,change,0.013365433155441555,CESM2,historical_ens_ssp370_1151.008
29,DJF,5,conversion,uncalibrated_change,0.019571538051444112,CESM2,historical_ens_ssp370_1151.008
30,DJF,5,dynamical,bias,0.0033935634049050358,CESM2,historical_ens_ssp370_1151.008
31,DJF,5,dynamical,change,-0.014627276962455598,CESM2,historical_ens_ssp370_1151.008
32,DJF,5,dynamical,uncalibrated_change,-0.014653768266932798,CESM2,historical_ens_ssp370_1151.008
33,DJF,5,nonlinear,bias,-0.0001890406789721326,CESM2,historical_ens_ssp370_1151.008
34,DJF,5,nonlinear,change,-0.0023273778227786888,CESM2,historical_ens_ssp370_1151.008
35,DJF,5,nonlinear,uncalibrated_change,-0.0021726127043108206,CESM2,historical_ens_ssp370_1151.008
36,DJF,6,conversion,bias,0.004970635564843013,CESM2,historical_ens_ssp370_1151.008
37,DJF,6,conversion,change,0.020812361051604923,CESM2,historical_ens_ssp370_1151.008
38,DJF,6,conversion,uncalibrated_change,0.021625715472049455,CESM2,historical_ens_ssp370_1151.008
39,DJF,6,dynamical,bias,0.0062237141943256285,CESM2,historical_ens_ssp370_1151.008
40,DJF,6,dynamical,change,-0.007111537702282418,CESM2,historical_ens_ssp370_1151.008
41,DJF,6,dynamical,uncalibrated_change,-0.007206946207286281,CESM2,historical_ens_ssp370_1151.008
42,DJF,6,nonlinear,bias,0.00012734554221264412,CESM2,historical_ens_ssp370_1151.008
43,DJF,6,nonlinear,change,0.00043652726969545654,CESM2,historical_ens_ssp370_1151.008
44,DJF,6,nonlinear,uncalibrated_change,0.0005130168042343218,CESM2,historical_ens_ssp370_1151.008
45,DJF,7,conversion,bias,0.010288485478523918,CESM2,historical_ens_ssp370_1151.008
46,DJF,7,conversion,change,0.016298441095764345,CESM2,historical_ens_ssp370_1151.008
47,DJF,7,conversion,uncalibrated_change,0.017833106441369626,CESM2,historical_ens_ssp370_1151.008
48,DJF,7,dynamical,bias,-0.004715587269377022,CESM2,historical_ens_ssp370_1151.008
49,DJF,7,dynamical,change,-0.00349073005029854,CESM2,historical_ens_ssp370_1151.008
50,DJF,7,dynamical,uncalibrated_change,-0.003117129900821636,CESM2,historical_ens_ssp370_1151.008
51,DJF,7,nonlinear,bias,-0.0010096707773445716,CESM2,historical_ens_ssp370_1151.008
52,DJF,7,nonlinear,change,-0.0012449752551909154,CESM2,historical_ens_ssp370_1151.008
53,DJF,7,nonlinear,uncalibrated_change,-0.001426806612811653,CESM2,historical_ens_ssp370_1151.008
54,DJF,8,conversion,bias,-0.01144211426545265,CESM2,historical_ens_ssp370_1151.008
55,DJF,8,conversion,change,0.021104367320179132,CESM2,historical_ens_ssp370_1151.008
56,DJF,8,conversion,uncalibrated_change,0.01773764055567325,CESM2,historical_ens_ssp370_1151.008
57,DJF,8,dynamical,bias,0.0033280727898998145,CESM2,historical_ens_ssp370_1151.008
58,DJF,8,dynamical,change,0.007595191907992206,CESM2,historical_ens_ssp370_1151.008
59,DJF,8,dynamical,uncalibrated_change,0.003989372296000157,CESM2,historical_ens_ssp370_1151.008
60,DJF,8,nonlinear,bias,-0.001741851067320342,CESM2,historical_ens_ssp370_1151.008
61,DJF,8,nonlinear,change,0.0025525525294233663,CESM2,historical_ens_ssp370_1151.008
62,DJF,8,nonlinear,uncalibrated_change,0.0016452336903048466,CESM2,historical_ens_ssp370_1151.008
63,DJF,9,conversion,bias,-0.009817537109650125,CESM2,historical_ens_ssp370_1151.008
64,DJF,9,conversion,change,0.004822406518931404,CESM2,historical_ens_ssp370_1151.008
65,DJF,9,conversion,uncalibrated_change,0.008378090007395625,CESM2,historical_ens_ssp370_1151.008
66,DJF,9,dynamical,bias,0.01788652890512494,CESM2,historical_ens_ssp370_1151.008
67,DJF,9,dynamical,change,0.02985086087608819,CESM2,historical_ens_ssp370_1151.008
68,DJF,9,dynamical,uncalibrated_change,0.01768756299392977,CESM2,historical_ens_ssp370_1151.008
69,DJF,9,nonlinear,bias,-0.005832450023691429,CESM2,historical_ens_ssp370_1151.008
70,DJF,9,nonlinear,change,-9.396145664185014e-05,CESM2,historical_ens_ssp370_1151.008
71,DJF,9,nonlinear,uncalibrated_change,0.0001193082774868322,CESM2,historical_ens_ssp370_1151.008
72,DJF,10,conversion,bias,-0.0063227479225274955,CESM2,historical_ens_ssp370_1151.008
73,DJF,10,conversion,change,0.030197122827014308,CESM2,historical_ens_ssp370_1151.008
74,DJF,10,conversion,uncalibrated_change,0.03171107934011442,CESM2,historical_ens_ssp370_1151.008
75,DJF,10,dynamical,bias,0.015003916796096235,CESM2,historical_ens_ssp370_1151.008
76,DJF,10,dynamical,change,0.01893782652912716,CESM2,historical_ens_ssp370_1151.008
77,DJF,10,dynamical,uncalibrated_change,0.00998742860143364,CESM2,historical_ens_ssp370_1151.008
78,DJF,10,nonlinear,bias,-0.005977707190421027,CESM2,historical_ens_ssp370_1151.008
79,DJF,10,nonlinear,change,0.0108690915330905,CESM2,historical_ens_ssp370_1151.008
80,DJF,10,nonlinear,uncalibrated_change,0.006512758358149155,CESM2,historical_ens_ssp370_1151.008
81,DJF,11,conversion,bias,-0.022973248508678424,CESM2,historical_ens_ssp370_1151.008
82,DJF,11,conversion,change,0.01816452813574839,CESM2,historical_ens_ssp370_1151.008
83,DJF,11,conversion,uncalibrated_change,0.007431613424004392,CESM2,historical_ens_ssp370_1151.008
84,DJF,11,dynamical,bias,-0.013641673502443274,CESM2,historical_ens_ssp370_1151.008
85,DJF,11,dynamical,change,-0.0030609931302030846,CESM2,historical_ens_ssp370_1151.008
86,DJF,11,dynamical,uncalibrated_change,-0.001124716899925854,CESM2,historical_ens_ssp370_1151.008
87,DJF,11,nonlinear,bias,0.0068634929060453305,CESM2,historical_ens_ssp370_1151.008
88,DJF,11,nonlinear,change,-0.0013588875785816726,CESM2,historical_ens_ssp370_1151.008
89,DJF,11,nonlinear,uncalibrated_change,-0.0007084901136640185,CESM2,historical_ens_ssp370_1151.008
90,DJF,12,conversion,bias,-0.021573772818225482,CESM2,historical_ens_ssp370_1151.008
91,DJF,12,conversion,change,0.02343160194956383,CESM2,historical_ens_ssp370_1151.008
92,DJF,12,conversion,uncalibrated_change,0.0132285223472359,CESM2,historical_ens_ssp370_1151.008
93,DJF,12,dynamical,bias,0.003110504810803918,CESM2,historical_ens_ssp370_1151.008
94,DJF,12,dynamical,change,0.01698594683263277,CESM2,historical_ens_ssp370_1151.008
95,DJF,12,dynamical,uncalibrated_change,0.006377142218891931,CESM2,historical_ens_ssp370_1151.008
96,DJF,12,nonlinear,bias,-0.0020130740447899865,CESM2,historical_ens_ssp370_1151.008
97,DJF,12,nonlinear,change,0.00896269842967451,CESM2,historical_ens_ssp370_1151.008
98,DJF,12,nonlinear,uncalibrated_change,0.0027339149540234965,CESM2,historical_ens_ssp370_1151.008
99,DJF,13,conversion,bias,-0.01740879996993115,CESM2,historical_ens_ssp370_1151.008
100,DJF,13,conversion,change,0.012020117099752094,CESM2,historical_ens_ssp370_1151.008
101,DJF,13,conversion,uncalibrated_change,0.012087314967444961,CESM2,historical_ens_ssp370_1151.008
102,DJF,13,dynamical,bias,0.019022724062872268,CESM2,historical_ens_ssp370_1151.008
103,DJF,13,dynamical,change,0.03024348388401538,CESM2,historical_ens_ssp370_1151.008
104,DJF,13,dynamical,uncalibrated_change,0.014941215514602082,CESM2,historical_ens_ssp370_1151.008
105,DJF,13,nonlinear,bias,-0.008130152185038748,CESM2,historical_ens_ssp370_1151.008
106,DJF,13,nonlinear,change,0.007292954091035177,CESM2,historical_ens_ssp370_1151.008
107,DJF,13,nonlinear,uncalibrated_change,0.003031151880158363,CESM2,historical_ens_ssp370_1151.008
108,DJF,14,conversion,bias,-0.020288672130629484,CESM2,historical_ens_ssp370_1151.008
109,DJF,14,conversion,change,0.006899708797401226,CESM2,historical_ens_ssp370_1151.008
110,DJF,14,conversion,uncalibrated_change,0.004858394398018203,CESM2,historical_ens_ssp370_1151.008
111,DJF,14,dynamical,bias,0.022999655617360015,CESM2,historical_ens_ssp370_1151.008
112,DJF,14,dynamical,change,0.018472643070397074,CESM2,historical_ens_ssp370_1151.008
113,DJF,14,dynamical,uncalibrated_change,0.008780210894591745,CESM2,historical_ens_ssp370_1151.008
114,DJF,14,nonlinear,bias,-0.011158202398707864,CESM2,historical_ens_ssp370_1151.008
115,DJF,14,nonlinear,change,0.0030838358561784285,CESM2,historical_ens_ssp370_1151.008
116,DJF,14,nonlinear,uncalibrated_change,0.001278897157767867,CESM2,historical_ens_ssp370_1151.008
117,DJF,15,conversion,bias,0.02251482458343434,CESM2,historical_ens_ssp370_1151.008
118,DJF,15,conversion,change,-0.0018407158923151414,CESM2,historical_ens_ssp370_1151.008
119,DJF,15,conversion,uncalibrated_change,-0.004441320802059376,CESM2,historical_ens_ssp370_1151.008
120,DJF,15,dynamical,bias,-0.00898972112230689,CESM2,historical_ens_ssp370_1151.008
121,DJF,15,dynamical,change,-0.00943046443291711,CESM2,historical_ens_ssp370_1151.008
122,DJF,15,dynamical,uncalibrated_change,-0.013247841133302634,CESM2,historical_ens_ssp370_1151.008
123,DJF,15,nonlinear,bias,-0.0005652315215694648,CESM2,historical_ens_ssp370_1151.008
124,DJF,15,nonlinear,change,-3.7200689066232285e-05,CESM2,historical_ens_ssp370_1151.008
125,DJF,15,nonlinear,uncalibrated_change,0.0006304678431475702,CESM2,historical_ens_ssp370_1151.008
126,DJF,16,conversion,bias,0.03917958741513558,CESM2,historical_ens_ssp370_1151.008
127,DJF,16,conversion,change,-0.019219350690373116,CESM2,historical_ens_ssp370_1151.008
128,DJF,16,conversion,uncalibrated_change,-0.04033224102126622,CESM2,historical_ens_ssp370_1151.008
129,DJF,16,dynamical,bias,0.008628563902435866,CESM2,historical_ens_ssp370_1151.008
130,DJF,16,dynamical,change,-0.00604090247510645,CESM2,historical_ens_ssp370_1151.008
131,DJF,16,dynamical,uncalibrated_change,-0.00831681610371553,CESM2,historical_ens_ssp370_1151.008
132,DJF,16,nonlinear,bias,0.005473024832179609,CESM2,historical_ens_ssp370_1151.008
133,DJF,16,nonlinear,change,0.001953860368194705,CESM2,historical_ens_ssp370_1151.008
134,DJF,16,nonlinear,uncalibrated_change,0.0026511726437125115,CESM2,historical_ens_ssp370_1151.008
