,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,-0.04897725768802743,CanESM5,historical_r4i1p1f1
1,DJF,1,dynamical,bias,-0.010026800472011559,CanESM5,historical_r4i1p1f1
2,DJF,1,nonlinear,bias,0.00976070122970147,CanESM5,historical_r4i1p1f1
3,DJF,3,conversion,bias,-0.005990147367315872,CanESM5,historical_r4i1p1f1
4,DJF,3,dynamical,bias,-0.029008314195294795,CanESM5,historical_r4i1p1f1
5,DJF,3,nonlinear,bias,0.007668684879186737,CanESM5,historical_r4i1p1f1
6,DJF,4,conversion,bias,-0.05016928285626343,CanESM5,historical_r4i1p1f1
7,DJF,4,dynamical,bias,-0.028199156351157554,CanESM5,historical_r4i1p1f1
8,DJF,4,nonlinear,bias,0.028199156351157554,CanESM5,historical_r4i1p1f1
9,DJF,5,conversion,bias,-0.038964046500857455,CanESM5,historical_r4i1p1f1
10,DJF,5,dynamical,bias,-0.014999714427435812,CanESM5,historical_r4i1p1f1
11,DJF,5,nonlinear,bias,0.012127811405363157,CanESM5,historical_r4i1p1f1
12,DJF,6,conversion,bias,-0.03302698508880663,CanESM5,historical_r4i1p1f1
13,DJF,6,dynamical,bias,-0.00653897321772338,CanESM5,historical_r4i1p1f1
14,DJF,6,nonlinear,bias,0.004520132240390011,CanESM5,historical_r4i1p1f1
15,DJF,7,conversion,bias,-0.032176424370343834,CanESM5,historical_r4i1p1f1
16,DJF,7,dynamical,bias,0.007061172749706516,CanESM5,historical_r4i1p1f1
17,DJF,7,nonlinear,bias,-0.0037577349393298678,CanESM5,historical_r4i1p1f1
18,DJF,8,conversion,bias,-0.03119019292144775,CanESM5,historical_r4i1p1f1
19,DJF,8,dynamical,bias,0.027310785848085058,CanESM5,historical_r4i1p1f1
20,DJF,8,nonlinear,bias,-0.017586172079197094,CanESM5,historical_r4i1p1f1
21,DJF,9,conversion,bias,-0.03701639407321561,CanESM5,historical_r4i1p1f1
22,DJF,9,dynamical,bias,0.05784030761423232,CanESM5,historical_r4i1p1f1
23,DJF,9,nonlinear,bias,-0.051240109977527114,CanESM5,historical_r4i1p1f1
24,DJF,10,conversion,bias,-0.029695304480459792,CanESM5,historical_r4i1p1f1
25,DJF,10,dynamical,bias,0.0376285317357898,CanESM5,historical_r4i1p1f1
26,DJF,10,nonlinear,bias,-0.02878152245727249,CanESM5,historical_r4i1p1f1
27,DJF,11,conversion,bias,-0.04135129035709259,CanESM5,historical_r4i1p1f1
28,DJF,11,dynamical,bias,-0.004206636449172624,CanESM5,historical_r4i1p1f1
29,DJF,11,nonlinear,bias,0.003721977283335053,CanESM5,historical_r4i1p1f1
30,DJF,12,conversion,bias,-0.038929540775894084,CanESM5,historical_r4i1p1f1
31,DJF,12,dynamical,bias,0.03647048535449236,CanESM5,historical_r4i1p1f1
32,DJF,12,nonlinear,bias,-0.02950035089165188,CanESM5,historical_r4i1p1f1
33,DJF,13,conversion,bias,-0.05016928285626343,CanESM5,historical_r4i1p1f1
34,DJF,13,dynamical,bias,0.05026361316099467,CanESM5,historical_r4i1p1f1
35,DJF,13,nonlinear,bias,-0.050263613160994675,CanESM5,historical_r4i1p1f1
36,DJF,14,conversion,bias,-0.050169282856263424,CanESM5,historical_r4i1p1f1
37,DJF,14,dynamical,bias,0.04022383850187844,CanESM5,historical_r4i1p1f1
38,DJF,14,nonlinear,bias,-0.04022383850187843,CanESM5,historical_r4i1p1f1
39,DJF,15,conversion,bias,-0.05016928285626341,CanESM5,historical_r4i1p1f1
40,DJF,15,dynamical,bias,-0.00875937231260808,CanESM5,historical_r4i1p1f1
41,DJF,15,nonlinear,bias,0.008759372312608081,CanESM5,historical_r4i1p1f1
42,DJF,16,conversion,bias,-0.0501692828562634,CanESM5,historical_r4i1p1f1
43,DJF,16,dynamical,bias,0.0030783341814770147,CanESM5,historical_r4i1p1f1
44,DJF,16,nonlinear,bias,-0.0030783341814770143,CanESM5,historical_r4i1p1f1
45,DJF,17,conversion,bias,-0.026130021709362683,CanESM5,historical_r4i1p1f1
46,DJF,17,dynamical,bias,0.04467919239961919,CanESM5,historical_r4i1p1f1
47,DJF,17,nonlinear,bias,-0.024274009102075538,CanESM5,historical_r4i1p1f1
48,DJF,18,conversion,bias,-0.010594567290658575,CanESM5,historical_r4i1p1f1
49,DJF,18,dynamical,bias,0.05050079557924706,CanESM5,historical_r4i1p1f1
50,DJF,18,nonlinear,bias,-0.012606375342382818,CanESM5,historical_r4i1p1f1
51,DJF,19,conversion,bias,-0.023987599123646106,CanESM5,historical_r4i1p1f1
52,DJF,19,dynamical,bias,0.04776844943126305,CanESM5,historical_r4i1p1f1
53,DJF,19,nonlinear,bias,-0.02117235538610263,CanESM5,historical_r4i1p1f1
54,DJF,20,conversion,bias,-0.0032833484475708846,CanESM5,historical_r4i1p1f1
55,DJF,20,dynamical,bias,0.056669941933578605,CanESM5,historical_r4i1p1f1
56,DJF,20,nonlinear,bias,-0.008802789922518109,CanESM5,historical_r4i1p1f1
57,DJF,21,conversion,bias,-0.019124216170075606,CanESM5,historical_r4i1p1f1
58,DJF,21,dynamical,bias,-0.017568565329620034,CanESM5,historical_r4i1p1f1
59,DJF,21,nonlinear,bias,0.006585227038493808,CanESM5,historical_r4i1p1f1
60,DJF,22,conversion,bias,-0.03923990867336022,CanESM5,historical_r4i1p1f1
61,DJF,22,dynamical,bias,-0.020785617139264443,CanESM5,historical_r4i1p1f1
62,DJF,22,nonlinear,bias,0.016955008388459942,CanESM5,historical_r4i1p1f1
63,DJF,23,conversion,bias,-0.013591845708680382,CanESM5,historical_r4i1p1f1
64,DJF,23,dynamical,bias,-0.027480556935027264,CanESM5,historical_r4i1p1f1
65,DJF,23,nonlinear,bias,0.007261144478802141,CanESM5,historical_r4i1p1f1
66,DJF,24,conversion,bias,-0.041271299455163765,CanESM5,historical_r4i1p1f1
67,DJF,24,dynamical,bias,-0.021659364105603974,CanESM5,historical_r4i1p1f1
68,DJF,24,nonlinear,bias,0.01739101033413393,CanESM5,historical_r4i1p1f1
69,DJF,25,conversion,bias,-0.04379279342616476,CanESM5,historical_r4i1p1f1
70,DJF,25,dynamical,bias,-0.02559325668764471,CanESM5,historical_r4i1p1f1
71,DJF,25,nonlinear,bias,0.022303187010632452,CanESM5,historical_r4i1p1f1
72,DJF,26,conversion,bias,-0.029389610102227553,CanESM5,historical_r4i1p1f1
73,DJF,26,dynamical,bias,-0.025600854028575377,CanESM5,historical_r4i1p1f1
74,DJF,26,nonlinear,bias,0.014697724484415978,CanESM5,historical_r4i1p1f1
75,DJF,27,conversion,bias,-0.050169282856263424,CanESM5,historical_r4i1p1f1
76,DJF,27,dynamical,bias,-0.0297433100331713,CanESM5,historical_r4i1p1f1
77,DJF,27,nonlinear,bias,0.0297433100331713,CanESM5,historical_r4i1p1f1
78,DJF,28,conversion,bias,-0.05016928285626342,CanESM5,historical_r4i1p1f1
79,DJF,28,dynamical,bias,-0.032018065874799564,CanESM5,historical_r4i1p1f1
80,DJF,28,nonlinear,bias,0.032018065874799564,CanESM5,historical_r4i1p1f1
81,DJF,29,conversion,bias,-0.0493283222959235,CanESM5,historical_r4i1p1f1
82,DJF,29,dynamical,bias,-0.011533767632270877,CanESM5,historical_r4i1p1f1
83,DJF,29,nonlinear,bias,0.011310091022548228,CanESM5,historical_r4i1p1f1
84,DJF,30,conversion,bias,-0.04254414772283598,CanESM5,historical_r4i1p1f1
