,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,-0.0005291287730621958,EC-Earth3,historical_ens_ssp370_r118i1p1f1
1,DJF,1,conversion,change,0.025050602477725118,EC-Earth3,historical_ens_ssp370_r118i1p1f1
2,DJF,1,conversion,uncalibrated_change,0.020165116238109064,EC-Earth3,historical_ens_ssp370_r118i1p1f1
3,DJF,1,dynamical,bias,-0.007511249879955939,EC-Earth3,historical_ens_ssp370_r118i1p1f1
4,DJF,1,dynamical,change,-0.010186338204612773,EC-Earth3,historical_ens_ssp370_r118i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.009841880253940628,EC-Earth3,historical_ens_ssp370_r118i1p1f1
6,DJF,1,nonlinear,bias,0.00033430384937480637,EC-Earth3,historical_ens_ssp370_r118i1p1f1
7,DJF,1,nonlinear,change,-0.004805117684449231,EC-Earth3,historical_ens_ssp370_r118i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,-0.004678335929680497,EC-Earth3,historical_ens_ssp370_r118i1p1f1
9,DJF,3,conversion,bias,0.006338083558972486,EC-Earth3,historical_ens_ssp370_r118i1p1f1
10,DJF,3,conversion,change,0.007036756719006528,EC-Earth3,historical_ens_ssp370_r118i1p1f1
11,DJF,3,conversion,uncalibrated_change,0.006622008690614289,EC-Earth3,historical_ens_ssp370_r118i1p1f1
12,DJF,3,dynamical,bias,-0.010436317832401744,EC-Earth3,historical_ens_ssp370_r118i1p1f1
13,DJF,3,dynamical,change,-0.0004682849591816877,EC-Earth3,historical_ens_ssp370_r118i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-3.320654591774576e-05,EC-Earth3,historical_ens_ssp370_r118i1p1f1
15,DJF,3,nonlinear,bias,-0.00035897763222835194,EC-Earth3,historical_ens_ssp370_r118i1p1f1
16,DJF,3,nonlinear,change,6.84254455275501e-05,EC-Earth3,historical_ens_ssp370_r118i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,0.00013155933613000003,EC-Earth3,historical_ens_ssp370_r118i1p1f1
18,DJF,4,conversion,bias,-0.039353181258449825,EC-Earth3,historical_ens_ssp370_r118i1p1f1
19,DJF,4,conversion,change,0.026076391368148814,EC-Earth3,historical_ens_ssp370_r118i1p1f1
20,DJF,4,conversion,uncalibrated_change,0.004041647374109517,EC-Earth3,historical_ens_ssp370_r118i1p1f1
21,DJF,4,dynamical,bias,-0.017479524141858997,EC-Earth3,historical_ens_ssp370_r118i1p1f1
22,DJF,4,dynamical,change,-0.0019082849329306914,EC-Earth3,historical_ens_ssp370_r118i1p1f1
23,DJF,4,dynamical,uncalibrated_change,-0.0005292842305584049,EC-Earth3,historical_ens_ssp370_r118i1p1f1
24,DJF,4,nonlinear,bias,0.013594330059748215,EC-Earth3,historical_ens_ssp370_r118i1p1f1
25,DJF,4,nonlinear,change,0.001800734374064109,EC-Earth3,historical_ens_ssp370_r118i1p1f1
26,DJF,4,nonlinear,uncalibrated_change,0.000367540150556864,EC-Earth3,historical_ens_ssp370_r118i1p1f1
27,DJF,5,conversion,bias,-0.016575214223797596,EC-Earth3,historical_ens_ssp370_r118i1p1f1
28,DJF,5,conversion,change,0.0513537474070008,EC-Earth3,historical_ens_ssp370_r118i1p1f1
29,DJF,5,conversion,uncalibrated_change,0.025780720183611452,EC-Earth3,historical_ens_ssp370_r118i1p1f1
30,DJF,5,dynamical,bias,-0.013368287960812181,EC-Earth3,historical_ens_ssp370_r118i1p1f1
31,DJF,5,dynamical,change,-0.005079067840190926,EC-Earth3,historical_ens_ssp370_r118i1p1f1
32,DJF,5,dynamical,uncalibrated_change,-0.0029032242793795055,EC-Earth3,historical_ens_ssp370_r118i1p1f1
33,DJF,5,nonlinear,bias,0.00476196484548546,EC-Earth3,historical_ens_ssp370_r118i1p1f1
34,DJF,5,nonlinear,change,-0.004796981643840831,EC-Earth3,historical_ens_ssp370_r118i1p1f1
35,DJF,5,nonlinear,uncalibrated_change,-0.00273010628723606,EC-Earth3,historical_ens_ssp370_r118i1p1f1
36,DJF,6,conversion,bias,-0.025032406696648607,EC-Earth3,historical_ens_ssp370_r118i1p1f1
37,DJF,6,conversion,change,0.036372350725542874,EC-Earth3,historical_ens_ssp370_r118i1p1f1
38,DJF,6,conversion,uncalibrated_change,0.01715792678006192,EC-Earth3,historical_ens_ssp370_r118i1p1f1
39,DJF,6,dynamical,bias,-0.006848966950802659,EC-Earth3,historical_ens_ssp370_r118i1p1f1
40,DJF,6,dynamical,change,-0.0027952164470280206,EC-Earth3,historical_ens_ssp370_r118i1p1f1
41,DJF,6,dynamical,uncalibrated_change,-0.0013848251293825534,EC-Earth3,historical_ens_ssp370_r118i1p1f1
42,DJF,6,nonlinear,bias,0.0038043584974905764,EC-Earth3,historical_ens_ssp370_r118i1p1f1
43,DJF,6,nonlinear,change,8.275886576440371e-05,EC-Earth3,historical_ens_ssp370_r118i1p1f1
44,DJF,6,nonlinear,uncalibrated_change,0.0002427387501259377,EC-Earth3,historical_ens_ssp370_r118i1p1f1
45,DJF,7,conversion,bias,-0.021675692177643785,EC-Earth3,historical_ens_ssp370_r118i1p1f1
46,DJF,7,conversion,change,0.05052754192241948,EC-Earth3,historical_ens_ssp370_r118i1p1f1
47,DJF,7,conversion,uncalibrated_change,0.033683920033462864,EC-Earth3,historical_ens_ssp370_r118i1p1f1
48,DJF,7,dynamical,bias,0.007817454815657468,EC-Earth3,historical_ens_ssp370_r118i1p1f1
49,DJF,7,dynamical,change,-0.006762213147396415,EC-Earth3,historical_ens_ssp370_r118i1p1f1
50,DJF,7,dynamical,uncalibrated_change,-0.004171958342038606,EC-Earth3,historical_ens_ssp370_r118i1p1f1
51,DJF,7,nonlinear,bias,-0.0027622612529721573,EC-Earth3,historical_ens_ssp370_r118i1p1f1
52,DJF,7,nonlinear,change,-0.00491982558483769,EC-Earth3,historical_ens_ssp370_r118i1p1f1
53,DJF,7,nonlinear,uncalibrated_change,-0.003060745933729273,EC-Earth3,historical_ens_ssp370_r118i1p1f1
54,DJF,8,conversion,bias,-0.02731112201319267,EC-Earth3,historical_ens_ssp370_r118i1p1f1
55,DJF,8,conversion,change,0.07418210591325894,EC-Earth3,historical_ens_ssp370_r118i1p1f1
56,DJF,8,conversion,uncalibrated_change,0.03815835027640606,EC-Earth3,historical_ens_ssp370_r118i1p1f1
57,DJF,8,dynamical,bias,0.01060735814156618,EC-Earth3,historical_ens_ssp370_r118i1p1f1
58,DJF,8,dynamical,change,-0.009968055489244156,EC-Earth3,historical_ens_ssp370_r118i1p1f1
59,DJF,8,dynamical,uncalibrated_change,-0.004481266315958742,EC-Earth3,historical_ens_ssp370_r118i1p1f1
60,DJF,8,nonlinear,bias,-0.00553669758090026,EC-Earth3,historical_ens_ssp370_r118i1p1f1
61,DJF,8,nonlinear,change,-0.013803083331599889,EC-Earth3,historical_ens_ssp370_r118i1p1f1
62,DJF,8,nonlinear,uncalibrated_change,-0.00565995941923811,EC-Earth3,historical_ens_ssp370_r118i1p1f1
63,DJF,9,conversion,bias,-0.02987382680194634,EC-Earth3,historical_ens_ssp370_r118i1p1f1
64,DJF,9,conversion,change,0.052063024151840984,EC-Earth3,historical_ens_ssp370_r118i1p1f1
65,DJF,9,conversion,uncalibrated_change,0.025843172683275288,EC-Earth3,historical_ens_ssp370_r118i1p1f1
66,DJF,9,dynamical,bias,0.015018173030818874,EC-Earth3,historical_ens_ssp370_r118i1p1f1
67,DJF,9,dynamical,change,-0.01661491668120981,EC-Earth3,historical_ens_ssp370_r118i1p1f1
68,DJF,9,dynamical,uncalibrated_change,-0.006413830476578405,EC-Earth3,historical_ens_ssp370_r118i1p1f1
69,DJF,9,nonlinear,bias,-0.00917453215502646,EC-Earth3,historical_ens_ssp370_r118i1p1f1
70,DJF,9,nonlinear,change,-0.012757089660867844,EC-Earth3,historical_ens_ssp370_r118i1p1f1
71,DJF,9,nonlinear,uncalibrated_change,-0.004757628326995613,EC-Earth3,historical_ens_ssp370_r118i1p1f1
72,DJF,10,conversion,bias,-0.020185857492256994,EC-Earth3,historical_ens_ssp370_r118i1p1f1
73,DJF,10,conversion,change,0.06723153722523394,EC-Earth3,historical_ens_ssp370_r118i1p1f1
74,DJF,10,conversion,uncalibrated_change,0.046553110538635194,EC-Earth3,historical_ens_ssp370_r118i1p1f1
75,DJF,10,dynamical,bias,0.009108552530764091,EC-Earth3,historical_ens_ssp370_r118i1p1f1
76,DJF,10,dynamical,change,-0.0088751044509633,EC-Earth3,historical_ens_ssp370_r118i1p1f1
77,DJF,10,dynamical,uncalibrated_change,-0.00454007388069774,EC-Earth3,historical_ens_ssp370_r118i1p1f1
78,DJF,10,nonlinear,bias,-0.00451723694883848,EC-Earth3,historical_ens_ssp370_r118i1p1f1
79,DJF,10,nonlinear,change,-0.013689082283723288,EC-Earth3,historical_ens_ssp370_r118i1p1f1
80,DJF,10,nonlinear,uncalibrated_change,-0.007128318145410097,EC-Earth3,historical_ens_ssp370_r118i1p1f1
81,DJF,11,conversion,bias,-0.03053220248805153,EC-Earth3,historical_ens_ssp370_r118i1p1f1
82,DJF,11,conversion,change,0.05206117831664113,EC-Earth3,historical_ens_ssp370_r118i1p1f1
83,DJF,11,conversion,uncalibrated_change,0.022938458342112077,EC-Earth3,historical_ens_ssp370_r118i1p1f1
84,DJF,11,dynamical,bias,0.011051101358622353,EC-Earth3,historical_ens_ssp370_r118i1p1f1
85,DJF,11,dynamical,change,-0.004531967593135872,EC-Earth3,historical_ens_ssp370_r118i1p1f1
86,DJF,11,dynamical,uncalibrated_change,-0.0017818784924580806,EC-Earth3,historical_ens_ssp370_r118i1p1f1
87,DJF,11,nonlinear,bias,-0.006167816486247463,EC-Earth3,historical_ens_ssp370_r118i1p1f1
88,DJF,11,nonlinear,change,-0.004020076016979358,EC-Earth3,historical_ens_ssp370_r118i1p1f1
89,DJF,11,nonlinear,uncalibrated_change,-0.0016228910371867734,EC-Earth3,historical_ens_ssp370_r118i1p1f1
90,DJF,12,conversion,bias,-0.021338792519594085,EC-Earth3,historical_ens_ssp370_r118i1p1f1
91,DJF,12,conversion,change,0.03317873889958599,EC-Earth3,historical_ens_ssp370_r118i1p1f1
