,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.04491178168656482,HadGEM3-GC31-MM,historical_r2i1p1f3
1,DJF,1,dynamical,bias,-0.013660114460263812,HadGEM3-GC31-MM,historical_r2i1p1f3
2,DJF,1,nonlinear,bias,-0.00518638218132995,HadGEM3-GC31-MM,historical_r2i1p1f3
3,DJF,3,conversion,bias,0.026683560198025983,HadGEM3-GC31-MM,historical_r2i1p1f3
4,DJF,3,dynamical,bias,-0.00933044496804287,HadGEM3-GC31-MM,historical_r2i1p1f3
5,DJF,3,nonlinear,bias,-0.0014730153701972095,HadGEM3-GC31-MM,historical_r2i1p1f3
6,DJF,4,conversion,bias,-0.02222672626626782,HadGEM3-GC31-MM,historical_r2i1p1f3
7,DJF,4,dynamical,bias,-0.013688704145232112,HadGEM3-GC31-MM,historical_r2i1p1f3
8,DJF,4,nonlinear,bias,0.006425159900915459,HadGEM3-GC31-MM,historical_r2i1p1f3
9,DJF,5,conversion,bias,0.02402441068619246,HadGEM3-GC31-MM,historical_r2i1p1f3
10,DJF,5,dynamical,bias,-0.010333903634052968,HadGEM3-GC31-MM,historical_r2i1p1f3
11,DJF,5,nonlinear,bias,-0.002748678797291855,HadGEM3-GC31-MM,historical_r2i1p1f3
12,DJF,6,conversion,bias,-0.02950207066440845,HadGEM3-GC31-MM,historical_r2i1p1f3
13,DJF,6,dynamical,bias,-0.009254412937278324,HadGEM3-GC31-MM,historical_r2i1p1f3
14,DJF,6,nonlinear,bias,0.006179793338015874,HadGEM3-GC31-MM,historical_r2i1p1f3
15,DJF,7,conversion,bias,-0.0023329857942252083,HadGEM3-GC31-MM,historical_r2i1p1f3
16,DJF,7,dynamical,bias,0.0024619940363302785,HadGEM3-GC31-MM,historical_r2i1p1f3
17,DJF,7,nonlinear,bias,0.0003189928522487474,HadGEM3-GC31-MM,historical_r2i1p1f3
18,DJF,8,conversion,bias,-0.0167581820019813,HadGEM3-GC31-MM,historical_r2i1p1f3
19,DJF,8,dynamical,bias,0.0013329418280599754,HadGEM3-GC31-MM,historical_r2i1p1f3
20,DJF,8,nonlinear,bias,0.0004411425028430421,HadGEM3-GC31-MM,historical_r2i1p1f3
21,DJF,9,conversion,bias,-0.005828421988007282,HadGEM3-GC31-MM,historical_r2i1p1f3
