,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.024103283214187858,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
1,DJF,1,conversion,change,0.004488049596810258,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
2,DJF,1,conversion,uncalibrated_change,0.005267768973468647,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
3,DJF,1,dynamical,bias,-0.014092820837105991,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
4,DJF,1,dynamical,change,-0.009557058173647052,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.013963907450475866,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
6,DJF,1,nonlinear,bias,0.003091859704926211,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
7,DJF,1,nonlinear,change,-0.0010317177237694297,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,-0.0017299380069798083,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
9,DJF,3,conversion,bias,0.026590875463973016,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
10,DJF,3,conversion,change,-0.0030032443038034867,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
11,DJF,3,conversion,uncalibrated_change,-0.007442043644336879,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
12,DJF,3,dynamical,bias,-0.015517756939716977,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
13,DJF,3,dynamical,change,-0.00262439476204407,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-0.003987217026759948,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
15,DJF,3,nonlinear,bias,-0.0037115371829886347,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
16,DJF,3,nonlinear,change,0.00032509300661357583,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,0.00023985988720007025,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
18,DJF,4,conversion,bias,-0.049731106727418775,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
19,DJF,4,conversion,change,0.0008925424864635159,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
20,DJF,4,conversion,uncalibrated_change,0.0006266775531505289,INM-CM5-0,historical_ens_ssp370_r4i1p1f1
