,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.018707529775211628,INM-CM5-0,historical_r5i1p1f1
1,DJF,1,dynamical,bias,-0.012873760363210135,INM-CM5-0,historical_r5i1p1f1
2,DJF,1,nonlinear,bias,0.002947565015685621,INM-CM5-0,historical_r5i1p1f1
3,DJF,3,conversion,bias,0.023628569375596913,INM-CM5-0,historical_r5i1p1f1
4,DJF,3,dynamical,bias,-0.014806861555570571,INM-CM5-0,historical_r5i1p1f1
5,DJF,3,nonlinear,bias,0.0027374043854385723,INM-CM5-0,historical_r5i1p1f1
6,DJF,4,conversion,bias,-0.05016928285626343,INM-CM5-0,historical_r5i1p1f1
7,DJF,4,dynamical,bias,-0.016951644832041115,INM-CM5-0,historical_r5i1p1f1
8,DJF,4,nonlinear,bias,0.016951644832041115,INM-CM5-0,historical_r5i1p1f1
9,DJF,5,conversion,bias,-0.04273415365930434,INM-CM5-0,historical_r5i1p1f1
10,DJF,5,dynamical,bias,-0.016983523180791885,INM-CM5-0,historical_r5i1p1f1
11,DJF,5,nonlinear,bias,0.014486665588771045,INM-CM5-0,historical_r5i1p1f1
12,DJF,6,conversion,bias,-0.03681393319040868,INM-CM5-0,historical_r5i1p1f1
13,DJF,6,dynamical,bias,-0.011026457536483437,INM-CM5-0,historical_r5i1p1f1
14,DJF,6,nonlinear,bias,0.009399502932357027,INM-CM5-0,historical_r5i1p1f1
15,DJF,7,conversion,bias,-0.003223435851732742,INM-CM5-0,historical_r5i1p1f1
16,DJF,7,dynamical,bias,0.0036064197219082307,INM-CM5-0,historical_r5i1p1f1
17,DJF,7,nonlinear,bias,0.0003736591994869795,INM-CM5-0,historical_r5i1p1f1
18,DJF,8,conversion,bias,-0.0048101168077234,INM-CM5-0,historical_r5i1p1f1
19,DJF,8,dynamical,bias,-0.00019355507086492394,INM-CM5-0,historical_r5i1p1f1
20,DJF,8,nonlinear,bias,0.0011306853186211173,INM-CM5-0,historical_r5i1p1f1
21,DJF,9,conversion,bias,-0.03810510877926318,INM-CM5-0,historical_r5i1p1f1
22,DJF,9,dynamical,bias,-0.021441816944641198,INM-CM5-0,historical_r5i1p1f1
23,DJF,9,nonlinear,bias,0.01801961817628291,INM-CM5-0,historical_r5i1p1f1
24,DJF,10,conversion,bias,-0.004780809590763175,INM-CM5-0,historical_r5i1p1f1
25,DJF,10,dynamical,bias,-0.011857217387819424,INM-CM5-0,historical_r5i1p1f1
26,DJF,10,nonlinear,bias,0.004431707085282089,INM-CM5-0,historical_r5i1p1f1
27,DJF,11,conversion,bias,-0.02689062241857639,INM-CM5-0,historical_r5i1p1f1
28,DJF,11,dynamical,bias,0.00517451440728685,INM-CM5-0,historical_r5i1p1f1
29,DJF,11,nonlinear,bias,-0.0025272489190479985,INM-CM5-0,historical_r5i1p1f1
30,DJF,12,conversion,bias,-0.03206342517536363,INM-CM5-0,historical_r5i1p1f1
31,DJF,12,dynamical,bias,-0.0016013874838413586,INM-CM5-0,historical_r5i1p1f1
32,DJF,12,nonlinear,bias,0.0020140483214600466,INM-CM5-0,historical_r5i1p1f1
33,DJF,13,conversion,bias,-0.04396413857125666,INM-CM5-0,historical_r5i1p1f1
34,DJF,13,dynamical,bias,-0.0272319726432331,INM-CM5-0,historical_r5i1p1f1
35,DJF,13,nonlinear,bias,0.025039174037238644,INM-CM5-0,historical_r5i1p1f1
36,DJF,14,conversion,bias,-0.0473382230817029,INM-CM5-0,historical_r5i1p1f1
37,DJF,14,dynamical,bias,-0.027168854919621552,INM-CM5-0,historical_r5i1p1f1
38,DJF,14,nonlinear,bias,0.02526372107098695,INM-CM5-0,historical_r5i1p1f1
39,DJF,15,conversion,bias,-0.008723956553120558,INM-CM5-0,historical_r5i1p1f1
40,DJF,15,dynamical,bias,-0.008868425810550454,INM-CM5-0,historical_r5i1p1f1
41,DJF,15,nonlinear,bias,0.00291692666790139,INM-CM5-0,historical_r5i1p1f1
42,DJF,16,conversion,bias,0.007718825415266483,INM-CM5-0,historical_r5i1p1f1
43,DJF,16,dynamical,bias,-0.01054563261532929,INM-CM5-0,historical_r5i1p1f1
44,DJF,16,nonlinear,bias,-0.00382395713768214,INM-CM5-0,historical_r5i1p1f1
45,DJF,17,conversion,bias,0.0031161632951032595,INM-CM5-0,historical_r5i1p1f1
46,DJF,17,dynamical,bias,-0.01696885022990495,INM-CM5-0,historical_r5i1p1f1
47,DJF,17,nonlinear,bias,-0.0026746206128197983,INM-CM5-0,historical_r5i1p1f1
48,DJF,18,conversion,bias,-0.0057931646520051035,INM-CM5-0,historical_r5i1p1f1
49,DJF,18,dynamical,bias,-0.015119548411467308,INM-CM5-0,historical_r5i1p1f1
50,DJF,18,nonlinear,bias,0.0034594795899249783,INM-CM5-0,historical_r5i1p1f1
51,DJF,19,conversion,bias,0.0017123331539314582,INM-CM5-0,historical_r5i1p1f1
