,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.013738859908408299,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
1,DJF,1,conversion,change,0.009030280148291244,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
2,DJF,1,conversion,uncalibrated_change,0.014007014911490196,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
3,DJF,1,dynamical,bias,0.012495043109180766,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
4,DJF,1,dynamical,change,-0.02096594296706124,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.02355472986091217,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
6,DJF,1,nonlinear,bias,0.0029648247960971344,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
7,DJF,1,nonlinear,change,-0.0033010900639302222,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,-0.0036040795053114932,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
9,DJF,3,conversion,bias,0.010123654134069498,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
10,DJF,3,conversion,change,0.018297323171644772,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
11,DJF,3,conversion,uncalibrated_change,0.011307696367307309,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
12,DJF,3,dynamical,bias,-0.017440539086173643,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
13,DJF,3,dynamical,change,-0.007276399117745188,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-0.008983599152750241,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
15,DJF,3,nonlinear,bias,0.00044297503110279045,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
16,DJF,3,nonlinear,change,-0.0025125649124906105,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,-0.002916767448116489,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
18,DJF,4,conversion,bias,-0.03517577054368634,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
19,DJF,4,conversion,change,0.03300301907601185,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
20,DJF,4,conversion,uncalibrated_change,0.003479521483959945,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
21,DJF,4,dynamical,bias,-0.03187194969090255,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
22,DJF,4,dynamical,change,-0.001980036381397479,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
23,DJF,4,dynamical,uncalibrated_change,-0.000649971540434664,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
24,DJF,4,nonlinear,bias,0.021926144365090574,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
25,DJF,4,nonlinear,change,-0.0010575203636890235,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
26,DJF,4,nonlinear,uncalibrated_change,-0.00030968936372285114,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
27,DJF,5,conversion,bias,-0.011992088540327477,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
28,DJF,5,conversion,change,0.027724172856554943,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
29,DJF,5,conversion,uncalibrated_change,0.012235203868041644,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
30,DJF,5,dynamical,bias,-0.027844987197950505,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
31,DJF,5,dynamical,change,0.0018942100268593914,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
32,DJF,5,dynamical,uncalibrated_change,0.0014090349750267993,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
33,DJF,5,nonlinear,bias,0.007437363006155239,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
34,DJF,5,nonlinear,change,0.0010166809708579434,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
35,DJF,5,nonlinear,uncalibrated_change,0.0010186234642232668,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
36,DJF,6,conversion,bias,-0.017577079913471277,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
37,DJF,6,conversion,change,0.03727961823899309,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
38,DJF,6,conversion,uncalibrated_change,0.02474864058867181,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
39,DJF,6,dynamical,bias,-0.02199457324439371,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
40,DJF,6,dynamical,change,0.0016518040813105952,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
41,DJF,6,dynamical,uncalibrated_change,0.0010311725703961209,IPSL-CM6A-LR,historical_ens_ssp370_r7i1p1f1
