,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.012021600474894742,IPSL-CM6A-LR,historical_r15i1p1f1
1,DJF,1,dynamical,bias,0.009424920576043974,IPSL-CM6A-LR,historical_r15i1p1f1
2,DJF,1,nonlinear,bias,0.00286865284872267,IPSL-CM6A-LR,historical_r15i1p1f1
3,DJF,3,conversion,bias,0.006674533724778106,IPSL-CM6A-LR,historical_r15i1p1f1
4,DJF,3,dynamical,bias,-0.017581957426012013,IPSL-CM6A-LR,historical_r15i1p1f1
5,DJF,3,nonlinear,bias,0.0016738133595903186,IPSL-CM6A-LR,historical_r15i1p1f1
6,DJF,4,conversion,bias,-0.04267391468836826,IPSL-CM6A-LR,historical_r15i1p1f1
7,DJF,4,dynamical,bias,-0.03307604911380434,IPSL-CM6A-LR,historical_r15i1p1f1
8,DJF,4,nonlinear,bias,0.028350764048402227,IPSL-CM6A-LR,historical_r15i1p1f1
9,DJF,5,conversion,bias,-0.005043118993403104,IPSL-CM6A-LR,historical_r15i1p1f1
10,DJF,5,dynamical,bias,-0.03219172704758013,IPSL-CM6A-LR,historical_r15i1p1f1
11,DJF,5,nonlinear,bias,0.00491720984523069,IPSL-CM6A-LR,historical_r15i1p1f1
12,DJF,6,conversion,bias,-0.015171046324146547,IPSL-CM6A-LR,historical_r15i1p1f1
13,DJF,6,dynamical,bias,-0.02294892693989852,IPSL-CM6A-LR,historical_r15i1p1f1
14,DJF,6,nonlinear,bias,0.014112586375771743,IPSL-CM6A-LR,historical_r15i1p1f1
15,DJF,7,conversion,bias,-0.01057285883619679,IPSL-CM6A-LR,historical_r15i1p1f1
16,DJF,7,dynamical,bias,0.0314693833766369,IPSL-CM6A-LR,historical_r15i1p1f1
17,DJF,7,nonlinear,bias,-0.007046109027974736,IPSL-CM6A-LR,historical_r15i1p1f1
18,DJF,8,conversion,bias,-0.027731863608855007,IPSL-CM6A-LR,historical_r15i1p1f1
19,DJF,8,dynamical,bias,0.02889943490538545,IPSL-CM6A-LR,historical_r15i1p1f1
20,DJF,8,nonlinear,bias,-0.015941347843160206,IPSL-CM6A-LR,historical_r15i1p1f1
21,DJF,9,conversion,bias,-0.03522223871191092,IPSL-CM6A-LR,historical_r15i1p1f1
22,DJF,9,dynamical,bias,0.016281590916863292,IPSL-CM6A-LR,historical_r15i1p1f1
23,DJF,9,nonlinear,bias,-0.011530266332376155,IPSL-CM6A-LR,historical_r15i1p1f1
24,DJF,10,conversion,bias,-0.008683265588396254,IPSL-CM6A-LR,historical_r15i1p1f1
25,DJF,10,dynamical,bias,0.009466511282454624,IPSL-CM6A-LR,historical_r15i1p1f1
26,DJF,10,nonlinear,bias,-0.0017066067282227302,IPSL-CM6A-LR,historical_r15i1p1f1
27,DJF,11,conversion,bias,-0.03719602895223481,IPSL-CM6A-LR,historical_r15i1p1f1
28,DJF,11,dynamical,bias,0.04555493881235135,IPSL-CM6A-LR,historical_r15i1p1f1
29,DJF,11,nonlinear,bias,-0.03452080582810668,IPSL-CM6A-LR,historical_r15i1p1f1
30,DJF,12,conversion,bias,-0.014073289754418858,IPSL-CM6A-LR,historical_r15i1p1f1
31,DJF,12,dynamical,bias,0.04377913344364556,IPSL-CM6A-LR,historical_r15i1p1f1
32,DJF,12,nonlinear,bias,-0.0213955943817475,IPSL-CM6A-LR,historical_r15i1p1f1
33,DJF,13,conversion,bias,-0.04996088540063606,IPSL-CM6A-LR,historical_r15i1p1f1
34,DJF,13,dynamical,bias,-0.0009696606187834457,IPSL-CM6A-LR,historical_r15i1p1f1
35,DJF,13,nonlinear,bias,0.001069050174544191,IPSL-CM6A-LR,historical_r15i1p1f1
36,DJF,14,conversion,bias,-0.03484620898691011,IPSL-CM6A-LR,historical_r15i1p1f1
37,DJF,14,dynamical,bias,-0.01557602207648376,IPSL-CM6A-LR,historical_r15i1p1f1
38,DJF,14,nonlinear,bias,0.011025493605714599,IPSL-CM6A-LR,historical_r15i1p1f1
39,DJF,15,conversion,bias,-0.02898327970293979,IPSL-CM6A-LR,historical_r15i1p1f1
40,DJF,15,dynamical,bias,-0.004890908065218123,IPSL-CM6A-LR,historical_r15i1p1f1
41,DJF,15,nonlinear,bias,0.002787699617957876,IPSL-CM6A-LR,historical_r15i1p1f1
42,DJF,16,conversion,bias,-0.03587198480475165,IPSL-CM6A-LR,historical_r15i1p1f1
43,DJF,16,dynamical,bias,-0.007530756048248623,IPSL-CM6A-LR,historical_r15i1p1f1
44,DJF,16,nonlinear,bias,0.004929364429485379,IPSL-CM6A-LR,historical_r15i1p1f1
45,DJF,17,conversion,bias,-0.006014396241765811,IPSL-CM6A-LR,historical_r15i1p1f1
46,DJF,17,dynamical,bias,0.005608694851538791,IPSL-CM6A-LR,historical_r15i1p1f1
47,DJF,17,nonlinear,bias,-0.0005176596439373236,IPSL-CM6A-LR,historical_r15i1p1f1
48,DJF,18,conversion,bias,-0.003595051052207668,IPSL-CM6A-LR,historical_r15i1p1f1
49,DJF,18,dynamical,bias,0.02535582721486074,IPSL-CM6A-LR,historical_r15i1p1f1
50,DJF,18,nonlinear,bias,-0.0036013424907540594,IPSL-CM6A-LR,historical_r15i1p1f1
51,DJF,19,conversion,bias,-0.017563604101796877,IPSL-CM6A-LR,historical_r15i1p1f1
52,DJF,19,dynamical,bias,0.011070601897522993,IPSL-CM6A-LR,historical_r15i1p1f1
53,DJF,19,nonlinear,bias,-0.0042795431943103025,IPSL-CM6A-LR,historical_r15i1p1f1
54,DJF,20,conversion,bias,0.009032593248822279,IPSL-CM6A-LR,historical_r15i1p1f1
55,DJF,20,dynamical,bias,0.012992119424867967,IPSL-CM6A-LR,historical_r15i1p1f1
56,DJF,20,nonlinear,bias,-0.0004796218765218825,IPSL-CM6A-LR,historical_r15i1p1f1
57,DJF,21,conversion,bias,-0.014915087627998598,IPSL-CM6A-LR,historical_r15i1p1f1
58,DJF,21,dynamical,bias,0.017571639399894225,IPSL-CM6A-LR,historical_r15i1p1f1
59,DJF,21,nonlinear,bias,-0.002040977749119444,IPSL-CM6A-LR,historical_r15i1p1f1
60,DJF,22,conversion,bias,-0.006826102808674435,IPSL-CM6A-LR,historical_r15i1p1f1
61,DJF,22,dynamical,bias,-0.009168071876597586,IPSL-CM6A-LR,historical_r15i1p1f1
62,DJF,22,nonlinear,bias,0.0018359721614184996,IPSL-CM6A-LR,historical_r15i1p1f1
63,DJF,23,conversion,bias,-0.010239724902551161,IPSL-CM6A-LR,historical_r15i1p1f1
64,DJF,23,dynamical,bias,-0.001667214720461886,IPSL-CM6A-LR,historical_r15i1p1f1
65,DJF,23,nonlinear,bias,0.00021103319026451425,IPSL-CM6A-LR,historical_r15i1p1f1
66,DJF,24,conversion,bias,-0.03158796809747921,IPSL-CM6A-LR,historical_r15i1p1f1
67,DJF,24,dynamical,bias,0.010568979219846128,IPSL-CM6A-LR,historical_r15i1p1f1
68,DJF,24,nonlinear,bias,-0.006374055135909537,IPSL-CM6A-LR,historical_r15i1p1f1
69,DJF,25,conversion,bias,-0.0332073476693746,IPSL-CM6A-LR,historical_r15i1p1f1
70,DJF,25,dynamical,bias,0.00797790948606584,IPSL-CM6A-LR,historical_r15i1p1f1
71,DJF,25,nonlinear,bias,-0.005241475944115068,IPSL-CM6A-LR,historical_r15i1p1f1
72,DJF,26,conversion,bias,-0.024572950408726493,IPSL-CM6A-LR,historical_r15i1p1f1
73,DJF,26,dynamical,bias,0.011157515922058842,IPSL-CM6A-LR,historical_r15i1p1f1
74,DJF,26,nonlinear,bias,-0.004436212173843299,IPSL-CM6A-LR,historical_r15i1p1f1
