,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.040169494490816235,MIROC6,historical_ens_ssp370_r3i1p1f1
1,DJF,1,conversion,change,0.00957168373353822,MIROC6,historical_ens_ssp370_r3i1p1f1
2,DJF,1,conversion,uncalibrated_change,0.024342511861712622,MIROC6,historical_ens_ssp370_r3i1p1f1
3,DJF,1,dynamical,bias,-0.005149308203467345,MIROC6,historical_ens_ssp370_r3i1p1f1
4,DJF,1,dynamical,change,-0.008637112303267112,MIROC6,historical_ens_ssp370_r3i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.014777657111604656,MIROC6,historical_ens_ssp370_r3i1p1f1
6,DJF,1,nonlinear,bias,0.002700821886106132,MIROC6,historical_ens_ssp370_r3i1p1f1
7,DJF,1,nonlinear,change,-0.001359535851166409,MIROC6,historical_ens_ssp370_r3i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,-0.002860551186231894,MIROC6,historical_ens_ssp370_r3i1p1f1
9,DJF,3,conversion,bias,0.03815563693020187,MIROC6,historical_ens_ssp370_r3i1p1f1
10,DJF,3,conversion,change,-0.0038682839564394755,MIROC6,historical_ens_ssp370_r3i1p1f1
11,DJF,3,conversion,uncalibrated_change,-0.0013961388764089826,MIROC6,historical_ens_ssp370_r3i1p1f1
12,DJF,3,dynamical,bias,-0.016190180740184756,MIROC6,historical_ens_ssp370_r3i1p1f1
13,DJF,3,dynamical,change,-0.001650712187688788,MIROC6,historical_ens_ssp370_r3i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-0.00293941339741244,MIROC6,historical_ens_ssp370_r3i1p1f1
15,DJF,3,nonlinear,bias,-0.005173964790954201,MIROC6,historical_ens_ssp370_r3i1p1f1
16,DJF,3,nonlinear,change,8.052335616687652e-05,MIROC6,historical_ens_ssp370_r3i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,7.748072019771228e-05,MIROC6,historical_ens_ssp370_r3i1p1f1
18,DJF,4,conversion,bias,-0.049092355029551726,MIROC6,historical_ens_ssp370_r3i1p1f1
