,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.048149374445205936,MIROC6,historical_r6i1p1f1
1,DJF,1,dynamical,bias,-0.008392276153638637,MIROC6,historical_r6i1p1f1
2,DJF,1,nonlinear,bias,-0.0006681478452761642,MIROC6,historical_r6i1p1f1
3,DJF,3,conversion,bias,0.038346743624561995,MIROC6,historical_r6i1p1f1
4,DJF,3,dynamical,bias,-0.017014951199828633,MIROC6,historical_r6i1p1f1
5,DJF,3,nonlinear,bias,-0.009020311969208628,MIROC6,historical_r6i1p1f1
6,DJF,4,conversion,bias,-0.05016928285626343,MIROC6,historical_r6i1p1f1
7,DJF,4,dynamical,bias,-0.029866646089073537,MIROC6,historical_r6i1p1f1
8,DJF,4,nonlinear,bias,0.02986664608907354,MIROC6,historical_r6i1p1f1
9,DJF,5,conversion,bias,-0.036726134864244794,MIROC6,historical_r6i1p1f1
10,DJF,5,dynamical,bias,-0.02862679933368354,MIROC6,historical_r6i1p1f1
11,DJF,5,nonlinear,bias,0.02257053961497973,MIROC6,historical_r6i1p1f1
12,DJF,6,conversion,bias,-0.006670420704090246,MIROC6,historical_r6i1p1f1
13,DJF,6,dynamical,bias,-0.023020527610657912,MIROC6,historical_r6i1p1f1
14,DJF,6,nonlinear,bias,0.003221265335369874,MIROC6,historical_r6i1p1f1
15,DJF,7,conversion,bias,0.002400583930723841,MIROC6,historical_r6i1p1f1
16,DJF,7,dynamical,bias,0.014227160844581574,MIROC6,historical_r6i1p1f1
17,DJF,7,nonlinear,bias,0.0030706239535342327,MIROC6,historical_r6i1p1f1
18,DJF,8,conversion,bias,-0.005000133897670049,MIROC6,historical_r6i1p1f1
19,DJF,8,dynamical,bias,0.009391052312976987,MIROC6,historical_r6i1p1f1
20,DJF,8,nonlinear,bias,-8.190025587327839e-05,MIROC6,historical_r6i1p1f1
21,DJF,9,conversion,bias,-0.00268557184802866,MIROC6,historical_r6i1p1f1
22,DJF,9,dynamical,bias,-0.01684400810593487,MIROC6,historical_r6i1p1f1
23,DJF,9,nonlinear,bias,0.0038324423731694126,MIROC6,historical_r6i1p1f1
24,DJF,10,conversion,bias,0.020604012795482143,MIROC6,historical_r6i1p1f1
25,DJF,10,dynamical,bias,-0.007475301773034433,MIROC6,historical_r6i1p1f1
26,DJF,10,nonlinear,bias,-0.0020483786124754224,MIROC6,historical_r6i1p1f1
27,DJF,11,conversion,bias,-0.030324154284446594,MIROC6,historical_r6i1p1f1
28,DJF,11,dynamical,bias,0.012029415435591674,MIROC6,historical_r6i1p1f1
29,DJF,11,nonlinear,bias,-0.0072515830963589606,MIROC6,historical_r6i1p1f1
30,DJF,12,conversion,bias,-0.022892484507183206,MIROC6,historical_r6i1p1f1
31,DJF,12,dynamical,bias,0.005733247749252667,MIROC6,historical_r6i1p1f1
32,DJF,12,nonlinear,bias,-0.0016157709367447374,MIROC6,historical_r6i1p1f1
33,DJF,13,conversion,bias,-0.03306272792137243,MIROC6,historical_r6i1p1f1
34,DJF,13,dynamical,bias,-0.03051287604893845,MIROC6,historical_r6i1p1f1
35,DJF,13,nonlinear,bias,0.019562061341809787,MIROC6,historical_r6i1p1f1
36,DJF,14,conversion,bias,-0.04318877981660005,MIROC6,historical_r6i1p1f1
37,DJF,14,dynamical,bias,-0.034317848402182036,MIROC6,historical_r6i1p1f1
38,DJF,14,nonlinear,bias,0.029799641453623602,MIROC6,historical_r6i1p1f1
39,DJF,15,conversion,bias,0.013403868604566216,MIROC6,historical_r6i1p1f1
40,DJF,15,dynamical,bias,-0.016104556387720476,MIROC6,historical_r6i1p1f1
41,DJF,15,nonlinear,bias,-0.00037718233072699787,MIROC6,historical_r6i1p1f1
42,DJF,16,conversion,bias,0.04631904064980226,MIROC6,historical_r6i1p1f1
43,DJF,16,dynamical,bias,-0.014954473536601376,MIROC6,historical_r6i1p1f1
44,DJF,16,nonlinear,bias,-0.01997644769184045,MIROC6,historical_r6i1p1f1
45,DJF,17,conversion,bias,0.03337527907010711,MIROC6,historical_r6i1p1f1
46,DJF,17,dynamical,bias,-0.02048433048433051,MIROC6,historical_r6i1p1f1
47,DJF,17,nonlinear,bias,-0.011044226517447901,MIROC6,historical_r6i1p1f1
48,DJF,18,conversion,bias,0.02198008920522812,MIROC6,historical_r6i1p1f1
49,DJF,18,dynamical,bias,-0.013646188746219555,MIROC6,historical_r6i1p1f1
50,DJF,18,nonlinear,bias,0.005516515053456782,MIROC6,historical_r6i1p1f1
51,DJF,19,conversion,bias,0.011092911575623535,MIROC6,historical_r6i1p1f1
52,DJF,19,dynamical,bias,-0.01659979825774432,MIROC6,historical_r6i1p1f1
53,DJF,19,nonlinear,bias,-3.327952286538661e-05,MIROC6,historical_r6i1p1f1
54,DJF,20,conversion,bias,0.05126601475601438,MIROC6,historical_r6i1p1f1
55,DJF,20,dynamical,bias,-0.015866972875283138,MIROC6,historical_r6i1p1f1
56,DJF,20,nonlinear,bias,-0.005851488787471812,MIROC6,historical_r6i1p1f1
57,DJF,21,conversion,bias,0.017939400397839672,MIROC6,historical_r6i1p1f1
58,DJF,21,dynamical,bias,0.010439574219198701,MIROC6,historical_r6i1p1f1
59,DJF,21,nonlinear,bias,0.0027075135331616493,MIROC6,historical_r6i1p1f1
60,DJF,22,conversion,bias,0.045729247043002116,MIROC6,historical_r6i1p1f1
61,DJF,22,dynamical,bias,-0.012782368276366429,MIROC6,historical_r6i1p1f1
62,DJF,22,nonlinear,bias,-0.011709574980855474,MIROC6,historical_r6i1p1f1
63,DJF,23,conversion,bias,0.005368370443473924,MIROC6,historical_r6i1p1f1
64,DJF,23,dynamical,bias,-0.006571699905033257,MIROC6,historical_r6i1p1f1
65,DJF,23,nonlinear,bias,-0.0009511796181575251,MIROC6,historical_r6i1p1f1
66,DJF,24,conversion,bias,-0.0033153639064089357,MIROC6,historical_r6i1p1f1
67,DJF,24,dynamical,bias,-0.001264802933008553,MIROC6,historical_r6i1p1f1
68,DJF,24,nonlinear,bias,0.0024256577597006426,MIROC6,historical_r6i1p1f1
69,DJF,25,conversion,bias,-0.013453496626082468,MIROC6,historical_r6i1p1f1
70,DJF,25,dynamical,bias,0.00840694061172155,MIROC6,historical_r6i1p1f1
71,DJF,25,nonlinear,bias,-0.0023403322589539725,MIROC6,historical_r6i1p1f1
72,DJF,26,conversion,bias,0.009893947268656769,MIROC6,historical_r6i1p1f1
73,DJF,26,dynamical,bias,0.006044024942147417,MIROC6,historical_r6i1p1f1
74,DJF,26,nonlinear,bias,0.000374739392766101,MIROC6,historical_r6i1p1f1
75,DJF,27,conversion,bias,-0.005810001637224567,MIROC6,historical_r6i1p1f1
76,DJF,27,dynamical,bias,0.009353173757605877,MIROC6,historical_r6i1p1f1
77,DJF,27,nonlinear,bias,-0.00046530200650012895,MIROC6,historical_r6i1p1f1
78,DJF,28,conversion,bias,-0.023773291433513383,MIROC6,historical_r6i1p1f1
79,DJF,28,dynamical,bias,0.014118944334395207,MIROC6,historical_r6i1p1f1
80,DJF,28,nonlinear,bias,-0.008197299561392764,MIROC6,historical_r6i1p1f1
81,DJF,29,conversion,bias,-0.020506245331756906,MIROC6,historical_r6i1p1f1
82,DJF,29,dynamical,bias,0.023266222319264254,MIROC6,historical_r6i1p1f1
83,DJF,29,nonlinear,bias,-0.008915717215269747,MIROC6,historical_r6i1p1f1
84,DJF,30,conversion,bias,-0.012048393771780956,MIROC6,historical_r6i1p1f1
85,DJF,30,dynamical,bias,0.011414922905637991,MIROC6,historical_r6i1p1f1
86,DJF,30,nonlinear,bias,-0.0027521862591263404,MIROC6,historical_r6i1p1f1
87,DJF,31,conversion,bias,-0.025264499278119194,MIROC6,historical_r6i1p1f1
