,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.010244505723146934,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
1,DJF,1,conversion,change,4.0369374440896427e-05,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
2,DJF,1,conversion,uncalibrated_change,-0.000616789841095031,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
3,DJF,1,dynamical,bias,0.004207430907954125,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
4,DJF,1,dynamical,change,-0.012362355816526331,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.014168439534304694,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
6,DJF,1,nonlinear,bias,0.0008450778348884345,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
7,DJF,1,nonlinear,change,0.00018274922717796856,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,0.00012974286295753938,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
9,DJF,3,conversion,bias,0.02032426194168454,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
10,DJF,3,conversion,change,0.0012022945567992556,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
11,DJF,3,conversion,uncalibrated_change,0.00094329051330508,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
12,DJF,3,dynamical,bias,-0.017065833975652388,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
13,DJF,3,dynamical,change,-0.00231048155431044,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-0.0034583476138340618,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
15,DJF,3,nonlinear,bias,-0.005012813930944472,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
16,DJF,3,nonlinear,change,8.809829933201604e-05,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,4.610615412375333e-05,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
18,DJF,4,conversion,bias,-0.04017199231991027,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
19,DJF,4,conversion,change,-0.0016927161551578958,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
20,DJF,4,conversion,uncalibrated_change,-0.00038288584372207025,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
21,DJF,4,dynamical,bias,-0.01840468759910641,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
22,DJF,4,dynamical,change,-0.007606036698598498,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
23,DJF,4,dynamical,uncalibrated_change,-0.0016164133996141115,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
24,DJF,4,nonlinear,bias,0.014593915991654424,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
25,DJF,4,nonlinear,change,0.00019489930823375065,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
26,DJF,4,nonlinear,uncalibrated_change,0.00013710463775932406,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
27,DJF,5,conversion,bias,-0.010531464054233525,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
28,DJF,5,conversion,change,0.0028403918689555003,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
29,DJF,5,conversion,uncalibrated_change,0.0013539063422837712,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
30,DJF,5,dynamical,bias,-0.011921719795732318,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
31,DJF,5,dynamical,change,-0.015209129755431185,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
32,DJF,5,dynamical,uncalibrated_change,-0.01245589729739045,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
33,DJF,5,nonlinear,bias,0.003124159534791911,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
34,DJF,5,nonlinear,change,7.008887556221954e-05,MPI-ESM1-2-HR,historical_ens_ssp370_r5i1p1f1
