,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.01413722367215884,MPI-ESM1-2-HR,historical_r7i1p1f1
1,DJF,1,dynamical,bias,0.0032607008599621554,MPI-ESM1-2-HR,historical_r7i1p1f1
2,DJF,1,nonlinear,bias,0.0013770831625542655,MPI-ESM1-2-HR,historical_r7i1p1f1
3,DJF,3,conversion,bias,0.02463345937781882,MPI-ESM1-2-HR,historical_r7i1p1f1
4,DJF,3,dynamical,bias,-0.016696495407893794,MPI-ESM1-2-HR,historical_r7i1p1f1
5,DJF,3,nonlinear,bias,-0.004551306844655743,MPI-ESM1-2-HR,historical_r7i1p1f1
6,DJF,4,conversion,bias,-0.03591465906646396,MPI-ESM1-2-HR,historical_r7i1p1f1
7,DJF,4,dynamical,bias,-0.0215226425137167,MPI-ESM1-2-HR,historical_r7i1p1f1
8,DJF,4,nonlinear,bias,0.014962694008620193,MPI-ESM1-2-HR,historical_r7i1p1f1
9,DJF,5,conversion,bias,-0.0069068168581994695,MPI-ESM1-2-HR,historical_r7i1p1f1
10,DJF,5,dynamical,bias,-0.014992425165811871,MPI-ESM1-2-HR,historical_r7i1p1f1
11,DJF,5,nonlinear,bias,0.0028164473179479134,MPI-ESM1-2-HR,historical_r7i1p1f1
12,DJF,6,conversion,bias,-0.020406431581159946,MPI-ESM1-2-HR,historical_r7i1p1f1
13,DJF,6,dynamical,bias,-0.012176884289329153,MPI-ESM1-2-HR,historical_r7i1p1f1
14,DJF,6,nonlinear,bias,0.005498058868334587,MPI-ESM1-2-HR,historical_r7i1p1f1
15,DJF,7,conversion,bias,0.01323212650441369,MPI-ESM1-2-HR,historical_r7i1p1f1
16,DJF,7,dynamical,bias,0.02079071740095644,MPI-ESM1-2-HR,historical_r7i1p1f1
17,DJF,7,nonlinear,bias,0.004142745506756653,MPI-ESM1-2-HR,historical_r7i1p1f1
18,DJF,8,conversion,bias,-0.008305892646520829,MPI-ESM1-2-HR,historical_r7i1p1f1
19,DJF,8,dynamical,bias,0.025314745102372062,MPI-ESM1-2-HR,historical_r7i1p1f1
20,DJF,8,nonlinear,bias,-0.007775242114207656,MPI-ESM1-2-HR,historical_r7i1p1f1
21,DJF,9,conversion,bias,-0.015624592587013821,MPI-ESM1-2-HR,historical_r7i1p1f1
22,DJF,9,dynamical,bias,0.022184405048876157,MPI-ESM1-2-HR,historical_r7i1p1f1
23,DJF,9,nonlinear,bias,-0.009022108552967291,MPI-ESM1-2-HR,historical_r7i1p1f1
