,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,-0.005746811980478171,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
1,DJF,1,conversion,change,0.047192047457958464,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
2,DJF,1,conversion,uncalibrated_change,0.04017334439882984,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
3,DJF,1,dynamical,bias,-0.006894268292647307,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
4,DJF,1,dynamical,change,-0.01622793671653833,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.012903014586189344,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
6,DJF,1,nonlinear,bias,0.0016223052654307504,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
7,DJF,1,nonlinear,change,-0.014335911804443912,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,-0.011826243067614687,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
9,DJF,3,conversion,bias,0.0012504186639271256,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
10,DJF,3,conversion,change,0.03157913980241819,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
11,DJF,3,conversion,uncalibrated_change,0.02413246566246166,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
12,DJF,3,dynamical,bias,-0.011775753340132136,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
13,DJF,3,dynamical,change,-0.007927971650573464,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-0.007512072845331761,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
15,DJF,3,nonlinear,bias,0.0019072983573376542,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
16,DJF,3,nonlinear,change,-0.005099714364918499,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,-0.004928396112282771,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
18,DJF,4,conversion,bias,-0.04561158577367473,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
19,DJF,4,conversion,change,0.0009722134537761169,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
20,DJF,4,conversion,uncalibrated_change,0.0009064355610631287,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
21,DJF,4,dynamical,bias,-0.0005397175316124985,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
22,DJF,4,dynamical,change,-0.013306185534604527,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
23,DJF,4,dynamical,uncalibrated_change,-0.0012664246134594826,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
24,DJF,4,nonlinear,bias,0.0004757108152903135,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
25,DJF,4,nonlinear,change,-0.0001020562159409977,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
26,DJF,4,nonlinear,uncalibrated_change,-7.964726081611571e-05,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
27,DJF,5,conversion,bias,-0.02726382158496379,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
28,DJF,5,conversion,change,0.0297529812245549,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
29,DJF,5,conversion,uncalibrated_change,0.013112667911417138,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
30,DJF,5,dynamical,bias,0.0032449671854616682,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
31,DJF,5,dynamical,change,-0.018561212388687496,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
32,DJF,5,dynamical,uncalibrated_change,-0.00815385835069445,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
33,DJF,5,nonlinear,bias,-0.0016505823502670689,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
34,DJF,5,nonlinear,change,-0.010092838469439978,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
35,DJF,5,nonlinear,uncalibrated_change,-0.003242439452000755,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
36,DJF,6,conversion,bias,-0.02297043084375266,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
37,DJF,6,conversion,change,0.023239347447860347,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
38,DJF,6,conversion,uncalibrated_change,0.015963938368813727,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
39,DJF,6,dynamical,bias,0.007205450022316724,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
40,DJF,6,dynamical,change,-0.005327762831610144,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
41,DJF,6,dynamical,uncalibrated_change,-0.002470499645463757,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
42,DJF,6,nonlinear,bias,-0.003933387907403782,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
43,DJF,6,nonlinear,change,-0.0009002565755276472,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
44,DJF,6,nonlinear,uncalibrated_change,-0.00018056906799003076,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
45,DJF,7,conversion,bias,-0.008050605694219577,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
46,DJF,7,conversion,change,0.06663513877817055,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
47,DJF,7,conversion,uncalibrated_change,0.05430104779062234,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
48,DJF,7,dynamical,bias,0.0009346880638559924,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
49,DJF,7,dynamical,change,-0.004264364647179867,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
50,DJF,7,dynamical,uncalibrated_change,-0.0033252144895086913,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
51,DJF,7,nonlinear,bias,-0.000578757654339409,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
52,DJF,7,nonlinear,change,-0.006245498696325148,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
53,DJF,7,nonlinear,uncalibrated_change,-0.004801792225025486,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
54,DJF,8,conversion,bias,-0.02030056682197253,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
55,DJF,8,conversion,change,0.08445028245207556,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
56,DJF,8,conversion,uncalibrated_change,0.050978703726616885,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
57,DJF,8,dynamical,bias,0.0010136586697579622,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
58,DJF,8,dynamical,change,-0.0023381351812150975,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
59,DJF,8,dynamical,uncalibrated_change,-0.001134560405123376,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
60,DJF,8,nonlinear,bias,-0.0007192475880132302,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
61,DJF,8,nonlinear,change,-0.003221451571665178,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
62,DJF,8,nonlinear,uncalibrated_change,-0.0013586217898805687,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
63,DJF,9,conversion,bias,-0.03001682374412392,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
64,DJF,9,conversion,change,0.04480445254689902,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
65,DJF,9,conversion,uncalibrated_change,0.02152676787440759,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
66,DJF,9,dynamical,bias,0.0026903472673453026,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
67,DJF,9,dynamical,change,0.00036604170206302577,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
68,DJF,9,dynamical,uncalibrated_change,6.703454695781745e-05,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
69,DJF,9,nonlinear,bias,-0.0016670599959822184,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
70,DJF,9,nonlinear,change,0.00039910903803864144,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
71,DJF,9,nonlinear,uncalibrated_change,-6.684610316532352e-05,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
72,DJF,10,conversion,bias,-0.009026076957713468,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
73,DJF,10,conversion,change,0.07283965727761299,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
74,DJF,10,conversion,uncalibrated_change,0.06399235150069549,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
75,DJF,10,dynamical,bias,0.0045757926246281465,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
76,DJF,10,dynamical,change,-0.0003471288162783099,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
77,DJF,10,dynamical,uncalibrated_change,-0.0003052225751628959,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
78,DJF,10,nonlinear,bias,-0.0009667670673455952,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
79,DJF,10,nonlinear,change,0.00025213752504530274,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
80,DJF,10,nonlinear,uncalibrated_change,0.00020928826628346134,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
81,DJF,11,conversion,bias,-0.031883394088424805,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
82,DJF,11,conversion,change,0.060606399189354856,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
83,DJF,11,conversion,uncalibrated_change,0.021946782895335224,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
84,DJF,11,dynamical,bias,-0.003995347827090935,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
85,DJF,11,dynamical,change,0.005577421455517266,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
86,DJF,11,dynamical,uncalibrated_change,0.0019136725692364763,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
87,DJF,11,nonlinear,bias,0.0024530724787659663,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
88,DJF,11,nonlinear,change,0.006240486997651982,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
89,DJF,11,nonlinear,uncalibrated_change,0.002098633817617314,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
90,DJF,12,conversion,bias,-0.024533159649135595,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
91,DJF,12,conversion,change,0.050901077641079144,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
92,DJF,12,conversion,uncalibrated_change,0.023609849830594543,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
93,DJF,12,dynamical,bias,0.0017029045681964383,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
94,DJF,12,dynamical,change,0.010421254735648892,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
95,DJF,12,dynamical,uncalibrated_change,0.003951200230627785,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
96,DJF,12,nonlinear,bias,-0.0011155744050565608,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
97,DJF,12,nonlinear,change,0.01276195206240411,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
98,DJF,12,nonlinear,uncalibrated_change,0.004053334405347734,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
99,DJF,13,conversion,bias,-0.039306117418343896,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
100,DJF,13,conversion,change,0.01827193505216072,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
101,DJF,13,conversion,uncalibrated_change,0.004044775148595009,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
102,DJF,13,dynamical,bias,0.0014998423066546413,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
103,DJF,13,dynamical,change,0.012946002785543169,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
104,DJF,13,dynamical,uncalibrated_change,0.0029323694822473907,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
105,DJF,13,nonlinear,bias,-0.0012826753346019209,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
106,DJF,13,nonlinear,change,0.0024448273007360638,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
107,DJF,13,nonlinear,uncalibrated_change,0.0005911716068339621,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
108,DJF,14,conversion,bias,-0.03932547424892011,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
109,DJF,14,conversion,change,0.001319241644728009,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
110,DJF,14,conversion,uncalibrated_change,2.292285890136703e-05,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
111,DJF,14,dynamical,bias,0.009339411907586723,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
112,DJF,14,dynamical,change,-0.00129970628819507,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
113,DJF,14,dynamical,uncalibrated_change,-0.00040755367685819575,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
114,DJF,14,nonlinear,bias,-0.007194608634351491,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
115,DJF,14,nonlinear,change,-0.0001005578711605245,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
116,DJF,14,nonlinear,uncalibrated_change,9.872163908096743e-05,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
117,DJF,15,conversion,bias,-0.013725641453336776,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
118,DJF,15,conversion,change,0.019803891059317905,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
119,DJF,15,conversion,uncalibrated_change,0.014976333082717707,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
120,DJF,15,dynamical,bias,-0.005843256614570893,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
121,DJF,15,dynamical,change,-0.019162827145160165,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
122,DJF,15,dynamical,uncalibrated_change,-0.01298163665984327,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
123,DJF,15,nonlinear,bias,0.001471021798286221,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
124,DJF,15,nonlinear,change,-0.004993515761500536,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
125,DJF,15,nonlinear,uncalibrated_change,-0.004066103010516462,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
126,DJF,16,conversion,bias,-0.013783125042351187,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
127,DJF,16,conversion,change,0.03600175777249766,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
128,DJF,16,conversion,uncalibrated_change,0.03118002165677304,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
129,DJF,16,dynamical,bias,0.012653755980728364,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
130,DJF,16,dynamical,change,-0.014264685611971967,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
131,DJF,16,dynamical,uncalibrated_change,-0.014255978171689927,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
132,DJF,16,nonlinear,bias,0.0010678116593451342,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
133,DJF,16,nonlinear,change,-0.008835402721603425,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
134,DJF,16,nonlinear,uncalibrated_change,-0.007842579750879729,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
135,DJF,17,conversion,bias,-8.406625828404719e-05,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
136,DJF,17,conversion,change,0.03702536103041505,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
137,DJF,17,conversion,uncalibrated_change,0.03759663105319089,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
138,DJF,17,dynamical,bias,0.0016126934520286167,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
139,DJF,17,dynamical,change,0.00397734455102876,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
140,DJF,17,dynamical,uncalibrated_change,0.0035845732925363074,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
141,DJF,17,nonlinear,bias,0.00025653747230652455,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
142,DJF,17,nonlinear,change,0.0029785055895417446,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
143,DJF,17,nonlinear,uncalibrated_change,0.0028102940769041884,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
144,DJF,18,conversion,bias,-0.008834836914531975,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
145,DJF,18,conversion,change,0.03164141054314061,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
146,DJF,18,conversion,uncalibrated_change,0.027150162620203977,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
147,DJF,18,dynamical,bias,0.002129317896630906,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
148,DJF,18,dynamical,change,0.014485198430904808,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
149,DJF,18,dynamical,uncalibrated_change,0.009967422174900977,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
150,DJF,18,nonlinear,bias,0.00036510658330581204,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
151,DJF,18,nonlinear,change,0.010790318920338954,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
152,DJF,18,nonlinear,uncalibrated_change,0.007702193430875392,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
153,DJF,19,conversion,bias,-0.0031774447172348954,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
154,DJF,19,conversion,change,0.04393521902574726,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
155,DJF,19,conversion,uncalibrated_change,0.04651106175318373,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
156,DJF,19,dynamical,bias,0.0015872549870703007,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
157,DJF,19,dynamical,change,0.004653284799822186,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
158,DJF,19,dynamical,uncalibrated_change,0.0042741387959783494,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
159,DJF,19,nonlinear,bias,0.0004205990868897277,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
160,DJF,19,nonlinear,change,0.004294914322467503,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
161,DJF,19,nonlinear,uncalibrated_change,0.003998891020633095,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
162,DJF,20,conversion,bias,0.0029323971545665134,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
163,DJF,20,conversion,change,0.04382931406699349,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
164,DJF,20,conversion,uncalibrated_change,0.048099916260145696,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
165,DJF,20,dynamical,bias,0.004502308402585403,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
166,DJF,20,dynamical,change,0.0039503691631115265,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
167,DJF,20,dynamical,uncalibrated_change,0.0034321249666485957,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
168,DJF,20,nonlinear,bias,0.0003830845321062894,MRI-ESM2-0,historical_ens_ssp370_r3i1p1f1
