,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.009194781613459812,NorESM2-LM,historical_r2i1p1f1
1,DJF,1,dynamical,bias,-0.02512656246889289,NorESM2-LM,historical_r2i1p1f1
2,DJF,1,nonlinear,bias,-0.0009041686674970766,NorESM2-LM,historical_r2i1p1f1
3,DJF,3,conversion,bias,0.03725625882724629,NorESM2-LM,historical_r2i1p1f1
4,DJF,3,dynamical,bias,-0.034531053458774816,NorESM2-LM,historical_r2i1p1f1
5,DJF,3,nonlinear,bias,-0.014931525261771997,NorESM2-LM,historical_r2i1p1f1
6,DJF,4,conversion,bias,-0.05016928285626343,NorESM2-LM,historical_r2i1p1f1
7,DJF,4,dynamical,bias,-0.01882401419412239,NorESM2-LM,historical_r2i1p1f1
8,DJF,4,nonlinear,bias,0.01882401419412239,NorESM2-LM,historical_r2i1p1f1
9,DJF,5,conversion,bias,-0.03673815618287002,NorESM2-LM,historical_r2i1p1f1
10,DJF,5,dynamical,bias,-0.005349344526037092,NorESM2-LM,historical_r2i1p1f1
11,DJF,5,nonlinear,bias,0.003955254889680697,NorESM2-LM,historical_r2i1p1f1
12,DJF,6,conversion,bias,-0.02591415571146031,NorESM2-LM,historical_r2i1p1f1
13,DJF,6,dynamical,bias,-0.0066946835339275436,NorESM2-LM,historical_r2i1p1f1
14,DJF,6,nonlinear,bias,0.004661778611346605,NorESM2-LM,historical_r2i1p1f1
15,DJF,7,conversion,bias,0.003157405277265244,NorESM2-LM,historical_r2i1p1f1
16,DJF,7,dynamical,bias,-0.003270985223397939,NorESM2-LM,historical_r2i1p1f1
17,DJF,7,nonlinear,bias,-0.00036434488543940925,NorESM2-LM,historical_r2i1p1f1
18,DJF,8,conversion,bias,-0.02082161892120347,NorESM2-LM,historical_r2i1p1f1
19,DJF,8,dynamical,bias,0.018101902938584866,NorESM2-LM,historical_r2i1p1f1
20,DJF,8,nonlinear,bias,-0.007943394034138709,NorESM2-LM,historical_r2i1p1f1
21,DJF,9,conversion,bias,-0.019179481070009628,NorESM2-LM,historical_r2i1p1f1
22,DJF,9,dynamical,bias,0.038370981292025354,NorESM2-LM,historical_r2i1p1f1
23,DJF,9,nonlinear,bias,-0.018743499127661892,NorESM2-LM,historical_r2i1p1f1
24,DJF,10,conversion,bias,-0.005876904522441973,NorESM2-LM,historical_r2i1p1f1
25,DJF,10,dynamical,bias,0.03365754935739999,NorESM2-LM,historical_r2i1p1f1
26,DJF,10,nonlinear,bias,-0.010048693123320266,NorESM2-LM,historical_r2i1p1f1
27,DJF,11,conversion,bias,-0.03580480136200081,NorESM2-LM,historical_r2i1p1f1
28,DJF,11,dynamical,bias,-0.016504796907826913,NorESM2-LM,historical_r2i1p1f1
29,DJF,11,nonlinear,bias,0.011708216648132182,NorESM2-LM,historical_r2i1p1f1
30,DJF,12,conversion,bias,-0.029319155333611787,NorESM2-LM,historical_r2i1p1f1
31,DJF,12,dynamical,bias,0.01975309647146565,NorESM2-LM,historical_r2i1p1f1
32,DJF,12,nonlinear,bias,-0.012208162265722257,NorESM2-LM,historical_r2i1p1f1
33,DJF,13,conversion,bias,-0.04695082817354843,NorESM2-LM,historical_r2i1p1f1
34,DJF,13,dynamical,bias,0.01846772135275719,NorESM2-LM,historical_r2i1p1f1
35,DJF,13,nonlinear,bias,-0.01736518838115124,NorESM2-LM,historical_r2i1p1f1
36,DJF,14,conversion,bias,-0.04959107026261523,NorESM2-LM,historical_r2i1p1f1
