,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.019871877749114482,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
1,DJF,1,conversion,change,0.027886129710450763,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
2,DJF,1,conversion,uncalibrated_change,0.006596455702095585,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
3,DJF,1,dynamical,bias,-0.030754972772292884,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
4,DJF,1,dynamical,change,-0.0031173189089306295,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.005030360792010517,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
6,DJF,1,nonlinear,bias,-0.00255779277144926,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
7,DJF,1,nonlinear,change,-0.00174104274850595,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,-0.0014381214090352665,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
9,DJF,3,conversion,bias,0.01705718977239297,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
10,DJF,3,conversion,change,0.012540248402660801,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
11,DJF,3,conversion,uncalibrated_change,0.005911976073338556,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
12,DJF,3,dynamical,bias,-0.02641398249954681,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
13,DJF,3,dynamical,change,-0.0030087844015286194,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-0.00311623654440482,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
15,DJF,3,nonlinear,bias,-0.00573018560245328,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
16,DJF,3,nonlinear,change,-0.0005721505187491712,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,-0.001292678202931556,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
18,DJF,4,conversion,bias,-0.04173881607589011,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
19,DJF,4,conversion,change,-0.00701674308505624,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
20,DJF,4,conversion,uncalibrated_change,-0.0007450572100589816,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
21,DJF,4,dynamical,bias,-0.029429093157318644,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
22,DJF,4,dynamical,change,0.004517813631325881,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
23,DJF,4,dynamical,uncalibrated_change,0.000834763505211042,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
24,DJF,4,nonlinear,bias,0.024599449422120202,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
25,DJF,4,nonlinear,change,-0.0006116967373210973,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
26,DJF,4,nonlinear,uncalibrated_change,-0.00016749411097464646,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
27,DJF,5,conversion,bias,-0.014454845676583183,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
28,DJF,5,conversion,change,0.012117594987357198,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
29,DJF,5,conversion,uncalibrated_change,0.00639366798743082,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
30,DJF,5,dynamical,bias,-0.02278094696321908,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
31,DJF,5,dynamical,change,0.0034986330716120033,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
32,DJF,5,dynamical,uncalibrated_change,0.0032000729964033843,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
33,DJF,5,nonlinear,bias,0.008877209371923541,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
34,DJF,5,nonlinear,change,0.0007828115868237166,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
35,DJF,5,nonlinear,uncalibrated_change,0.0008448819200059645,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
36,DJF,6,conversion,bias,-0.020598140524499944,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
37,DJF,6,conversion,change,0.00757792501884737,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
38,DJF,6,conversion,uncalibrated_change,0.006642752247949074,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
39,DJF,6,dynamical,bias,-0.017125211244383223,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
40,DJF,6,dynamical,change,0.008783758024440794,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
41,DJF,6,dynamical,uncalibrated_change,0.004570048230860033,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
42,DJF,6,nonlinear,bias,0.008644603891950958,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
43,DJF,6,nonlinear,change,0.0015710058496626645,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
44,DJF,6,nonlinear,uncalibrated_change,0.00048799245413875256,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
45,DJF,7,conversion,bias,-0.004280211240893301,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
46,DJF,7,conversion,change,0.03133234649203137,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
47,DJF,7,conversion,uncalibrated_change,0.023549439124376906,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
48,DJF,7,dynamical,bias,-0.01207620956780953,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
49,DJF,7,dynamical,change,-0.005661237032769464,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
50,DJF,7,dynamical,uncalibrated_change,-0.004475382465669288,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
51,DJF,7,nonlinear,bias,0.0027097716972027267,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
52,DJF,7,nonlinear,change,-0.003975635263439104,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
53,DJF,7,nonlinear,uncalibrated_change,-0.00356417007926775,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
54,DJF,8,conversion,bias,-0.016442712559850785,NorESM2-MM,historical_ens_ssp370_r1i1p1f1
