,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.04219183144798542,NorESM2-MM,historical_r3i1p1f1
1,DJF,1,dynamical,bias,-0.040302321323664105,NorESM2-MM,historical_r3i1p1f1
2,DJF,1,nonlinear,bias,-0.013169904091695963,NorESM2-MM,historical_r3i1p1f1
3,DJF,3,conversion,bias,0.014192877906006544,NorESM2-MM,historical_r3i1p1f1
4,DJF,3,dynamical,bias,-0.028656063717529948,NorESM2-MM,historical_r3i1p1f1
5,DJF,3,nonlinear,bias,-0.006076467415110456,NorESM2-MM,historical_r3i1p1f1
6,DJF,4,conversion,bias,-0.02556038569303121,NorESM2-MM,historical_r3i1p1f1
7,DJF,4,dynamical,bias,-0.03834872313858444,NorESM2-MM,historical_r3i1p1f1
8,DJF,4,nonlinear,bias,0.01836945560498183,NorESM2-MM,historical_r3i1p1f1
9,DJF,5,conversion,bias,0.007118963516181687,NorESM2-MM,historical_r3i1p1f1
10,DJF,5,dynamical,bias,-0.0329324287181748,NorESM2-MM,historical_r3i1p1f1
11,DJF,5,nonlinear,bias,-0.002750879382665442,NorESM2-MM,historical_r3i1p1f1
12,DJF,6,conversion,bias,-0.011043440911478379,NorESM2-MM,historical_r3i1p1f1
13,DJF,6,dynamical,bias,-0.022364562656481558,NorESM2-MM,historical_r3i1p1f1
14,DJF,6,nonlinear,bias,0.005460942933918656,NorESM2-MM,historical_r3i1p1f1
15,DJF,7,conversion,bias,-0.0017963623173141013,NorESM2-MM,historical_r3i1p1f1
16,DJF,7,dynamical,bias,-0.017481506602643616,NorESM2-MM,historical_r3i1p1f1
17,DJF,7,nonlinear,bias,0.004293771248879421,NorESM2-MM,historical_r3i1p1f1
18,DJF,8,conversion,bias,-0.015902958103207028,NorESM2-MM,historical_r3i1p1f1
19,DJF,8,dynamical,bias,-0.010417955080244356,NorESM2-MM,historical_r3i1p1f1
20,DJF,8,nonlinear,bias,0.00362076612965704,NorESM2-MM,historical_r3i1p1f1
21,DJF,9,conversion,bias,-0.011861457848002868,NorESM2-MM,historical_r3i1p1f1
22,DJF,9,dynamical,bias,-0.021174640857506272,NorESM2-MM,historical_r3i1p1f1
23,DJF,9,nonlinear,bias,0.014039655355418498,NorESM2-MM,historical_r3i1p1f1
24,DJF,10,conversion,bias,-0.002896036193754886,NorESM2-MM,historical_r3i1p1f1
25,DJF,10,dynamical,bias,-0.005589118012724154,NorESM2-MM,historical_r3i1p1f1
26,DJF,10,nonlinear,bias,-0.0021779558102782504,NorESM2-MM,historical_r3i1p1f1
27,DJF,11,conversion,bias,-0.02858748947549127,NorESM2-MM,historical_r3i1p1f1
28,DJF,11,dynamical,bias,-0.034367681318036455,NorESM2-MM,historical_r3i1p1f1
29,DJF,11,nonlinear,bias,0.022045147196523528,NorESM2-MM,historical_r3i1p1f1
30,DJF,12,conversion,bias,-0.009956304038971431,NorESM2-MM,historical_r3i1p1f1
31,DJF,12,dynamical,bias,-0.0162579712597667,NorESM2-MM,historical_r3i1p1f1
32,DJF,12,nonlinear,bias,0.005983264047412925,NorESM2-MM,historical_r3i1p1f1
33,DJF,13,conversion,bias,-0.02229799427394928,NorESM2-MM,historical_r3i1p1f1
34,DJF,13,dynamical,bias,-0.021521093673094877,NorESM2-MM,historical_r3i1p1f1
35,DJF,13,nonlinear,bias,0.01340289151053375,NorESM2-MM,historical_r3i1p1f1
36,DJF,14,conversion,bias,-0.017020248460975176,NorESM2-MM,historical_r3i1p1f1
37,DJF,14,dynamical,bias,-0.02828004810077359,NorESM2-MM,historical_r3i1p1f1
38,DJF,14,nonlinear,bias,0.012414964322769256,NorESM2-MM,historical_r3i1p1f1
39,DJF,15,conversion,bias,-0.013164541150435215,NorESM2-MM,historical_r3i1p1f1
40,DJF,15,dynamical,bias,-0.03638698536408943,NorESM2-MM,historical_r3i1p1f1
41,DJF,15,nonlinear,bias,0.021913107855792018,NorESM2-MM,historical_r3i1p1f1
42,DJF,16,conversion,bias,-0.028696602509665277,NorESM2-MM,historical_r3i1p1f1
43,DJF,16,dynamical,bias,-0.02718712722801733,NorESM2-MM,historical_r3i1p1f1
44,DJF,16,nonlinear,bias,0.028862595029567326,NorESM2-MM,historical_r3i1p1f1
45,DJF,17,conversion,bias,-0.0008028941938422775,NorESM2-MM,historical_r3i1p1f1
46,DJF,17,dynamical,bias,-0.011632667893722616,NorESM2-MM,historical_r3i1p1f1
47,DJF,17,nonlinear,bias,0.005167513799202655,NorESM2-MM,historical_r3i1p1f1
48,DJF,18,conversion,bias,-0.00668495847799201,NorESM2-MM,historical_r3i1p1f1
49,DJF,18,dynamical,bias,-0.01444792236947091,NorESM2-MM,historical_r3i1p1f1
50,DJF,18,nonlinear,bias,0.009235202929471033,NorESM2-MM,historical_r3i1p1f1
51,DJF,19,conversion,bias,-0.011299321407915187,NorESM2-MM,historical_r3i1p1f1
52,DJF,19,dynamical,bias,-0.01216974010363433,NorESM2-MM,historical_r3i1p1f1
53,DJF,19,nonlinear,bias,0.006324470013310731,NorESM2-MM,historical_r3i1p1f1
54,DJF,20,conversion,bias,0.02520856518218257,NorESM2-MM,historical_r3i1p1f1
55,DJF,20,dynamical,bias,-0.016643553898435765,NorESM2-MM,historical_r3i1p1f1
56,DJF,20,nonlinear,bias,0.00021632314394030502,NorESM2-MM,historical_r3i1p1f1
57,DJF,21,conversion,bias,0.02910470888555582,NorESM2-MM,historical_r3i1p1f1
58,DJF,21,dynamical,bias,-0.027447195463394206,NorESM2-MM,historical_r3i1p1f1
59,DJF,21,nonlinear,bias,-0.024049018500647366,NorESM2-MM,historical_r3i1p1f1
60,DJF,22,conversion,bias,0.07835636293093645,NorESM2-MM,historical_r3i1p1f1
61,DJF,22,dynamical,bias,-0.03416513245705134,NorESM2-MM,historical_r3i1p1f1
62,DJF,22,nonlinear,bias,-0.07954569851533382,NorESM2-MM,historical_r3i1p1f1
63,DJF,23,conversion,bias,-0.01540961669548294,NorESM2-MM,historical_r3i1p1f1
64,DJF,23,dynamical,bias,-0.03331122885417656,NorESM2-MM,historical_r3i1p1f1
65,DJF,23,nonlinear,bias,0.01305773553290219,NorESM2-MM,historical_r3i1p1f1
66,DJF,24,conversion,bias,-0.021148425517157933,NorESM2-MM,historical_r3i1p1f1
67,DJF,24,dynamical,bias,-0.03740741494213217,NorESM2-MM,historical_r3i1p1f1
68,DJF,24,nonlinear,bias,0.025979150195619225,NorESM2-MM,historical_r3i1p1f1
69,DJF,25,conversion,bias,-0.03404230602542154,NorESM2-MM,historical_r3i1p1f1
70,DJF,25,dynamical,bias,-0.03019264936934195,NorESM2-MM,historical_r3i1p1f1
71,DJF,25,nonlinear,bias,0.0359792527854136,NorESM2-MM,historical_r3i1p1f1
72,DJF,26,conversion,bias,-0.003530769665461831,NorESM2-MM,historical_r3i1p1f1
73,DJF,26,dynamical,bias,-0.03490008725990737,NorESM2-MM,historical_r3i1p1f1
74,DJF,26,nonlinear,bias,0.012027006167871158,NorESM2-MM,historical_r3i1p1f1
75,DJF,27,conversion,bias,0.01843947795664022,NorESM2-MM,historical_r3i1p1f1
76,DJF,27,dynamical,bias,-0.02529691642525508,NorESM2-MM,historical_r3i1p1f1
77,DJF,27,nonlinear,bias,-0.025410609819747392,NorESM2-MM,historical_r3i1p1f1
78,DJF,28,conversion,bias,0.026968359527735738,NorESM2-MM,historical_r3i1p1f1
79,DJF,28,dynamical,bias,-0.03658634521777029,NorESM2-MM,historical_r3i1p1f1
80,DJF,28,nonlinear,bias,-0.018020432968698073,NorESM2-MM,historical_r3i1p1f1
81,DJF,29,conversion,bias,0.004871311819895087,NorESM2-MM,historical_r3i1p1f1
82,DJF,29,dynamical,bias,-0.024277008578186737,NorESM2-MM,historical_r3i1p1f1
83,DJF,29,nonlinear,bias,-0.0014425984436508303,NorESM2-MM,historical_r3i1p1f1
84,DJF,30,conversion,bias,-0.006445172593022119,NorESM2-MM,historical_r3i1p1f1
85,DJF,30,dynamical,bias,-0.021974214093293493,NorESM2-MM,historical_r3i1p1f1
86,DJF,30,nonlinear,bias,0.006953807533755841,NorESM2-MM,historical_r3i1p1f1
87,DJF,31,conversion,bias,0.012443694038935998,NorESM2-MM,historical_r3i1p1f1
88,DJF,31,dynamical,bias,-0.02334057475595047,NorESM2-MM,historical_r3i1p1f1
89,DJF,31,nonlinear,bias,0.004863400329886778,NorESM2-MM,historical_r3i1p1f1
90,DJF,32,conversion,bias,0.0048153518845955885,NorESM2-MM,historical_r3i1p1f1
91,DJF,32,dynamical,bias,-0.02514661980067863,NorESM2-MM,historical_r3i1p1f1
92,DJF,32,nonlinear,bias,-0.0011343112364767297,NorESM2-MM,historical_r3i1p1f1
93,DJF,33,conversion,bias,0.016411796927006426,NorESM2-MM,historical_r3i1p1f1
94,DJF,33,dynamical,bias,-0.021005658643256583,NorESM2-MM,historical_r3i1p1f1
95,DJF,33,nonlinear,bias,-0.0073038162017417165,NorESM2-MM,historical_r3i1p1f1
96,DJF,34,conversion,bias,0.008775425081595019,NorESM2-MM,historical_r3i1p1f1
97,DJF,34,dynamical,bias,-0.024146948080842313,NorESM2-MM,historical_r3i1p1f1
98,DJF,34,nonlinear,bias,0.008720758661502327,NorESM2-MM,historical_r3i1p1f1
99,DJF,35,conversion,bias,0.012898007461390575,NorESM2-MM,historical_r3i1p1f1
100,DJF,35,dynamical,bias,-0.013359096205541845,NorESM2-MM,historical_r3i1p1f1
101,DJF,35,nonlinear,bias,0.015106620702702621,NorESM2-MM,historical_r3i1p1f1
102,DJF,36,conversion,bias,-0.009591004628557573,NorESM2-MM,historical_r3i1p1f1
103,DJF,36,dynamical,bias,-0.025795307266238524,NorESM2-MM,historical_r3i1p1f1
104,DJF,36,nonlinear,bias,0.016698510520014077,NorESM2-MM,historical_r3i1p1f1
105,DJF,37,conversion,bias,0.022423483585664497,NorESM2-MM,historical_r3i1p1f1
106,DJF,37,dynamical,bias,-0.034684459951687494,NorESM2-MM,historical_r3i1p1f1
107,DJF,37,nonlinear,bias,-0.006426825008759024,NorESM2-MM,historical_r3i1p1f1
108,DJF,38,conversion,bias,0.002254940540404641,NorESM2-MM,historical_r3i1p1f1
109,DJF,38,dynamical,bias,-0.03579092824334098,NorESM2-MM,historical_r3i1p1f1
110,DJF,38,nonlinear,bias,3.337151333952272e-05,NorESM2-MM,historical_r3i1p1f1
111,DJF,39,conversion,bias,0.0029777861873391104,NorESM2-MM,historical_r3i1p1f1
112,DJF,39,dynamical,bias,-0.0401059746129141,NorESM2-MM,historical_r3i1p1f1
113,DJF,39,nonlinear,bias,0.003316930260669517,NorESM2-MM,historical_r3i1p1f1
114,JJA,1,conversion,bias,-0.030825622284326105,NorESM2-MM,historical_r3i1p1f1
115,JJA,1,dynamical,bias,-0.024459467099098277,NorESM2-MM,historical_r3i1p1f1
116,JJA,1,nonlinear,bias,0.01875127295830359,NorESM2-MM,historical_r3i1p1f1
117,JJA,3,conversion,bias,-0.03726166434910515,NorESM2-MM,historical_r3i1p1f1
118,JJA,3,dynamical,bias,-0.008849136200654459,NorESM2-MM,historical_r3i1p1f1
119,JJA,3,nonlinear,bias,0.011086645960387631,NorESM2-MM,historical_r3i1p1f1
120,JJA,4,conversion,bias,-0.03770688792067546,NorESM2-MM,historical_r3i1p1f1
121,JJA,4,dynamical,bias,0.015689053336688387,NorESM2-MM,historical_r3i1p1f1
122,JJA,4,nonlinear,bias,-0.011798590536785851,NorESM2-MM,historical_r3i1p1f1
123,JJA,5,conversion,bias,-0.02158597017928436,NorESM2-MM,historical_r3i1p1f1
124,JJA,5,dynamical,bias,0.0004414413202527556,NorESM2-MM,historical_r3i1p1f1
125,JJA,5,nonlinear,bias,0.0021227897285967926,NorESM2-MM,historical_r3i1p1f1
126,JJA,6,conversion,bias,-0.020519034321617502,NorESM2-MM,historical_r3i1p1f1
127,JJA,6,dynamical,bias,-0.01006766349077735,NorESM2-MM,historical_r3i1p1f1
128,JJA,6,nonlinear,bias,0.0037147171360663494,NorESM2-MM,historical_r3i1p1f1
129,JJA,7,conversion,bias,-0.02206390290999859,NorESM2-MM,historical_r3i1p1f1
130,JJA,7,dynamical,bias,-0.03244334611092034,NorESM2-MM,historical_r3i1p1f1
131,JJA,7,nonlinear,bias,0.015256041291450351,NorESM2-MM,historical_r3i1p1f1
132,JJA,8,conversion,bias,-0.025985446154045327,NorESM2-MM,historical_r3i1p1f1
133,JJA,8,dynamical,bias,-0.026977650960248897,NorESM2-MM,historical_r3i1p1f1
134,JJA,8,nonlinear,bias,0.013108024650526143,NorESM2-MM,historical_r3i1p1f1
135,JJA,9,conversion,bias,-0.022331337135089786,NorESM2-MM,historical_r3i1p1f1
136,JJA,9,dynamical,bias,-0.024044514785794977,NorESM2-MM,historical_r3i1p1f1
137,JJA,9,nonlinear,bias,0.013767156268710886,NorESM2-MM,historical_r3i1p1f1
138,JJA,10,conversion,bias,-0.03125385444618489,NorESM2-MM,historical_r3i1p1f1
139,JJA,10,dynamical,bias,-0.025443656934318132,NorESM2-MM,historical_r3i1p1f1
140,JJA,10,nonlinear,bias,0.019257897853932983,NorESM2-MM,historical_r3i1p1f1
141,JJA,11,conversion,bias,-0.04001762677779078,NorESM2-MM,historical_r3i1p1f1
142,JJA,11,dynamical,bias,-0.026462037123492894,NorESM2-MM,historical_r3i1p1f1
143,JJA,11,nonlinear,bias,0.02662459143751556,NorESM2-MM,historical_r3i1p1f1
144,JJA,12,conversion,bias,-0.03026506783261038,NorESM2-MM,historical_r3i1p1f1
145,JJA,12,dynamical,bias,-0.03126834805397872,NorESM2-MM,historical_r3i1p1f1
146,JJA,12,nonlinear,bias,0.02711312603151667,NorESM2-MM,historical_r3i1p1f1
147,JJA,13,conversion,bias,-0.023326121587167133,NorESM2-MM,historical_r3i1p1f1
148,JJA,13,dynamical,bias,-0.022805015543587732,NorESM2-MM,historical_r3i1p1f1
149,JJA,13,nonlinear,bias,0.017145629884378052,NorESM2-MM,historical_r3i1p1f1
150,JJA,14,conversion,bias,-0.021900351318259455,NorESM2-MM,historical_r3i1p1f1
151,JJA,14,dynamical,bias,0.0033577817992931267,NorESM2-MM,historical_r3i1p1f1
152,JJA,14,nonlinear,bias,-0.00017723724431868097,NorESM2-MM,historical_r3i1p1f1
153,JJA,15,conversion,bias,-0.011178632632238549,NorESM2-MM,historical_r3i1p1f1
154,JJA,15,dynamical,bias,0.004592148641854933,NorESM2-MM,historical_r3i1p1f1
155,JJA,15,nonlinear,bias,-0.009717863835703344,NorESM2-MM,historical_r3i1p1f1
156,JJA,16,conversion,bias,-0.012975868926198689,NorESM2-MM,historical_r3i1p1f1
157,JJA,16,dynamical,bias,-0.005335217352619033,NorESM2-MM,historical_r3i1p1f1
158,JJA,16,nonlinear,bias,0.006837656327126893,NorESM2-MM,historical_r3i1p1f1
159,JJA,17,conversion,bias,-0.0291713287000521,NorESM2-MM,historical_r3i1p1f1
160,JJA,17,dynamical,bias,-0.013764183666668959,NorESM2-MM,historical_r3i1p1f1
161,JJA,17,nonlinear,bias,0.007911357777349094,NorESM2-MM,historical_r3i1p1f1
162,JJA,18,conversion,bias,-0.016856496239113807,NorESM2-MM,historical_r3i1p1f1
163,JJA,18,dynamical,bias,-0.024316760012597364,NorESM2-MM,historical_r3i1p1f1
164,JJA,18,nonlinear,bias,0.007960695865237743,NorESM2-MM,historical_r3i1p1f1
165,JJA,19,conversion,bias,-0.028837332391223592,NorESM2-MM,historical_r3i1p1f1
166,JJA,19,dynamical,bias,-0.012718451743837737,NorESM2-MM,historical_r3i1p1f1
167,JJA,19,nonlinear,bias,0.011664479787235248,NorESM2-MM,historical_r3i1p1f1
168,JJA,20,conversion,bias,-0.02650328879763036,NorESM2-MM,historical_r3i1p1f1
169,JJA,20,dynamical,bias,-0.021458027147778485,NorESM2-MM,historical_r3i1p1f1
170,JJA,20,nonlinear,bias,0.014748755558935386,NorESM2-MM,historical_r3i1p1f1
