,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.03842722961585893,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
1,DJF,1,conversion,change,0.017926097106121534,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
2,DJF,1,conversion,uncalibrated_change,0.037807557612621216,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
3,DJF,1,dynamical,bias,-0.01510601506171996,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
4,DJF,1,dynamical,change,-0.012408053759022347,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
5,DJF,1,dynamical,uncalibrated_change,-0.02251860166882872,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
6,DJF,1,nonlinear,bias,-0.0029658060523777927,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
7,DJF,1,nonlinear,change,-0.004246960248439373,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
8,DJF,1,nonlinear,uncalibrated_change,-0.009390883075174914,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
9,DJF,3,conversion,bias,0.03490889846104592,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
10,DJF,3,conversion,change,0.007956283082851352,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
11,DJF,3,conversion,uncalibrated_change,0.006366410770785473,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
12,DJF,3,dynamical,bias,-0.010857410252415572,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
13,DJF,3,dynamical,change,-0.00017845331144036305,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
14,DJF,3,dynamical,uncalibrated_change,-0.00010810320354974901,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
15,DJF,3,nonlinear,bias,-0.00437509205254815,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
16,DJF,3,nonlinear,change,-0.00016059216887596699,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
17,DJF,3,nonlinear,uncalibrated_change,-0.00022322777299331253,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
18,DJF,4,conversion,bias,-0.039173026012616456,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
19,DJF,4,conversion,change,0.031873045778333074,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
20,DJF,4,conversion,uncalibrated_change,0.006112428566551494,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
21,DJF,4,dynamical,bias,-0.0113474188111484,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
22,DJF,4,dynamical,change,-0.005611642636158363,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
23,DJF,4,dynamical,uncalibrated_change,-0.0013184693955379943,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
24,DJF,4,nonlinear,bias,0.008530174313180403,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
25,DJF,4,nonlinear,change,-0.003166467053079446,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
26,DJF,4,nonlinear,uncalibrated_change,-0.0007778495664729866,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
27,DJF,5,conversion,bias,-0.0012323262665280485,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
28,DJF,5,conversion,change,0.004748405892161675,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
29,DJF,5,conversion,uncalibrated_change,0.0034883394960115778,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
30,DJF,5,dynamical,bias,-0.005904642147178325,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
31,DJF,5,dynamical,change,-0.012633677941717695,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
32,DJF,5,dynamical,uncalibrated_change,-0.010966981939382368,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
33,DJF,5,nonlinear,bias,0.0007331176562083437,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
34,DJF,5,nonlinear,change,-0.0005553620828687927,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
35,DJF,5,nonlinear,uncalibrated_change,-0.0005144319328174318,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
36,DJF,6,conversion,bias,-0.010923217084923,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
37,DJF,6,conversion,change,0.005842373298489885,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
38,DJF,6,conversion,uncalibrated_change,0.005053121437893208,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
39,DJF,6,dynamical,bias,-0.0072764581226979945,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
40,DJF,6,dynamical,change,-0.002678802080518451,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
41,DJF,6,dynamical,uncalibrated_change,-0.0014945760732929883,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
42,DJF,6,nonlinear,bias,0.003462491116789623,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
43,DJF,6,nonlinear,change,8.551431583039276e-05,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
44,DJF,6,nonlinear,uncalibrated_change,3.3746112870109924e-05,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
45,DJF,7,conversion,bias,-0.018019300873243587,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
46,DJF,7,conversion,change,0.05952473715340787,UKESM1-0-LL,historical_ens_ssp370_r8i1p1f2
