,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.024103283214187858,INM-CM5-0,historical_ens_ssp370_ens
1,DJF,1,conversion,change,0.004703594979469048,INM-CM5-0,historical_ens_ssp370_ens
2,DJF,1,conversion,uncalibrated_change,0.005518022320272759,INM-CM5-0,historical_ens_ssp370_ens
3,DJF,1,dynamical,bias,-0.014092820837105991,INM-CM5-0,historical_ens_ssp370_ens
4,DJF,1,dynamical,change,-0.007524466816394431,INM-CM5-0,historical_ens_ssp370_ens
5,DJF,1,dynamical,uncalibrated_change,-0.0105812350690859,INM-CM5-0,historical_ens_ssp370_ens
6,DJF,1,nonlinear,bias,0.003091859704926211,INM-CM5-0,historical_ens_ssp370_ens
7,DJF,1,nonlinear,change,-0.0007019387678465037,INM-CM5-0,historical_ens_ssp370_ens
8,DJF,1,nonlinear,uncalibrated_change,-0.0009726198327348515,INM-CM5-0,historical_ens_ssp370_ens
9,DJF,3,conversion,bias,0.026590875463973016,INM-CM5-0,historical_ens_ssp370_ens
10,DJF,3,conversion,change,-0.004043196109052496,INM-CM5-0,historical_ens_ssp370_ens
11,DJF,3,conversion,uncalibrated_change,-0.005986555942361982,INM-CM5-0,historical_ens_ssp370_ens
12,DJF,3,dynamical,bias,-0.015517756939716977,INM-CM5-0,historical_ens_ssp370_ens
13,DJF,3,dynamical,change,-0.0023537533889636804,INM-CM5-0,historical_ens_ssp370_ens
14,DJF,3,dynamical,uncalibrated_change,-0.0036015418096681136,INM-CM5-0,historical_ens_ssp370_ens
15,DJF,3,nonlinear,bias,-0.0037115371829886347,INM-CM5-0,historical_ens_ssp370_ens
16,DJF,3,nonlinear,change,0.00021622721053019992,INM-CM5-0,historical_ens_ssp370_ens
17,DJF,3,nonlinear,uncalibrated_change,0.0002957159383230641,INM-CM5-0,historical_ens_ssp370_ens
18,DJF,4,conversion,bias,-0.049731106727418775,INM-CM5-0,historical_ens_ssp370_ens
19,DJF,4,conversion,change,0.002435854259090646,INM-CM5-0,historical_ens_ssp370_ens
20,DJF,4,conversion,uncalibrated_change,0.0013323333131125496,INM-CM5-0,historical_ens_ssp370_ens
21,DJF,4,dynamical,bias,-0.019242762508755475,INM-CM5-0,historical_ens_ssp370_ens
22,DJF,4,dynamical,change,-0.0009886136825914152,INM-CM5-0,historical_ens_ssp370_ens
23,DJF,4,dynamical,uncalibrated_change,-1.4620468851100587e-05,INM-CM5-0,historical_ens_ssp370_ens
24,DJF,4,nonlinear,bias,0.019020635762626872,INM-CM5-0,historical_ens_ssp370_ens
25,DJF,4,nonlinear,change,-3.1458724333444105e-05,INM-CM5-0,historical_ens_ssp370_ens
