,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.040169494490816235,MIROC6,historical_ens_ssp370_ens
1,DJF,1,conversion,change,0.004639232833498446,MIROC6,historical_ens_ssp370_ens
2,DJF,1,conversion,uncalibrated_change,0.012092028641612502,MIROC6,historical_ens_ssp370_ens
3,DJF,1,dynamical,bias,-0.005149308203467345,MIROC6,historical_ens_ssp370_ens
4,DJF,1,dynamical,change,-0.008935137679070275,MIROC6,historical_ens_ssp370_ens
5,DJF,1,dynamical,uncalibrated_change,-0.015478136209862084,MIROC6,historical_ens_ssp370_ens
6,DJF,1,nonlinear,bias,0.002700821886106132,MIROC6,historical_ens_ssp370_ens
7,DJF,1,nonlinear,change,-0.0006313915339090708,MIROC6,historical_ens_ssp370_ens
8,DJF,1,nonlinear,uncalibrated_change,-0.001441120399405883,MIROC6,historical_ens_ssp370_ens
9,DJF,3,conversion,bias,0.03815563693020187,MIROC6,historical_ens_ssp370_ens
10,DJF,3,conversion,change,-0.001010781703369524,MIROC6,historical_ens_ssp370_ens
11,DJF,3,conversion,uncalibrated_change,-0.003379909503506076,MIROC6,historical_ens_ssp370_ens
12,DJF,3,dynamical,bias,-0.016190180740184756,MIROC6,historical_ens_ssp370_ens
13,DJF,3,dynamical,change,-0.0009442604367925911,MIROC6,historical_ens_ssp370_ens
14,DJF,3,dynamical,uncalibrated_change,-0.0021746247231604248,MIROC6,historical_ens_ssp370_ens
15,DJF,3,nonlinear,bias,-0.005173964790954201,MIROC6,historical_ens_ssp370_ens
16,DJF,3,nonlinear,change,0.00012276545977148412,MIROC6,historical_ens_ssp370_ens
17,DJF,3,nonlinear,uncalibrated_change,0.00012529150187162448,MIROC6,historical_ens_ssp370_ens
18,DJF,4,conversion,bias,-0.049092355029551726,MIROC6,historical_ens_ssp370_ens
19,DJF,4,conversion,change,0.0007675655436853488,MIROC6,historical_ens_ssp370_ens
20,DJF,4,conversion,uncalibrated_change,-0.00011708513042363573,MIROC6,historical_ens_ssp370_ens
21,DJF,4,dynamical,bias,-0.026571104272049322,MIROC6,historical_ens_ssp370_ens
22,DJF,4,dynamical,change,-0.0013700530227552772,MIROC6,historical_ens_ssp370_ens
23,DJF,4,dynamical,uncalibrated_change,-3.1212820140893524e-05,MIROC6,historical_ens_ssp370_ens
24,DJF,4,nonlinear,bias,0.025972956240830243,MIROC6,historical_ens_ssp370_ens
25,DJF,4,nonlinear,change,1.0265692081372487e-06,MIROC6,historical_ens_ssp370_ens
26,DJF,4,nonlinear,uncalibrated_change,2.9878514432269658e-05,MIROC6,historical_ens_ssp370_ens
27,DJF,5,conversion,bias,-0.036932011711997226,MIROC6,historical_ens_ssp370_ens
28,DJF,5,conversion,change,0.0035432744654703,MIROC6,historical_ens_ssp370_ens
29,DJF,5,conversion,uncalibrated_change,0.001544521916544249,MIROC6,historical_ens_ssp370_ens
30,DJF,5,dynamical,bias,-0.02426434438654725,MIROC6,historical_ens_ssp370_ens
31,DJF,5,dynamical,change,-0.0010124596661263024,MIROC6,historical_ens_ssp370_ens
32,DJF,5,dynamical,uncalibrated_change,-0.00026668682121044006,MIROC6,historical_ens_ssp370_ens
33,DJF,5,nonlinear,bias,0.018208770174670427,MIROC6,historical_ens_ssp370_ens
34,DJF,5,nonlinear,change,-0.00027119163630693233,MIROC6,historical_ens_ssp370_ens
35,DJF,5,nonlinear,uncalibrated_change,-8.115365034487232e-05,MIROC6,historical_ens_ssp370_ens
36,DJF,6,conversion,bias,-0.010329827998178675,MIROC6,historical_ens_ssp370_ens
37,DJF,6,conversion,change,0.010000355510860552,MIROC6,historical_ens_ssp370_ens
38,DJF,6,conversion,uncalibrated_change,0.008591041314608213,MIROC6,historical_ens_ssp370_ens
39,DJF,6,dynamical,bias,-0.020415551113315684,MIROC6,historical_ens_ssp370_ens
40,DJF,6,dynamical,change,-0.0003993756774806244,MIROC6,historical_ens_ssp370_ens
