,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.010244505723146934,MPI-ESM1-2-HR,historical_ens_ssp370_ens
1,DJF,1,conversion,change,-0.0020722795205616678,MPI-ESM1-2-HR,historical_ens_ssp370_ens
2,DJF,1,conversion,uncalibrated_change,-0.0025520716148292677,MPI-ESM1-2-HR,historical_ens_ssp370_ens
3,DJF,1,dynamical,bias,0.004207430907954125,MPI-ESM1-2-HR,historical_ens_ssp370_ens
4,DJF,1,dynamical,change,-0.013451042965213466,MPI-ESM1-2-HR,historical_ens_ssp370_ens
5,DJF,1,dynamical,uncalibrated_change,-0.015485145675952411,MPI-ESM1-2-HR,historical_ens_ssp370_ens
6,DJF,1,nonlinear,bias,0.0008450778348884345,MPI-ESM1-2-HR,historical_ens_ssp370_ens
7,DJF,1,nonlinear,change,0.0009055995834889726,MPI-ESM1-2-HR,historical_ens_ssp370_ens
8,DJF,1,nonlinear,uncalibrated_change,0.001003352399961124,MPI-ESM1-2-HR,historical_ens_ssp370_ens
9,DJF,3,conversion,bias,0.02032426194168454,MPI-ESM1-2-HR,historical_ens_ssp370_ens
10,DJF,3,conversion,change,-0.004843763259678879,MPI-ESM1-2-HR,historical_ens_ssp370_ens
11,DJF,3,conversion,uncalibrated_change,-0.0062809250927861075,MPI-ESM1-2-HR,historical_ens_ssp370_ens
12,DJF,3,dynamical,bias,-0.017065833975652388,MPI-ESM1-2-HR,historical_ens_ssp370_ens
13,DJF,3,dynamical,change,-0.001322552599714797,MPI-ESM1-2-HR,historical_ens_ssp370_ens
14,DJF,3,dynamical,uncalibrated_change,-0.0017468782355320462,MPI-ESM1-2-HR,historical_ens_ssp370_ens
15,DJF,3,nonlinear,bias,-0.005012813930944472,MPI-ESM1-2-HR,historical_ens_ssp370_ens
16,DJF,3,nonlinear,change,9.249382176741803e-05,MPI-ESM1-2-HR,historical_ens_ssp370_ens
17,DJF,3,nonlinear,uncalibrated_change,9.939292245349457e-05,MPI-ESM1-2-HR,historical_ens_ssp370_ens
18,DJF,4,conversion,bias,-0.04017199231991027,MPI-ESM1-2-HR,historical_ens_ssp370_ens
19,DJF,4,conversion,change,-0.0012187227931884704,MPI-ESM1-2-HR,historical_ens_ssp370_ens
20,DJF,4,conversion,uncalibrated_change,-7.712558912912107e-05,MPI-ESM1-2-HR,historical_ens_ssp370_ens
21,DJF,4,dynamical,bias,-0.01840468759910641,MPI-ESM1-2-HR,historical_ens_ssp370_ens
22,DJF,4,dynamical,change,-0.004652393311621791,MPI-ESM1-2-HR,historical_ens_ssp370_ens
23,DJF,4,dynamical,uncalibrated_change,-0.0010017552449584288,MPI-ESM1-2-HR,historical_ens_ssp370_ens
24,DJF,4,nonlinear,bias,0.014593915991654424,MPI-ESM1-2-HR,historical_ens_ssp370_ens
25,DJF,4,nonlinear,change,6.811619509529595e-05,MPI-ESM1-2-HR,historical_ens_ssp370_ens
26,DJF,4,nonlinear,uncalibrated_change,5.452406634850418e-05,MPI-ESM1-2-HR,historical_ens_ssp370_ens
27,DJF,5,conversion,bias,-0.010531464054233525,MPI-ESM1-2-HR,historical_ens_ssp370_ens
28,DJF,5,conversion,change,0.005898651494766991,MPI-ESM1-2-HR,historical_ens_ssp370_ens
29,DJF,5,conversion,uncalibrated_change,0.0038931689700828142,MPI-ESM1-2-HR,historical_ens_ssp370_ens
30,DJF,5,dynamical,bias,-0.011921719795732318,MPI-ESM1-2-HR,historical_ens_ssp370_ens
31,DJF,5,dynamical,change,-0.008989970082938196,MPI-ESM1-2-HR,historical_ens_ssp370_ens
