,model,season,region_id,source,term,value
1368,MPI-ESM1-2-LR,DJF,1,conversion,bias,0.0029548876765407494
1369,MPI-ESM1-2-LR,DJF,1,conversion,change,0.01891690129169315
1370,MPI-ESM1-2-LR,DJF,1,conversion,uncalibrated change,0.02279493340442956
1371,MPI-ESM1-2-LR,DJF,1,dynamical,bias,0.012313908422429692
1372,MPI-ESM1-2-LR,DJF,1,dynamical,change,-0.0189802441284274
1373,MPI-ESM1-2-LR,DJF,1,dynamical,uncalibrated change,-0.01926367905674987
1374,MPI-ESM1-2-LR,DJF,1,nonlinear,bias,-0.0002551887966018522
1375,MPI-ESM1-2-LR,DJF,1,nonlinear,change,-0.0052743119979664745
1376,MPI-ESM1-2-LR,DJF,1,nonlinear,uncalibrated change,-0.005516357933455138
1377,MPI-ESM1-2-LR,DJF,3,conversion,bias,0.004445982327652332
1378,MPI-ESM1-2-LR,DJF,3,conversion,change,-0.0013154114981198354
1379,MPI-ESM1-2-LR,DJF,3,conversion,uncalibrated change,-0.0015375793314451843
1380,MPI-ESM1-2-LR,DJF,3,dynamical,bias,-0.008705972637011299
1381,MPI-ESM1-2-LR,DJF,3,dynamical,change,-0.005197403156083382
1382,MPI-ESM1-2-LR,DJF,3,dynamical,uncalibrated change,-0.00532253675192145
1383,MPI-ESM1-2-LR,DJF,3,nonlinear,bias,-0.0008118223916579998
1384,MPI-ESM1-2-LR,DJF,3,nonlinear,change,5.896149758239348e-05
1385,MPI-ESM1-2-LR,DJF,3,nonlinear,uncalibrated change,7.206587347967423e-05
1386,MPI-ESM1-2-LR,DJF,4,conversion,bias,-0.04883207496792477
1387,MPI-ESM1-2-LR,DJF,4,conversion,change,0.0031992620180726883
1388,MPI-ESM1-2-LR,DJF,4,conversion,uncalibrated change,0.0010789406858704932
1389,MPI-ESM1-2-LR,DJF,4,dynamical,bias,-0.02038986145383686
1390,MPI-ESM1-2-LR,DJF,4,dynamical,change,-0.002081881254552263
1391,MPI-ESM1-2-LR,DJF,4,dynamical,uncalibrated change,-5.267828040262997e-05
1392,MPI-ESM1-2-LR,DJF,4,nonlinear,bias,0.019890582332409187
1393,MPI-ESM1-2-LR,DJF,4,nonlinear,change,-0.00013748194835555872
1394,MPI-ESM1-2-LR,DJF,4,nonlinear,uncalibrated change,-7.651035745412446e-05
1395,MPI-ESM1-2-LR,DJF,5,conversion,bias,-0.03229639358387503
1396,MPI-ESM1-2-LR,DJF,5,conversion,change,0.02844931474843411
1397,MPI-ESM1-2-LR,DJF,5,conversion,uncalibrated change,0.007817968120327598
1398,MPI-ESM1-2-LR,DJF,5,dynamical,bias,-0.016738720574281607
1399,MPI-ESM1-2-LR,DJF,5,dynamical,change,-0.004239548015135453
1400,MPI-ESM1-2-LR,DJF,5,dynamical,uncalibrated change,-0.0014691538108569779
1401,MPI-ESM1-2-LR,DJF,5,nonlinear,bias,0.011038838261962784
1402,MPI-ESM1-2-LR,DJF,5,nonlinear,change,-0.0020924889852830092
